time,maize
2018.0325,73.614188918817
2018.0975,66.2995363223445
2018.1625,64.6689105814605
2018.2275,61.301406224072
2018.2925,64.1119743766331
2018.3575,68.1084280774921
2018.4225,81.200280482986
2018.4875,89.2659235637746
2018.5525,84.9397730901446
2018.6175,86.9555238907806
2018.6825,85.1154025848465
2018.7475,81.8219494892226
2018.8125,88.1416073028137
2018.8775,86.0851032459474
2018.9425,88.3525565765441
2019.0075,91.4639205634594
2019.0725,94.8686660660345
2019.1375,81.8259377083591
2019.2025,73.125621491801
2019.2675,81.9171842161735
2019.3325,83.9084976008315
2019.3975,88.978175461337
2019.4625,89.1511119057907
2019.5275,87.813313972874
2019.5925,92.7378182793514
2019.6575,91.1049342877131
2019.7225,91.2516979304571
2019.7875,97.4468674830541
2019.8525,107.054764241116
2019.9175,101.115732977282
2019.9825,96.4790656727564
2020.0475,96.6908035700882
2020.1125,98.6819517425572
2020.1775,101.414099265807
2020.2425,100.184923851843
2020.3075,97.4918897670756
2020.3725,93.3285968119961
2020.4375,88.8806502302147
2020.5025,85.4738302879825
2020.5675,82.226633119339
2020.6325,83.5595185081335
2020.6975,85.5923599657681
2020.7625,87.0464010674712
2020.8275,86.7441962740629
2020.8925,78.7587962921791
2020.9575,76.3079107048909
2021.0225,75.341908268824
2021.0875,77.8025862008538
2021.1525,76.7827943276558
2021.2175,78.853767146268
2021.2825,89.8612318070077
2021.3475,82.7324583163935
2021.4125,82.8638321761694
2021.4775,77.809056305586
2021.5425,78.5884502872956
2021.6075,80.6540619662152
2021.6725,78.0936205236182
2021.7375,78.4982960066008
2021.8025,83.4536915333916
2021.8675,77.6076961105234
2021.9325,74.0038948466786
2021.9975,79.8456734300319
2022.0625,76.2628927068631
2022.1275,69.0058663271497
2022.1925,61.1414391392366
2022.2575,60.6554868278989
2022.3225,64.1675897597457
2022.3875,67.9977916440064
2022.4525,60.7970087893551
2022.5175,62.158113485315
2022.5825,61.059773762174
2022.6475,55.6136333196914
2022.7125,50.7146242968584
2022.7775,41.0995929717394
2022.8425,31.6610453207142
2022.9075,31.3853953503004
2022.9725,33.4231011911575
2023.0375,80.9907657483321
2023.1025,75.8214127857674
2023.1675,168.451300222097
2023.2325,134.616949690271
2023.2975,97.9445166266894
2023.3625,87.1649217136967
2023.4275,49.7341686220871
2023.4925,69.3548857498552
2023.5575,98.7690065884075
2023.6225,138.335835060726
2023.6875,167.450161977201
2023.7525,195.420363357696
2023.8175,170.343279941425
2023.8825,103.488663688117
2023.9475,53.0505019709015
2024.0125,53.0678599348058
2024.0775,96.6677693800698
2024.1425,188.934493512448
2024.2075,169.742029572264
2024.2725,187.370537862505
2024.3375,135.940119107514
2024.4025,NA
2024.4675,NA
