time,Brazil_annual_mean_temp_2020_crop_mask
2018.0325,27.8338886896769
2018.0975,27.8760145228842
2018.1625,27.8744475726775
2018.2275,27.8836111492581
2018.2925,27.8640293065239
2018.3575,27.8805332946777
2018.4225,27.9201283454895
2018.4875,27.9171872650271
2018.5525,27.9061419657657
2018.6175,27.9066358495642
2018.6825,27.9070727274968
2018.7475,27.8885948591966
2018.8125,27.9037501811981
2018.8775,27.9010737083646
2018.9425,27.8910785001867
2019.0075,27.909188093508
2019.0725,27.8936918900269
2019.1375,27.8766856646646
2019.2025,27.8762123368003
2019.2675,27.9039036041913
2019.3325,27.8950000603994
2019.3975,27.8989127615224
2019.4625,27.9124787159455
2019.5275,27.92442014943
2019.5925,27.9183335077195
2019.6575,27.9180392658009
2019.7225,27.9227535413659
2019.7875,27.9388666936165
2019.8525,27.9384444914002
2019.9175,27.9414690835135
2019.9825,27.9321718360438
2020.0475,27.9362780077184
2020.1125,27.9389747793024
2020.1775,27.931972011105
2020.2425,27.9269275319192
2020.3075,27.937361240387
2020.3725,27.9451960675857
2020.4375,27.9277999464671
2020.5025,27.9278634488583
2020.5675,27.9312206569471
2020.6325,27.9253322467712
2020.6975,27.9305033250289
2020.7625,27.9269906679789
2020.8275,27.9222917556763
2020.8925,27.9342093139953
2020.9575,27.9399266419587
2021.0225,27.9342701564464
2021.0875,27.9332617330903
2021.1525,27.9477051656094
2021.2175,27.9513726234436
2021.2825,27.9401381367385
2021.3475,27.9219419319437
2021.4125,27.9229737375442
2021.4775,27.9304675721475
2021.5425,27.9317435857629
2021.6075,27.9245157567864
2021.6725,27.9137875095743
2021.7375,27.9104686142296
2021.8025,27.909040914225
2021.8675,27.9023177017318
2021.9325,27.8961930328945
2021.9975,27.8884260212934
2022.0625,27.8912846262961
2022.1275,27.897141828537
2022.1925,27.8917447240729
2022.2575,27.877769552096
2022.3225,27.8597816285633
2022.3875,27.8556250154972
2022.4525,27.8562079726673
2022.5175,27.8541999441562
2022.5825,27.8528252833071
2022.6475,27.8768986723514
2022.7125,27.8520752092528
2022.7775,27.8407762886113
2022.8425,27.9072606452602
2022.9075,27.9584520451059
2022.9725,27.9327751384658
2023.0375,27.8490435150403
2023.1025,27.8540611818405
2023.1675,27.6775226488461
2023.2325,27.7103962474538
2023.2975,27.8791706222006
2023.3625,27.8115540538882
2023.4275,27.8540853308002
2023.4925,27.9262467778247
2023.5575,28.1416968157984
2023.6225,28.0940758677419
2023.6875,27.9925573470119
2023.7525,27.9067886886143
2023.8175,27.8130034864392
2023.8825,27.9372987959244
2023.9475,28.2202912938255
2024.0125,27.8992106206663
2024.0775,26.9584690193581
2024.1425,25.5983406326144
2024.2075,24.644991622613
2024.2725,24.4858573331561
2024.3375,25.4818329744219
2024.4025,NA
2024.4675,NA
