time,deciduous_broadleaf
2018.0325,1.01114827201784
2018.0975,1.01082251082251
2018.1625,1.0098814229249
2018.2275,1.00905797101449
2018.2925,1.00833333333333
2018.3575,1.04744872846596
2018.4225,1.02266714766715
2018.4875,1.03450365726228
2018.5525,1.00724637681159
2018.6175,1.00710227272727
2018.6825,1.10000757059581
2018.7475,1.07472876917321
2018.8125,1.10107382735841
2018.8775,1.05106967500585
2018.9425,1.01975172751177
2019.0075,1.12230408116438
2019.0725,1.05445791843307
2019.1375,1.0528919701852
2019.2025,1.06846253229974
2019.2675,1.05652729155789
2019.3325,1.05515873015873
2019.3975,1.05484040156571
2019.4625,1.09415412839781
2019.5275,1.06970489470623
2019.5925,1.0776192751348
2019.6575,1.03296601524069
2019.7225,1.01709355848392
2019.7875,1.02910559276527
2019.8525,1.02777250618534
2019.9175,1.05144741879436
2019.9825,1.02200462891924
2020.0475,1.01989779162897
2020.1125,1.02005286391078
2020.1775,1.0147563714481
2020.2425,1.0226332063926
2020.3075,1.02200205718512
2020.3725,1.01458333333333
2020.4375,1.01984649122807
2020.5025,1.0471978021978
2020.5675,1.05964713204416
2020.6325,1.03140734989648
2020.6975,1.02846124401914
2020.7625,1.01867769423559
2020.8275,1.01881212121212
2020.8925,1.03287923343713
2020.9575,1.1104532967033
2021.0225,1.07277578063195
2021.0875,1.02423949275362
2021.1525,1.03026751419612
2021.2175,1.06725417108296
2021.2825,1.05922728937729
2021.3475,1.14156639471639
2021.4125,1.15492244827756
2021.4775,1.08767668278835
2021.5425,1.0523190187006
2021.6075,1.04359816519909
2021.6725,1.06279590722315
2021.7375,1.08203701801295
2021.8025,1.15933808501104
2021.8675,1.14428497525866
2021.9325,1.14449916580667
2021.9975,1.16989253712927
2022.0625,1.17509217093536
2022.1275,1.1792601678963
2022.1925,1.19628604984288
2022.2575,1.32418863273136
2022.3225,1.36334110247427
2022.3875,1.23593895164986
2022.4525,1.06963264592102
2022.5175,1.06321367161723
2022.5825,1.0945261701628
2022.6475,1.10381224251016
2022.7125,1.09815421137918
2022.7775,1.062794578791
2022.8425,1.16516629520202
2022.9075,1.20616470137257
2022.9725,1.05382223309883
2023.0375,1.03840637291804
2023.1025,1.0418959901905
2023.1675,1.01888868823556
2023.2325,1.1128827216394
2023.2975,1.21553309849163
2023.3625,1.01628753154749
2023.4275,1.0118980291435
2023.4925,1.01443551675695
2023.5575,1.02401583953723
2023.6225,1.01989172893417
2023.6875,1.02012510690622
2023.7525,1.01920611389219
2023.8175,1.00998417363017
2023.8825,1.00646480577908
2023.9475,1.09403283426165
2024.0125,1.88159661724779
2024.0775,2.6232717555303
2024.1425,2.84252086888506
2024.2075,3.89094328870234
2024.2725,4.5456109826393
2024.3375,5.24267774198097
2024.4025,NA
2024.4675,NA
