time,Brazil_woody_savannas_crop_mask
2018.0325,1.10634188071275
2018.0975,1.09652380985873
2018.1625,1.09954545488863
2018.2275,1.08355072486228
2018.2925,1.07518333355586
2018.3575,1.07710062910176
2018.4225,1.06095238118654
2018.4875,1.07137931026947
2018.5525,1.07077777736717
2018.6175,1.09040364467849
2018.6825,1.10270588164236
2018.7475,1.09940476143565
2018.8125,1.0811255409088
2018.8775,1.08006410249788
2018.9425,1.09571729926477
2019.0075,1.10243902373605
2019.0725,1.09855158700356
2019.1375,1.08565476200883
2019.2025,1.08224509762783
2019.2675,1.08206395308177
2019.3325,1.09698484813174
2019.3975,1.08480337061239
2019.4625,1.07744139179642
2019.5275,1.06957325987763
2019.5925,1.06998168472405
2019.6575,1.07154838675666
2019.7225,1.08357526858648
2019.7875,1.10846631207787
2019.8525,1.10941840304683
2019.9175,1.09862925193342
2019.9825,1.1027499999927
2020.0475,1.09792176854043
2020.1125,1.10301530555803
2020.1775,1.09561734592833
2020.2425,1.10007312841156
2020.3075,1.10439057209676
2020.3725,1.09186499977112
2020.4375,1.08113499981165
2020.5025,1.08548999971151
2020.5675,1.07941166633368
2020.6325,1.08235785701161
2020.6975,1.08085833311081
2020.7625,1.08682833298047
2020.8275,1.08438999968767
2020.8925,1.08881666644414
2020.9575,1.08876023802161
2021.0225,1.0810926188117
2021.0875,1.09023500002566
2021.1525,1.09697666655268
2021.2175,1.10918999965986
2021.2825,1.1039367850806
2021.3475,1.09152166586405
2021.4125,1.08883499940236
2021.4775,1.08006690470945
2021.5425,1.08818999989827
2021.6075,1.09044190459024
2021.6725,1.08416333316054
2021.7375,1.08700333329042
2021.8025,1.08508166683288
2021.8675,1.0788923809798
2021.9325,1.08680277788923
2021.9975,1.07710690498778
2022.0625,1.086463333479
2022.1275,1.08791666680243
2022.1925,1.08453880992674
2022.2575,1.08199000024796
2022.3225,1.08988803060217
2022.3875,1.09386467352259
2022.4525,1.0966923017631
2022.5175,1.09651720496709
2022.5825,1.08650095499215
2022.6475,1.06929849563278
2022.7125,1.05863676135979
2022.7775,1.04849474373905
2022.8425,1.05595156698249
2022.9075,1.09061528719307
2022.9725,1.06787835227721
2023.0375,1.07896586369012
2023.1025,1.06963343482849
2023.1675,1.03773839154876
2023.2325,1.03776544482785
2023.2975,1.05385777137728
2023.3625,1.03035376842954
2023.4275,1.00841221578029
2023.4925,1.00195679822773
2023.5575,1.00074827584727
2023.6225,1
2023.6875,1
2023.7525,1
2023.8175,1.0005650349597
2023.8825,1.00042296431072
2023.9475,1.03466991244207
2024.0125,1.81122156863652
2024.0775,4.21242347404922
2024.1425,6.35360648371098
2024.2075,6.21226322930518
2024.2725,7.81715112665786
2024.3375,13.3789291857094
2024.4025,NA
2024.4675,NA
