time,cocoa
2018.0325,1.37310129049688
2018.0975,1.7875210440932
2018.1625,1.72149981837014
2018.2275,1.69018846185257
2018.2925,1.58643849935631
2018.3575,1.79943325824748
2018.4225,3.9198715598998
2018.4875,3.7576863926993
2018.5525,1.9951942922531
2018.6175,2.01157507162045
2018.6825,1.65558150126736
2018.7475,1.39163105549422
2018.8125,1.62981794378129
2018.8775,1.82727336716527
2018.9425,1.8309975028253
2019.0075,2.24682957279792
2019.0725,2.31733215125937
2019.1375,2.03624743826142
2019.2025,2.09989461989135
2019.2675,2.48776805436504
2019.3325,1.94350467208313
2019.3975,1.21676942265365
2019.4625,1.20616475175282
2019.5275,1.16066432179774
2019.5925,1.08268951389615
2019.6575,1.09644214256683
2019.7225,1.03095606961279
2019.7875,1.10622102428503
2019.8525,1.32573028946376
2019.9175,1.2328228944112
2019.9825,1.19525675282545
2020.0475,1.15442679986666
2020.1125,1.4847002269339
2020.1775,1.7529618132322
2020.2425,1.32629846416316
2020.3075,1.02302534670484
2020.3725,1.02216383960641
2020.4375,1.0216781959597
2020.5025,1.02067709767451
2020.5675,1.01603083698493
2020.6325,1.0263812582178
2020.6975,1.03754905361923
2020.7625,1.02713231044982
2020.8275,1.01879046849488
2020.8925,1.01977414221647
2020.9575,1.08749889046372
2021.0225,1.1771445978464
2021.0875,1.05197358982201
2021.1525,1.03390074870869
2021.2175,1.04168126924363
2021.2825,1.04256757577887
2021.3475,1.02773753366341
2021.4125,1.0853969235812
2021.4775,1.13691783071077
2021.5425,1.06629887829478
2021.6075,1.14443930017079
2021.6725,1.50253336050008
2021.7375,1.47845707025004
2021.8025,1.30414167912001
2021.8675,1.59798829212983
2021.9325,1.90271151111036
2021.9975,2.03767060308537
2022.0625,2.45346153211266
2022.1275,2.29147014864511
2022.1925,2.06053495579196
2022.2575,1.803407238447
2022.3225,1.65920191188617
2022.3875,1.73054130625406
2022.4525,1.40589852822996
2022.5175,1.37500482204547
2022.5825,1.31753795362289
2022.6475,1.21877947460795
2022.7125,1.57571773230978
2022.7775,1.53831358164701
2022.8425,1.23745634112246
2022.9075,1.07783040470069
2022.9725,1.20696890283246
2023.0375,1.17155844948129
2023.1025,1.31805287304709
2023.1675,2.26245843346472
2023.2325,5.35864329539257
2023.2975,8.86435584554357
2023.3625,7.5821039389842
2023.4275,7.28709183234676
2023.4925,8.26118546626866
2023.5575,9.8818989042948
2023.6225,10.0800705430561
2023.6875,9.42952801712488
2023.7525,7.79435671685717
2023.8175,6.61752607714447
2023.8825,12.1142410240471
2023.9475,14.3684838248385
2024.0125,10.9966758443836
2024.0775,32.5453554039114
2024.1425,167.999766465721
2024.2075,163.803572666318
2024.2725,22.4877510942706
2024.3375,1
2024.4025,NA
2024.4675,NA
