time,cultivated_managed_vegetation
2018.0325,10.7609230066036
2018.0975,11.624777381037
2018.1625,9.96267080425706
2018.2275,9.16611964240098
2018.2925,9.12340092356608
2018.3575,9.7145535353281
2018.4225,10.7127992364979
2018.4875,11.4950847249892
2018.5525,9.71349824605494
2018.6175,10.2240027435534
2018.6825,10.6265013613977
2018.7475,9.80229927638201
2018.8125,9.27638612727349
2018.8775,9.56598376676395
2018.9425,10.0904412169825
2019.0075,9.62046638790793
2019.0725,9.93926201484333
2019.1375,8.01798850007381
2019.2025,7.17132612160888
2019.2675,7.57819289287216
2019.3325,7.01478627147725
2019.3975,7.22105973791235
2019.4625,6.94731484192195
2019.5275,6.93512751309552
2019.5925,6.35961182244493
2019.6575,7.26263125346306
2019.7225,7.58997105713913
2019.7875,6.97240726909619
2019.8525,8.42286486815441
2019.9175,8.91611397440457
2019.9825,8.30312334350516
2020.0475,8.09304586972255
2020.1125,8.1955785950734
2020.1775,8.70924876902767
2020.2425,8.1641821876363
2020.3075,7.48348161411293
2020.3725,7.19999784236344
2020.4375,7.23273579458272
2020.5025,7.11573784667833
2020.5675,6.43003115994344
2020.6325,6.50838646545098
2020.6975,6.56653390933358
2020.7625,6.73699903937386
2020.8275,6.34146618076573
2020.8925,5.86712321928887
2020.9575,5.76821606705778
2021.0225,6.51648798074084
2021.0875,6.59610025596628
2021.1525,6.42184722714382
2021.2175,6.73833944433384
2021.2825,6.71355471419868
2021.3475,6.3106170643992
2021.4125,6.04190144018853
2021.4775,6.20182815701285
2021.5425,6.1565612288703
2021.6075,6.38810431617281
2021.6725,6.2742424317681
2021.7375,6.70731621840943
2021.8025,8.30907838164714
2021.8675,7.5462544557598
2021.9325,7.73713646079889
2021.9975,8.38616562646736
2022.0625,8.28090061189836
2022.1275,8.74904263953536
2022.1925,8.94498866661669
2022.2575,8.73222951207225
2022.3225,9.56785096571045
2022.3875,10.4026366465814
2022.4525,9.48202999811012
2022.5175,9.1010109018304
2022.5825,9.68110568839045
2022.6475,9.30326160854707
2022.7125,10.3065490206885
2022.7775,10.9099606369621
2022.8425,7.61495323633704
2022.9075,5.48844595441598
2022.9725,3.56422733201888
2023.0375,8.44717462332424
2023.1025,7.49036546813744
2023.1675,14.9582208873628
2023.2325,10.4710456816279
2023.2975,10.2876542608019
2023.3625,12.5802614642506
2023.4275,6.37987455368986
2023.4925,7.91182442843808
2023.5575,10.1596204945427
2023.6225,11.7957004552855
2023.6875,13.4088971182579
2023.7525,14.363503509408
2023.8175,10.5796175242613
2023.8825,6.8348441675524
2023.9475,5.24888980029378
2024.0125,9.2174368877797
2024.0775,20.3748242633043
2024.1425,32.9202069023603
2024.2075,42.534489129548
2024.2725,38.0854123527383
2024.3375,38.2856043643104
2024.4025,NA
2024.4675,NA
