time,banana
2018.0325,12.1508731661699
2018.0975,10.6045213161615
2018.1625,8.49844916995728
2018.2275,6.8326960246848
2018.2925,6.54095401345548
2018.3575,6.1958240153601
2018.4225,9.61696475695759
2018.4875,9.81519321513489
2018.5525,8.6678383463561
2018.6175,9.48919124079695
2018.6825,9.69415384709668
2018.7475,10.9370059817489
2018.8125,12.5289715141112
2018.8775,12.6075853287555
2018.9425,11.9244317004175
2019.0075,12.1004589150592
2019.0725,12.6022468283063
2019.1375,12.0929940457247
2019.2025,12.4440319305193
2019.2675,13.1297804390044
2019.3325,12.5075530148398
2019.3975,12.6874865865774
2019.4625,13.9143737531095
2019.5275,12.9981768977334
2019.5925,13.9374638818772
2019.6575,13.9228681764427
2019.7225,13.1259799232467
2019.7875,12.5806139115031
2019.8525,13.4643029007706
2019.9175,12.5878783677277
2019.9825,11.920763223674
2020.0475,12.4824500470543
2020.1125,12.9751582255961
2020.1775,11.7742633374042
2020.2425,12.2361811683205
2020.3075,11.6069180976003
2020.3725,11.2435882198375
2020.4375,10.9794711491863
2020.5025,10.0764180095394
2020.5675,9.8414773365491
2020.6325,10.3687717709967
2020.6975,11.4172511638181
2020.7625,10.970276739427
2020.8275,10.8011561257149
2020.8925,10.1308772358226
2020.9575,10.3393674216928
2021.0225,10.3964137970077
2021.0875,11.0234475292828
2021.1525,11.3211962866234
2021.2175,10.7472679677833
2021.2825,10.2085175468023
2021.3475,8.1231934057631
2021.4125,7.90787309646477
2021.4775,7.03178645176276
2021.5425,7.88892707168338
2021.6075,7.59487155955686
2021.6725,6.81866153162731
2021.7375,7.14937521168547
2021.8025,6.53923154527134
2021.8675,6.16225968824752
2021.9325,6.29703141148005
2021.9975,7.20181093282683
2022.0625,6.32966268068214
2022.1275,6.76481851332126
2022.1925,6.26271486752856
2022.2575,5.93605197922952
2022.3225,7.48272298561872
2022.3875,7.4393264534993
2022.4525,7.57707523026268
2022.5175,8.05851285494149
2022.5825,6.48482257525514
2022.6475,5.52192313016607
2022.7125,5.2497931373371
2022.7775,4.73134498190485
2022.8425,3.99405873601527
2022.9075,4.92247565928522
2022.9725,4.29311149233809
2023.0375,7.41931889493812
2023.1025,7.67371511354226
2023.1675,9.80977649388349
2023.2325,7.81307169620126
2023.2975,5.96741847192836
2023.3625,7.86898629510541
2023.4275,13.3741587472687
2023.4925,16.7698941599849
2023.5575,21.3395197554465
2023.6225,24.0881681524685
2023.6875,26.4508429257956
2023.7525,25.0019832055869
2023.8175,15.8997582682905
2023.8825,8.75990052967426
2023.9475,6.97432566653248
2024.0125,7.22510039720078
2024.0775,9.49784195895226
2024.1425,20.0508761363865
2024.2075,19.739585506585
2024.2725,9.28160823337974
2024.3375,3.3503126382728
2024.4025,NA
2024.4675,NA
