time,mixed_trees
2018.0325,3.21893016867933
2018.0975,3.53404498940213
2018.1625,3.24815175565176
2018.2275,3.56954076942635
2018.2925,4.00409669873609
2018.3575,3.86992898650918
2018.4225,4.8551100126354
2018.4875,5.21590939824206
2018.5525,5.14554701275151
2018.6175,5.34258149325663
2018.6825,4.88175486118407
2018.7475,4.42928651564218
2018.8125,4.80400188895861
2018.8775,5.082492311401
2018.9425,5.41695672922628
2019.0075,5.16650778768218
2019.0725,4.95874506096783
2019.1375,4.27994664350284
2019.2025,4.21084435797522
2019.2675,4.55090983167042
2019.3325,4.43609655579492
2019.3975,4.63648965231466
2019.4625,4.48446664059248
2019.5275,4.48856401950454
2019.5925,3.95211012499538
2019.6575,4.54319159022306
2019.7225,4.40765443825914
2019.7875,4.41718662924186
2019.8525,4.78188775131583
2019.9175,4.76730416308686
2019.9825,4.28628591639079
2020.0475,4.63217607380391
2020.1125,5.22362726391476
2020.1775,4.97988710751328
2020.2425,4.93522313494397
2020.3075,4.61388025290459
2020.3725,4.43535302437438
2020.4375,4.19666446065316
2020.5025,3.86234153644983
2020.5675,3.90971701403469
2020.6325,3.69100080388647
2020.6975,3.729851027199
2020.7625,4.2282521954727
2020.8275,3.75893652381349
2020.8925,3.41251647489428
2020.9575,3.25517359274468
2021.0225,3.79852346496429
2021.0875,4.07875861535084
2021.1525,3.90469207824918
2021.2175,3.92647143485491
2021.2825,3.94535867771467
2021.3475,3.71930718229828
2021.4125,3.50939229708674
2021.4775,3.35458291498281
2021.5425,3.31626649323443
2021.6075,3.29746080219961
2021.6725,3.27724364591934
2021.7375,3.51834657264721
2021.8025,3.72533995321437
2021.8675,3.15549491959461
2021.9325,3.16989818303705
2021.9975,3.21871792760362
2022.0625,3.17095367068573
2022.1275,3.22726388680825
2022.1925,3.19376762134122
2022.2575,2.71925876230977
2022.3225,2.69379683358779
2022.3875,3.08336219883013
2022.4525,3.19809372074425
2022.5175,3.09696951394603
2022.5825,2.74865645924241
2022.6475,2.53504911781786
2022.7125,2.73201442041635
2022.7775,2.68848230420417
2022.8425,1.87629476701147
2022.9075,2.13619677689272
2022.9725,1.97948000571345
2023.0375,3.65931600023264
2023.1025,3.73824582882674
2023.1675,9.18646830223734
2023.2325,6.88009239923669
2023.2975,6.25446463457292
2023.3625,4.40049044359859
2023.4275,1.81775879051044
2023.4925,2.75412807436913
2023.5575,3.76969471700077
2023.6225,5.21465154074148
2023.6875,5.98146295115573
2023.7525,7.05138241169385
2023.8175,4.84028388345231
2023.8825,3.09184902618779
2023.9475,2.79504133087789
2024.0125,7.96237089748244
2024.0775,15.5065528967001
2024.1425,19.014188492428
2024.2075,20.0387488973573
2024.2725,22.5552952109808
2024.3375,23.0008031250298
2024.4025,NA
2024.4675,NA
