time,forest_loss
2018.0325,1.02102857164989
2018.0975,1.01329666669481
2018.1625,1.01353749996633
2018.2275,1.01348888885049
2018.2925,1.00958571435712
2018.3575,1.00794999983627
2018.4225,1.01328636365559
2018.4875,1.01249166692408
2018.5525,1.00537071436265
2018.6175,1.00743333336504
2018.6825,1.01030795450424
2018.7475,1.01082727274942
2018.8125,1.01264253719279
2018.8775,1.01181025609884
2018.9425,1.0136000001803
2019.0075,1.00947539682758
2019.0725,1.00945624998712
2019.1375,1.00618267969401
2019.2025,1.01077380958004
2019.2675,1.00881078440294
2019.3325,1.00699509809298
2019.3975,1.00746666640043
2019.4625,1.00816666683143
2019.5275,1.00816666683143
2019.5925,1.01110000001063
2019.6575,1.00651764712187
2019.7225,1.0061166667276
2019.7875,1.00506029402818
2019.8525,1.00764183004608
2019.9175,1.00858888890717
2019.9825,1.0094772221105
2020.0475,1.01072226947872
2020.1125,1.00655500006978
2020.1775,1.00803000005581
2020.2425,1.00677301593394
2020.3075,1.00632500005304
2020.3725,1.00523125007339
2020.4375,1.00668076926728
2020.5025,1.00595000009207
2020.5675,1.00530000001163
2020.6325,1.00546999999788
2020.6975,1.00830357149347
2020.7625,1.00727615381385
2020.8275,1.00974642858091
2020.8925,1.01561666691365
2020.9575,1.01481666656521
2021.0225,1.01271666677591
2021.0875,1.01202675658017
2021.1525,1.0126541669985
2021.2175,1.01251153854089
2021.2825,1.01513333368105
2021.3475,1.01298571419417
2021.4125,1.01052220274441
2021.4775,1.01943099241741
2021.5425,1.01354547630818
2021.6075,1.01409654147851
2021.6725,1.01139519244559
2021.7375,1.01437152791909
2021.8025,1.01904791676336
2021.8675,1.012773958321
2021.9325,1.01174475513072
2021.9975,1.00959886357784
2022.0625,1.01205375030186
2022.1275,1.01466571411251
2022.1925,1.01471354173635
2022.2575,1.01669961550774
2022.3225,1.01866599995356
2022.3875,1.01547467546041
2022.4525,1.02093084927852
2022.5175,1.02010088276251
2022.5825,1.02126559274045
2022.6475,1.01578597536185
2022.7125,1.0176476990242
2022.7775,1.0153177376739
2022.8425,1.00584659095173
2022.9075,1.00560066955567
2022.9725,1.01387840635394
2023.0375,1.03493349724521
2023.1025,1.02731551240632
2023.1675,1.0355619480999
2023.2325,1.02880387938042
2023.2975,1.04086641641986
2023.3625,1.04790745301457
2023.4275,1.0039496740445
2023.4925,1.00810644408838
2023.5575,1.01344874843763
2023.6225,1.02323759406044
2023.6875,1.03189183929729
2023.7525,1.03677400997013
2023.8175,1.04881984079273
2023.8825,1.04029714832979
2023.9475,1.02148777263302
2024.0125,1.02657841327966
2024.0775,1.02209770816862
2024.1425,1.01997145739953
2024.2075,1.01491948463598
2024.2725,1.01125052463673
2024.3375,1.01159923392365
2024.4025,NA
2024.4675,NA
