time,maize
2018.0325,3.44222984313965
2018.0975,4.55703258514404
2018.1625,4.70804052352905
2018.2275,3.62198347647985
2018.2925,3.32010920842489
2018.3575,3.42684864997864
2018.4225,13.6671454310417
2018.4875,8.46781659126282
2018.5525,4.61400000254313
2018.6175,6.63748904141513
2018.6825,5.79992683728536
2018.7475,6.99918119311333
2018.8125,5.90754572550456
2018.8775,8.06284584999085
2018.9425,14.4424362182617
2019.0075,23.311863899231
2019.0725,15.4528898239136
2019.1375,7.40542191267014
2019.2025,6.62187816983178
2019.2675,7.36742449601491
2019.3325,7.40391574303309
2019.3975,9.08379689852397
2019.4625,10.4387910842896
2019.5275,8.95227793284825
2019.5925,12.3220043182373
2019.6575,8.62862532479422
2019.7225,7.86593691507975
2019.7875,12.5261550426483
2019.8525,18.5585913896561
2019.9175,20.6242811203003
2019.9825,17.3738352179527
2020.0475,17.2462684313456
2020.1125,22.4015110333761
2020.1775,22.4929318785667
2020.2425,9.77301588739668
2020.3075,10.8898233686175
2020.3725,12.9770857493083
2020.4375,12.3220043182373
2020.5025,11.1898038864136
2020.5675,10.0576034545898
2020.6325,21.3261907259623
2020.6975,18.639359887441
2020.7625,22.6324895222982
2020.8275,20.1070759296417
2020.8925,19.3434772491455
2020.9575,22.6219197114309
2021.0225,24.6213018326532
2021.0875,32.5178971926371
2021.1525,21.2856288637434
2021.2175,20.6117140452067
2021.2825,24.7141621112823
2021.3475,30.8144990830194
2021.4125,34.4547594925026
2021.4775,42.9609847278385
2021.5425,42.5410171647867
2021.6075,33.5410434405009
2021.6725,32.7553694134667
2021.7375,28.8326825823103
2021.8025,40.6916021108627
2021.8675,45.0998831987381
2021.9325,47.2166019201279
2021.9975,50.1645010085333
2022.0625,43.5208278656006
2022.1275,36.6851563453674
2022.1925,33.3235282514776
2022.2575,32.4849273877011
2022.3225,36.3571975231171
2022.3875,31.1416723128648
2022.4525,38.850728640751
2022.5175,36.4332927068075
2022.5825,35.7114779490121
2022.6475,34.8587578667535
2022.7125,35.1821771829159
2022.7775,26.2965347524872
2022.8425,22.4870583390576
2022.9075,21.15592355684
2022.9725,28.2365137195749
2023.0375,84.847181023779
2023.1025,76.4492155295197
2023.1675,167.855822115448
2023.2325,138.975426420763
2023.2975,94.2308059928105
2023.3625,90.0478015735237
2023.4275,40.447663386356
2023.4925,48.5665330108843
2023.5575,64.845235153607
2023.6225,83.339915860783
2023.6875,146.497259521484
2023.7525,189.621743213189
2023.8175,161.905379778892
2023.8825,103.620058384244
2023.9475,53.2370133750215
2024.0125,53.7174221376146
2024.0775,98.0621994707751
2024.1425,198.332364225572
2024.2075,165.871069296086
2024.2725,187.223229159733
2024.3375,145.177373749869
2024.4025,NA
2024.4675,NA
