time,Brazil_culex_q_map
2015.52089433738,NA
2015.5651805813,NA
2015.60946682523,NA
2015.65375306915,NA
2015.69803931307,NA
2015.742325557,NA
2015.78661180092,NA
2015.83089804484,NA
2015.87518428876,NA
2015.91947053269,NA
2015.96375677661,NA
2016.00804302053,NA
2016.05232926446,NA
2016.09661550838,NA
2016.1409017523,NA
2016.18518799623,NA
2016.22947424015,NA
2016.27376048407,NA
2016.31804672799,NA
2016.36233297192,NA
2016.40661921584,NA
2016.45090545976,NA
2016.49519170369,NA
2016.53947794761,NA
2016.58376419153,NA
2016.62805043545,NA
2016.67233667938,NA
2016.7166229233,0.0882483497262001
2016.76090916722,0.0882483497262001
2016.80519541115,0.0882483497262001
2016.84948165507,0.0879987955093384
2016.89376789899,0.0879987955093384
2016.93805414291,0.0880403878788153
2016.98234038684,0.0880403878788153
2017.02662663076,0.0989842358976603
2017.07091287468,0.0989842358976603
2017.11519911861,0.102936344221234
2017.15948536253,0.102936344221234
2017.20377160645,0.0907791076848904
2017.24805785037,0.0907791076848904
2017.2923440943,0.0907791076848904
2017.33663033822,0.0907791076848904
2017.38091658214,0.0919063119590283
2017.42520282607,0.0909531650599092
2017.46948906999,0.0906458909778545
2017.51377531391,0.0894858040329483
2017.55806155783,0.0891851898508541
2017.60234780176,0.0890551293786201
2017.64663404568,0.0901808882339133
2017.6909202896,0.0914207881937424
2017.73520653353,0.0947730288012988
2017.77949277745,0.0975323324136081
2017.82377902137,0.0965287736141019
2017.8680652653,0.0960309290783662
2017.91235150922,0.0938868358455322
2017.95663775314,0.0933993080630899
2018.00092399706,0.0938342599937367
2018.04521024099,0.0957315412956098
2018.08949648491,0.0967374117128433
2018.13378272883,0.0969620856936231
2018.17806897276,0.0976814772778501
2018.22235521668,0.100635075483185
2018.2666414606,0.102322051325479
2018.31092770452,0.0978743310056387
2018.35521394845,0.098217786900619
2018.39950019237,0.098403858486563
2018.44378643629,0.0986402521342641
2018.48807268022,0.096643097884953
2018.53235892414,0.0979624555653168
2018.57664516806,0.0976932358298753
2018.62093141198,0.0976558815718182
2018.66521765591,0.096916415740455
2018.70950389983,0.0980419884587443
2018.75379014375,0.0979786280299658
2018.79807638768,0.101889097156888
2018.8423626316,0.101771720851056
2018.88664887552,0.102335314265117
2018.93093511944,0.102863081286351
2018.97522136337,0.100801884039652
2019.01950760729,0.0995565435032786
2019.06379385121,0.0999335420060124
2019.10808009514,0.100776852474858
2019.15236633906,0.102652593075188
2019.19665258298,0.10373575560039
2019.24093882691,0.103639538232715
2019.28522507083,0.10222141441208
2019.32951131475,0.103428039751665
2019.37379755867,0.102788255293333
2019.4180838026,0.100956559439634
2019.46237004652,0.100323835362023
2019.50665629044,0.0998574910520375
2019.55094253437,0.102766194909748
2019.59522877829,0.104740277664077
2019.63951502221,0.105646071927717
2019.68380126613,0.105111698574591
2019.72808751006,0.105219078176026
2019.77237375398,0.106315550834887
2019.8166599979,0.10697353919968
2019.86094624183,0.106652386860503
2019.90523248575,0.106611298253252
2019.94951872967,0.105709725650586
2019.99380497359,0.104371158673427
2020.03809121752,0.105108620899104
2020.08237746144,0.106316982824848
2020.12666370536,0.106713160505389
2020.17094994929,0.104717187169268
2020.21523619321,0.106043196462392
2020.25952243713,0.104990090144616
2020.30380868105,0.105103042645129
2020.34809492498,0.106727199240175
2020.3923811689,0.105849900273865
2020.43666741282,0.106005389094865
2020.48095365675,0.106552365567091
2020.52523990067,0.105327921815191
2020.56952614459,0.105188445284758
2020.61381238852,0.105213729239667
2020.65809863244,0.105806205403947
2020.70238487636,0.105619584894441
2020.74667112028,0.106832232309246
2020.79095736421,0.107076677999147
