time,evergreen_broadleaf
2018.0325,87.1445273669272
2018.0975,85.3610444087444
2018.1625,87.1527848472915
2018.2275,87.1783132823267
2018.2925,86.6488361899893
2018.3575,86.3277363611428
2018.4225,83.82925863871
2018.4875,82.1245426024515
2018.5525,84.3218250427673
2018.6175,83.6268339025472
2018.6825,83.1000966481461
2018.7475,85.1843551865557
2018.8125,85.6351688110017
2018.8775,85.2470153964995
2018.9425,84.462582583463
2019.0075,84.8899393438785
2019.0725,84.766527015862
2019.1375,87.0544293422487
2019.2025,87.9711988904612
2019.2675,86.8082440814877
2019.3325,87.8533591537199
2019.3975,87.966971967587
2019.4625,88.9457032562723
2019.5275,89.3218586080981
2019.5925,89.9547994166842
2019.6575,87.6369840949476
2019.7225,87.6477674035729
2019.7875,88.7232259808028
2019.8525,86.3437067020047
2019.9175,85.7885897238582
2019.9825,86.372448395456
2020.0475,86.8695945054182
2020.1125,86.4844302066945
2020.1775,86.139194434776
2020.2425,86.6568228760289
2020.3075,87.7853258492311
2020.3725,88.264602877174
2020.4375,88.6586776689643
2020.5025,88.5733811533375
2020.5675,89.6790509958958
2020.6325,89.4737368798022
2020.6975,89.810532013728
2020.7625,89.2784363136431
2020.8275,89.8903451566828
2020.8925,90.9382678332268
2020.9575,91.1502328119094
2021.0225,89.5633775115244
2021.0875,89.4705083152856
2021.1525,89.3952495037477
2021.2175,89.0480792503436
2021.2825,88.8415294620171
2021.3475,89.7380520772781
2021.4125,90.140968128084
2021.4775,90.1232359978811
2021.5425,90.4047816423555
2021.6075,90.3907015689458
2021.6725,90.7366759820536
2021.7375,89.9864805064231
2021.8025,88.4771455242876
2021.8675,89.7544189979486
2021.9325,89.2188734779061
2021.9975,88.5432814486437
2022.0625,88.8979293714715
2022.1275,88.1405962667828
2022.1925,88.0341652735643
2022.2575,88.0989327144064
2022.3225,87.3867752416581
2022.3875,86.646023845353
2022.4525,87.5622555957443
2022.5175,88.3166650461948
2022.5825,88.0453577234345
2022.6475,88.7434861705919
2022.7125,87.6557998673579
2022.7775,87.27294078728
2022.8425,90.9073835812339
2022.9075,90.0619884662611
2022.9725,91.6949542241683
2023.0375,88.9994233469426
2023.1025,89.5714043881498
2023.1675,76.94063692584
2023.2325,84.0687983621953
2023.2975,84.2973675735025
2023.3625,83.9130656087758
2023.4275,68.1932819699702
2023.4925,60.8524985471455
2023.5575,52.266539993956
2023.6225,51.601469523084
2023.6875,54.4987612224669
2023.7525,64.2432339309458
2023.8175,78.0585556439908
2023.8825,74.5764068975207
2023.9475,63.1590034887156
2024.0125,63.6428848219306
2024.0775,50.8060123260894
2024.1425,38.8661861909374
2024.2075,20.666733674345
2024.2725,13.9226314323176
2024.3375,3.19661490587725
2024.4025,NA
2024.4675,NA
