time,evergreen_broadleaf
2018.0325,96
2018.0975,94.6666666666667
2018.1625,98.1815511163337
2018.2275,96.2146153846154
2018.2925,97.6346153846154
2018.3575,97.4347826086957
2018.4225,94.7217194570136
2018.4875,88.8034090909091
2018.5525,90.25
2018.6175,92.3246753246753
2018.6825,92.1772486772487
2018.7475,94.0217391304348
2018.8125,92.5
2018.8775,95.0833333333333
2018.9425,93.9375
2019.0075,93.4777777777778
2019.0725,93.542735042735
2019.1375,96
2019.2025,96.732057416268
2019.2675,96.4908906882591
2019.3325,97.1055555555556
2019.3975,96.5217391304348
2019.4625,97.3793103448276
2019.5275,96.56
2019.5925,97.7142857142857
2019.6575,97.2307692307692
2019.7225,97.8518518518518
2019.7875,97.1510416666667
2019.8525,95.0113500597372
2019.9175,93.8318014705882
2019.9825,94.7896825396825
2020.0475,95.7071428571429
2020.1125,95.8844444444444
2020.1775,96.1960526315789
2020.2425,96.3760683760684
2020.3075,97.1333333333333
2020.3725,96.7083333333333
2020.4375,95.7262931034483
2020.5025,97.125
2020.5675,95.8947368421053
2020.6325,96.7608695652174
2020.6975,97.0548418972332
2020.7625,95.75
2020.8275,96.4650793650794
2020.8925,96.7792207792208
2020.9575,96.1416666666667
2021.0225,96.0697278911565
2021.0875,95.2379120879121
2021.1525,95.8505434782609
2021.2175,95.7863777089783
2021.2825,94.6161616161616
2021.3475,95.2045454545455
2021.4125,95.1784426820476
2021.4775,94.0978260869565
2021.5425,95.4423076923077
2021.6075,94.5714285714286
2021.6725,94.1368921775899
2021.7375,95.7037037037037
2021.8025,93.3733766233766
2021.8675,94.5330882352941
2021.9325,94.3065789473684
2021.9975,92.6372549019608
2022.0625,93.3248120300752
2022.1275,92.7153846153846
2022.1925,91.4166666666667
2022.2575,91.9334140435835
2022.3225,91.8476107226107
2022.3875,91.3453608247423
2022.4525,89.2111111111111
2022.5175,89.6970443349754
2022.5825,90.5192307692308
2022.6475,91.0694094422043
2022.7125,89.7697676512968
2022.7775,88.9397731064398
2022.8425,93.7735250840807
2022.9075,91.6331739558431
2022.9725,91.8511653644788
2023.0375,88.8341099174119
2023.1025,89.550388505086
2023.1675,77.2591071023077
2023.2325,84.1912546958699
2023.2975,85.0853016345108
2023.3625,85.3264060275399
2023.4275,93.3008893200743
2023.4925,83.0393115942029
2023.5575,64.6633913531724
2023.6225,61.1347708894879
2023.6875,63.202911777488
2023.7525,68.8194477294229
2023.8175,79.394854446921
2023.8825,75.5594941815148
2023.9475,62.8294304264467
2024.0125,62.504421054231
2024.0775,50.5370840668446
2024.1425,37.2351976788746
2024.2075,19.544045604823
2024.2725,12.9706390620764
2024.3375,2.1893741851369
2024.4025,NA
2024.4675,NA
