time,Brazil_precipitation_mean_2023_crop_mask
2018.0325,5.82689229647319
2018.0975,5.78905410993667
2018.1625,5.91816220113209
2018.2275,5.87902787753514
2018.2925,5.93649298804147
2018.3575,5.94938468933105
2018.4225,5.88094558318456
2018.4875,5.9386283329555
2018.5525,5.93528899550438
2018.6175,5.88390320539474
2018.6825,5.94306826591492
2018.7475,5.92410978674889
2018.8125,5.89192008972168
2018.8775,5.87768714200883
2018.9425,5.8632226785024
2019.0075,5.88021261162228
2019.0725,5.81576915582021
2019.1375,5.74344354867935
2019.2025,5.85513864244734
2019.2675,5.7681415438652
2019.3325,5.75648678143819
2019.3975,5.77428368727366
2019.4625,5.73942438761393
2019.5275,5.74635521570842
2019.5925,5.65736307416643
2019.6575,5.59046173095703
2019.7225,5.69210922718048
2019.7875,5.51933999061584
2019.8525,5.57192444801331
2019.9175,5.57718044916789
2019.9825,5.55458587691897
2020.0475,5.63496805023361
2020.1125,5.51990795135498
2020.1775,5.53731649120649
2020.2425,5.58126491308212
2020.3075,5.622081722532
2020.3725,5.59427608052889
2020.4375,5.58929498990377
2020.5025,5.79949193000793
2020.5675,5.72781247297923
2020.6325,5.5846319993337
2020.6975,5.63576372645118
2020.7625,5.65704081739698
2020.8275,5.7489519579844
2020.8925,5.74546859661738
2020.9575,5.75602382421494
2021.0225,5.7127921623843
2021.0875,5.80147988200188
2021.1525,5.88986171285311
2021.2175,5.94821530580521
2021.2825,5.9558881521225
2021.3475,5.97952311689203
2021.4125,5.9994935542345
2021.4775,6.0470423884206
2021.5425,6.02137523889542
2021.6075,5.88532154560089
2021.6725,5.95895969867706
2021.7375,6.02088015079498
2021.8025,6.02020119537007
2021.8675,5.97140530745188
2021.9325,6.05423583733408
2021.9975,6.10829330436767
2022.0625,6.05231870137728
2022.1275,6.03154713766915
2022.1925,5.9955885330836
2022.2575,6.05899705594046
2022.3225,6.18421454644646
2022.3875,6.16858358383179
2022.4525,6.02854681015015
2022.5175,6.06961961090565
2022.5825,6.14160546461741
2022.6475,6.20882375580924
2022.7125,6.22167609113283
2022.7775,6.21141424030066
2022.8425,6.84949980634238
2022.9075,7.46241999056412
2022.9725,7.45021337541662
2023.0375,6.29588945154251
2023.1025,6.56986869217933
2023.1675,5.45182234871047
2023.2325,5.57937593256214
2023.2975,5.36678836945506
2023.3625,5.5260634121755
2023.4275,6.4691917091608
2023.4925,6.77738075846373
2023.5575,6.41841927212621
2023.6225,6.1995370388031
2023.6875,5.89406226362501
2023.7525,5.81997116418256
2023.8175,5.94880134303276
2023.8825,6.31234125054848
2023.9475,6.43289389744596
2024.0125,6.17149059882609
2024.0775,5.43005788436717
2024.1425,4.92004077190095
2024.2075,4.70159488660615
2024.2725,4.310408279543
2024.3375,4.1842039490675
2024.4025,NA
2024.4675,NA
