time,water
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1.20666666666667
2018.3575,1.14622641509434
2018.4225,1
2018.4875,1.24051724137931
2018.5525,1.30138888888889
2018.6175,1.40364583333333
2018.6825,1.57352941176471
2018.7475,1.34814814814815
2018.8125,1
2018.8775,1
2018.9425,1.13080168776371
2019.0075,1.1260162601626
2019.0725,1.18452380952381
2019.1375,1.40178571428571
2019.2025,1.30588235294118
2019.2675,1.20872093023256
2019.3325,1
2019.3975,1
2019.4625,1.06813186813187
2019.5275,1.19871794871795
2019.5925,1.12490842490843
2019.6575,1.08333333333333
2019.7225,1.44982078853047
2019.7875,1.36258865248227
2019.8525,1.45104166666667
2019.9175,1.57312925170068
2019.9825,1.61989795918367
2020.0475,1.3265306122449
2020.1125,1.32585034013605
2020.1775,1.27551020408163
2020.2425,1.35204081632653
2020.3075,1.31565656565657
2020.3725,1.3375
2020.4375,1.43916666666667
2020.5025,1.4495
2020.5675,1.31
2020.6325,1.29833333333333
2020.6975,1.26
2020.7625,1.098
2020.8275,1
2020.8925,1
2020.9575,1
2021.0225,1
2021.0875,1
2021.1525,1.0775
2021.2175,1.0775
2021.2825,1
2021.3475,1.062
2021.4125,1.062
2021.4775,1
2021.5425,1
2021.6075,1
2021.6725,1
2021.7375,1.20028571428571
2021.8025,1.195
2021.8675,1.062
2021.9325,1
2021.9975,1
2022.0625,1
2022.1275,1.062
2022.1925,1.05166666666667
2022.2575,1
2022.3225,1
2022.3875,1.05267973856209
2022.4525,1.01823529411765
2022.5175,1.02818181818182
2022.5825,1.019375
2022.6475,1.05209722222222
2022.7125,1.1719456902333
2022.7775,1.28247285158082
2022.8425,1.0674244432348
2022.9075,2.03446122818476
2022.9725,3.21438069349269
2023.0375,1
2023.1025,1.01442875357856
2023.1675,1.01142479235408
2023.2325,1.03602259124719
2023.2975,1.49347853560927
2023.3625,2.28800450037476
2023.4275,7.4200185408809
2023.4925,8.97048692630039
2023.5575,9.79269258214079
2023.6225,9.96750486321384
2023.6875,9.36009803722654
2023.7525,8.76438745182207
2023.8175,8.20696968230184
2023.8825,13.5635301379801
2023.9475,20.1870117724835
2024.0125,15.4280220655327
2024.0775,7.93946504484973
2024.1425,5.6374124180972
2024.2075,3.822907765887
2024.2725,1.57494086342084
2024.3375,1
2024.4025,NA
2024.4675,NA
