time,cattle
2018.0325,2168.68629635341
2018.0975,2076.80103148763
2018.1625,1994.19351668322
2018.2275,2054.99882886479
2018.2925,1979.86319531298
2018.3575,2069.75603278253
2018.4225,2455.9617705273
2018.4875,2617.43751368619
2018.5525,2306.77201553914
2018.6175,2313.24495765971
2018.6825,2250.21690096953
2018.7475,2217.91760445575
2018.8125,2435.7956873468
2018.8775,2469.45420669404
2018.9425,2379.18650068568
2019.0075,2380.71469796084
2019.0725,2406.79038862851
2019.1375,2175.37928616219
2019.2025,2140.97685100442
2019.2675,2119.28549418309
2019.3325,2093.1982109378
2019.3975,2076.1495944335
2019.4625,2046.58766298048
2019.5275,2026.1851711951
2019.5925,2095.71611770176
2019.6575,2154.03965502505
2019.7225,2125.84810642768
2019.7875,2132.60041943616
2019.8525,2182.33810813146
2019.9175,2184.79566289025
2019.9825,2144.22273470513
2020.0475,2054.44410708685
2020.1125,1958.10124294125
2020.1775,1905.00690048393
2020.2425,1877.99311261578
2020.3075,1846.38330178164
2020.3725,1879.74945882861
2020.4375,1809.16021639896
2020.5025,1792.1721990988
2020.5675,1703.43090311205
2020.6325,1722.46350044621
2020.6975,1680.15210759034
2020.7625,1728.41163151879
2020.8275,1714.39961422079
2020.8925,1677.20533309661
2020.9575,1718.71614917228
2021.0225,1757.38545247719
2021.0875,1759.56411515792
2021.1525,1705.45091216955
2021.2175,1642.51936646702
2021.2825,1724.7673756823
2021.3475,1765.78907934934
2021.4125,1848.99431725451
2021.4775,1904.46398965806
2021.5425,2003.45007159768
2021.6075,1972.55624435634
2021.6725,2033.48248687314
2021.7375,2063.91057154828
2021.8025,2072.12842853114
2021.8675,1968.62461353012
2021.9325,1958.69635783522
2021.9975,2078.18226120188
2022.0625,1999.08723272822
2022.1275,1928.19584526429
2022.1925,1824.05282106281
2022.2575,1654.84912608223
2022.3225,1638.01345454756
2022.3875,1756.68054184322
2022.4525,1634.83395826602
2022.5175,1662.84486077824
2022.5825,1571.29075550616
2022.6475,1487.52788565225
2022.7125,1732.31573394716
2022.7775,1671.53429663411
2022.8425,1093.88295974845
2022.9075,876.764744218802
2022.9725,681.783905029838
2023.0375,1821.78293900274
2023.1025,1799.1422178015
2023.1675,3963.34357622684
2023.2325,3351.8418063124
2023.2975,3003.2797110153
2023.3625,2533.84987808359
2023.4275,776.782830796453
2023.4925,979.646298614584
2023.5575,1323.05567864371
2023.6225,1729.35869667998
2023.6875,2058.91867761698
2023.7525,2296.71872856632
2023.8175,1874.42248606736
2023.8825,1155.131582573
2023.9475,561.684835380305
2024.0125,531.139098613424
2024.0775,1693.15825862377
2024.1425,2846.35908057689
2024.2075,2733.25299137657
2024.2725,2501.25153384579
2024.3375,2355.65673566951
2024.4025,NA
2024.4675,NA
