node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startState,endState
521,1033,0.2346478340751,-65.8904805159632,-3.4766054348029,-65.8808902105263,-3.48053336577585,0.2346478340751,0,2018.75826540626,2018.99291324033,NA,BR.AM,BR.AM
521,522,3.919983432744,-65.8904805159632,-3.4766054348029,-69.4521836048256,-9.00735511049492,3.919983432744,0,2018.75826540626,2022.678248839,NA,BR.AM,BR.AC
522,523,0.02036018502534,-69.4521836048256,-9.00735511049492,-69.456046478532,-9.00231846380221,3.94034361776934,3.919983432744,2022.678248839,2022.69860902403,NA,BR.AC,BR.AC
523,531,0.04624206593037,-69.456046478532,-9.00231846380221,-69.4592218806543,-9.00595326172287,3.98658568369971,3.94034361776934,2022.69860902403,2022.74485108996,NA,BR.AC,BR.AC
531,532,0.001039923136566,-69.4592218806543,-9.00595326172287,-69.4593618909257,-9.00566462970098,3.98762560683628,3.98658568369971,2022.74485108996,2022.74589101309,NA,BR.AC,BR.AC
523,524,0.07431890232049,-69.456046478532,-9.00231846380221,-69.4561260710673,-9.00177124874287,4.01466252008983,3.94034361776934,2022.69860902403,2022.77292792635,NA,BR.AC,BR.AC
532,533,0.02793085146226,-69.4593618909257,-9.00566462970098,-69.4580756563008,-9.00365389766958,4.01555645829854,3.98762560683628,2022.74589101309,2022.77382186456,NA,BR.AC,BR.AC
531,675,0.0466112388683,-69.4592218806543,-9.00595326172287,-69.4593427325476,-9.00682869047694,4.03319692256801,3.98658568369971,2022.74485108996,2022.79146232883,NA,BR.AC,BR.AC
675,676,0.02174439049224,-69.4593427325476,-9.00682869047694,-63.078265415109,-7.68046861604901,4.05494131306025,4.03319692256801,2022.79146232883,2022.81320671932,NA,BR.AC,BR.RO
675,520,0.03948340064467,-69.4593427325476,-9.00682869047694,-69.4631624773221,-8.99984115058096,4.07268032321268,4.03319692256801,2022.79146232883,2022.83094572947,PP153979_SegL_LVM_ILMD_ZCD067_Brazil_Rondonia_2022-10-31,BR.AC,BR.AC
676,18,0.01773901015242,-63.078265415109,-7.68046861604901,-63.0790837897169,-7.67966140536423,4.07268032321267,4.05494131306025,2022.81320671932,2022.83094572947,PP153977_SegL_LVM_ILMD_ZCD067_Brazil_Rondonia_2022-10-31,BR.RO,BR.RO
524,525,0.06968852103608,-69.4561260710673,-9.00177124874287,-69.4615374934468,-9.0013053593765,4.08435104112591,4.01466252008983,2022.77292792635,2022.84261644738,NA,BR.AC,BR.AC
1033,1034,3.867568223141,-65.8808902105263,-3.48053336577585,-65.8292824884429,-3.46551112236155,4.1022160572161,0.2346478340751,2018.99291324033,2022.86048146347,NA,BR.AM,BR.AM
1033,1035,3.924054397359,-65.8808902105263,-3.48053336577585,-65.9025114196725,-3.45685959772348,4.1587022314341,0.2346478340751,2018.99291324033,2022.91696763769,NA,BR.AM,BR.AM
1035,1036,0.03691502501517,-65.9025114196725,-3.45685959772348,-68.8199380073458,-7.69377252588768,4.19561725644927,4.1587022314341,2022.91696763769,2022.95388266271,NA,BR.AM,BR.AM
676,677,0.1413358632023,-63.078265415109,-7.68046861604901,-63.0799480622198,-7.68448539009439,4.19627717626255,4.05494131306025,2022.81320671932,2022.95454258252,NA,BR.RO,BR.RO
677,678,0.002790600381939,-63.0799480622198,-7.68448539009439,-63.0796022495696,-7.68665285707151,4.19906777664449,4.19627717626255,2022.95454258252,2022.9573331829,NA,BR.RO,BR.RO
533,534,0.1955277006296,-69.4580756563008,-9.00365389766958,-69.4502761236756,-9.01239023912457,4.21108415892814,4.01555645829854,2022.77382186456,2022.96934956519,NA,BR.AC,BR.AC
1034,7,0.1184094714757,-65.8292824884429,-3.46551112236155,-67.8875506557024,-8.94037154517227,4.2206255286918,4.1022160572161,2022.86048146347,2022.97889093495,PP154130_SegL_LACENAM_ILMD_2068TNM_Brazil_Amazonas_2022-12-24,BR.AM,BR.AM
1034,8,0.1184094714757,-65.8292824884429,-3.46551112236155,-65.8263186489315,-3.46007181549808,4.2206255286918,4.1022160572161,2022.86048146347,2022.97889093495,PP154128_SegL_LACENAM_ILMD_2068TNM_Brazil_Amazonas_2022-12-24,BR.AM,BR.AM
524,530,0.2143743076659,-69.4561260710673,-9.00177124874287,-69.4476805001003,-9.00007682434031,4.22903682775573,4.01466252008983,2022.77292792635,2022.98730223401,NA,BR.AC,BR.AC
1035,1038,0.07791158493064,-65.9025114196725,-3.45685959772348,-65.873239884652,-3.44320591596262,4.23661381636474,4.1587022314341,2022.91696763769,2022.99487922262,NA,BR.AM,BR.AM
677,1026,0.04287149513193,-63.0799480622198,-7.68448539009439,-63.0763880773112,-7.68626699925045,4.23914867139448,4.19627717626255,2022.95454258252,2022.99741407765,NA,BR.RO,BR.RO
534,651,0.02842573828204,-69.4502761236756,-9.01239023912457,-69.4523723995718,-9.01129301073972,4.23950989721018,4.21108415892814,2022.96934956519,2022.99777530347,NA,BR.AC,BR.AC
533,660,0.2308583768211,-69.4580756563008,-9.00365389766958,-66.5599890031593,-4.88287120667867,4.24641483511964,4.01555645829854,2022.77382186456,2023.00468024138,NA,BR.AC,BR.AM
525,527,0.1635601991326,-69.4615374934468,-9.0013053593765,-69.4627528764484,-8.99925190361805,4.24791124025851,4.08435104112591,2022.84261644738,2023.00617664652,NA,BR.AC,BR.AC
