node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startState,endState
521,522,2.65546379328,-65.8502346467801,-3.42890081401248,-65.8273560740509,-3.39303662230655,2.65546379328,0,2018.19582916074,2020.85129295402,NA,BR.AM,BR.AM
522,528,1.735442747493,-65.8273560740509,-3.39303662230655,-69.5493827143698,-8.94145503831144,4.390906540773,2.65546379328,2020.85129295402,2022.58673570152,NA,BR.AM,BR.AC
528,529,0.1800001911655,-69.5493827143698,-8.94145503831144,-69.5383753402143,-8.95060737439254,4.5709067319385,4.390906540773,2022.58673570152,2022.76673589268,NA,BR.AC,BR.AC
529,537,0.04441159727695,-69.5383753402143,-8.95060737439254,-69.5375969178837,-8.95006932047924,4.61531832921545,4.5709067319385,2022.76673589268,2022.81114748996,NA,BR.AC,BR.AC
537,908,0.003280668017904,-69.5375969178837,-8.95006932047924,-69.5405695456693,-8.94931546415841,4.61859899723335,4.61531832921545,2022.81114748996,2022.81442815798,NA,BR.AC,BR.AC
537,538,0.01884417565124,-69.5375969178837,-8.95006932047924,-63.2984033999304,-10.8315596048716,4.63416250486669,4.61531832921545,2022.81114748996,2022.82999166561,NA,BR.AC,BR.RO
908,520,0.0165175714949,-69.5405695456693,-8.94931546415841,-69.5461690498575,-8.94998835237639,4.63511656872825,4.61859899723335,2022.81442815798,2022.83094572947,PP153979_SegL_LVM_ILMD_ZCD067_Brazil_Rondonia_2022-10-31,BR.AC,BR.AC
538,18,0.0009540638615573,-63.2984033999304,-10.8315596048716,-63.2986584126487,-10.8317601457474,4.63511656872825,4.63416250486669,2022.82999166561,2022.83094572947,PP153977_SegL_LVM_ILMD_ZCD067_Brazil_Rondonia_2022-10-31,BR.RO,BR.RO
529,530,0.09503549238173,-69.5383753402143,-8.95060737439254,-69.5364499489162,-8.95034502941194,4.66594222432023,4.5709067319385,2022.76673589268,2022.86177138506,NA,BR.AC,BR.AC
522,523,2.027478554039,-65.8273560740509,-3.39303662230655,-65.8307555362971,-3.40721888026949,4.682942347319,2.65546379328,2020.85129295402,2022.87877150806,NA,BR.AM,BR.AM
538,539,0.07717236921639,-63.2984033999304,-10.8315596048716,-63.2984187254101,-10.8272661168946,4.71133487408308,4.63416250486669,2022.82999166561,2022.90716403483,NA,BR.RO,BR.RO
908,909,0.09694177113365,-69.5405695456693,-8.94931546415841,-69.5452485146015,-8.94860286640158,4.715540768367,4.61859899723335,2022.81442815798,2022.91136992911,NA,BR.AC,BR.AC
539,540,0.0225217232135,-63.2984187254101,-10.8272661168946,-64.7901453766217,-7.26356237961948,4.73385659729658,4.71133487408308,2022.90716403483,2022.92968575804,NA,BR.RO,BR.AM
539,546,0.03019850413962,-63.2984187254101,-10.8272661168946,-63.2993306894779,-10.8282410042084,4.7415333782227,4.71133487408308,2022.90716403483,2022.93736253897,NA,BR.RO,BR.RO
530,532,0.08360211862891,-69.5364499489162,-8.95034502941194,-69.5384230377567,-8.95285293417063,4.74954434294914,4.66594222432023,2022.86177138506,2022.94537350369,NA,BR.AC,BR.AC
909,1030,0.03476348760132,-69.5452485146015,-8.94860286640158,-69.541041200741,-8.95000577703549,4.75030425596832,4.715540768367,2022.91136992911,2022.94613341671,NA,BR.AC,BR.AC
532,533,0.02033929523802,-69.5384230377567,-8.95285293417063,-69.5395577397028,-8.95194045510986,4.76988363818716,4.74954434294914,2022.94537350369,2022.96571279893,NA,BR.AC,BR.AC
909,910,0.05691641754692,-69.5452485146015,-8.94860286640158,-69.5433747725906,-8.94873362548312,4.77245718591392,4.715540768367,2022.91136992911,2022.96828634666,NA,BR.AC,BR.AC
521,1039,4.77583618456,-65.8502346467801,-3.42890081401248,-65.8616266703979,-3.41779425440132,4.77583618456,0,2018.19582916074,2022.9716653453,NA,BR.AM,BR.AM
1039,7,0.007225589648732,-65.8616266703979,-3.41779425440132,-60.0224562843579,-3.10142429130255,4.78306177420873,4.77583618456,2022.9716653453,2022.97889093495,PP154130_SegL_LACENAM_ILMD_2068TNM_Brazil_Amazonas_2022-12-24,BR.AM,BR.AM
1039,8,0.007225589648732,-65.8616266703979,-3.41779425440132,-65.8610951792353,-3.41893110090908,4.78306177420873,4.77583618456,2022.9716653453,2022.97889093495,PP154128_SegL_LACENAM_ILMD_2068TNM_Brazil_Amazonas_2022-12-24,BR.AM,BR.AM
523,524,0.1142828981223,-65.8307555362971,-3.40721888026949,-61.3077669353282,-5.81410684805596,4.7972252454413,4.682942347319,2022.87877150806,2022.99305440618,NA,BR.AM,BR.AM
532,536,0.05251438367032,-69.5384230377567,-8.95285293417063,-69.5406908186625,-8.95462003744582,4.80205872661946,4.74954434294914,2022.94537350369,2022.99788788736,NA,BR.AC,BR.AC
540,541,0.07204794182472,-64.7901453766217,-7.26356237961948,-64.7947990417055,-7.2608151818917,4.8059045391213,4.73385659729658,2022.92968575804,2023.00173369986,NA,BR.AM,BR.AM
523,526,0.1269753118432,-65.8307555362971,-3.40721888026949,-65.8624041623391,-3.4161767263361,4.8099176591622,4.682942347319,2022.87877150806,2023.0057468199,NA,BR.AM,BR.AM
524,6,0.01597351506815,-61.3077669353282,-5.81410684805596,-61.3065540498858,-5.81598827554344,4.81319876050945,4.7972252454413,2022.99305440618,2023.00902792125,PP154151_SegL_LACENAM_ILMD_0002AFS_Brazil_Amazonas_2023-01-04,BR.AM,BR.AM
