node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km
521,522,4.585699665557,-3.44893795639965,-65.8531177882593,-3.4664780592804,-65.9292862545019,4.585699665557,0,2018.33367583919,2022.91937550475,8.68624930808419
522,523,0.05546643237515,-3.4664780592804,-65.9292862545019,-3.45860008823861,-65.9309317508829,4.64116609793215,4.585699665557,2022.91937550475,2022.97484193712,0.895864691212896
523,524,0.03206155141469,-3.45860008823861,-65.9309317508829,-0.343344507403351,-62.8305884788861,4.67322764934684,4.64116609793215,2022.97484193712,2023.00690348854,489.116003769746
524,525,0.01328569139183,-0.343344507403351,-62.8305884788861,-0.343035286084239,-62.8301919405457,4.68651334073867,4.67322764934684,2023.00690348854,2023.02018917993,0.0559787480057672
525,4,0.09842778241652,-0.343035286084239,-62.8301919405457,-6.60619140067407,-65.1382399107346,4.78494112315519,4.68651334073867,2023.02018917993,2023.11861696235,742.86725201763
525,5,0.09842778241652,-0.343035286084239,-62.8301919405457,-0.344769737106473,-62.8279795501555,4.78494112315519,4.68651334073867,2023.02018917993,2023.11861696235,0.312953071944404
524,6,0.002124432712462,-0.343344507403351,-62.8305884788861,-0.343530758840433,-62.830013496417,4.6753520820593,4.67322764934684,2023.00690348854,2023.00902792125,0.0672826024608319
523,1,0.03418598412715,-3.45860008823861,-65.9309317508829,-3.42952553813443,-65.9567093925873,4.6753520820593,4.64116609793215,2022.97484193712,2023.00902792125,4.32220318467827
522,526,0.1753615790836,-3.4664780592804,-65.9292862545019,-3.49225426243084,-65.932883606524,4.7610612446406,4.585699665557,2022.91937550475,2023.09473708383,2.89721509632769
526,3,0.02935933056933,-3.49225426243084,-65.932883606524,2.41791639689527,-61.9919645347009,4.79042057520993,4.7610612446406,2023.09473708383,2023.1240964144,790.680238494772
526,2,0.02935933056933,-3.49225426243084,-65.932883606524,-3.4890718203257,-65.9366055805552,4.79042057520993,4.7610612446406,2023.09473708383,2023.1240964144,0.544573736190222
521,527,2.967247233913,-3.44893795639965,-65.8531177882593,-3.4721315904021,-65.8467900315621,2.967247233913,0,2018.33367583919,2021.3009230731,2.67603525652755
527,528,0.5574449785456,-3.4721315904021,-65.8467900315621,-3.46828793490931,-65.8499229101287,3.5246922124586,2.967247233913,2021.3009230731,2021.85836805165,0.551616876576195
528,7,1.1205228833,-3.46828793490931,-65.8499229101287,-7.54711839581315,-55.7676225873791,4.6452150957586,3.5246922124586,2021.85836805165,2022.97889093495,1205.73082800669
528,8,1.1205228833,-3.46828793490931,-65.8499229101287,-3.46324524733939,-65.8351929604974,4.6452150957586,3.5246922124586,2021.85836805165,2022.97889093495,1.73038697933382
527,529,1.201651389984,-3.4721315904021,-65.8467900315621,1.44058651993084,-64.2928460007282,4.168898623897,2.967247233913,2021.3009230731,2022.50257446309,573.585937542008
529,530,0.2240864450967,1.44058651993084,-64.2928460007282,1.43408604209922,-64.2780547039405,4.3929850689937,4.168898623897,2022.50257446309,2022.72666090819,1.79815111704584
530,9,0.3590793418333,1.43408604209922,-64.2780547039405,1.43707029616368,-64.280285827855,4.752064410827,4.3929850689937,2022.72666090819,2023.08574025002,0.414755181390033
530,531,0.1522866429827,1.43408604209922,-64.2780547039405,1.44247329255315,-64.2820278061883,4.5452717119764,4.3929850689937,2022.72666090819,2022.87894755117,1.03310452073946
531,532,0.0007794305847624,1.44247329255315,-64.2820278061883,1.44271003595968,-64.281864416781,4.54605114256116,4.5452717119764,2022.87894755117,2022.87972698175,0.0320192944629452
532,533,0.1399280309064,1.44271003595968,-64.281864416781,1.43401617045513,-64.2935592422538,4.68597917346756,4.54605114256116,2022.87972698175,2023.01965501266,1.6219168495138
533,534,0.138449086968,1.43401617045513,-64.2935592422538,1.43025929739496,-64.2921684032791,4.82442826043556,4.68597917346756,2023.01965501266,2023.15810409963,0.44595347594064
534,16,0.007088205186193,1.43025929739496,-64.2921684032791,1.4336960638207,-64.2886716948368,4.83151646562176,4.82442826043556,2023.15810409963,2023.16519230481,0.545722037677693
534,17,0.007088205186193,1.43025929739496,-64.2921684032791,-2.31387079949163,-59.3861316042075,4.83151646562176,4.82442826043556,2023.15810409963,2023.16519230481,686.947738056173
533,535,0.3209528005731,1.43401617045513,-64.2935592422538,1.01826329590176,-63.5507543218044,5.00693197404066,4.68597917346756,2023.01965501266,2023.34060781323,94.7466559921095
535,14,0.01362558747148,1.01826329590176,-63.5507543218044,1.01861352703089,-63.5502799735556,5.02055756151214,5.00693197404066,2023.34060781323,2023.3542334007,0.0656335716898987
535,15,0.01362558747148,1.01826329590176,-63.5507543218044,0.85544868141042,-63.2182025391072,5.02055756151214,5.00693197404066,2023.34060781323,2023.3542334007,41.2153459022902
532,536,0.1792431012008,1.44271003595968,-64.281864416781,1.44488032577437,-64.2908142173658,4.72529424376196,4.54605114256116,2022.87972698175,2023.05897008295,1.02489472967794
536,12,0.04046879720201,1.44488032577437,-64.2908142173658,1.44937725207122,-64.2873444912739,4.76576304096397,4.72529424376196,2023.05897008295,2023.09943888016,0.632234003802136
536,13,0.04046879720201,1.44488032577437,-64.2908142173658,-9.1770010027249,-62.497805688769,4.76576304096397,4.72529424376196,2023.05897008295,2023.09943888016,1199.07401183576
531,537,0.131341092303,1.44247329255315,-64.2820278061883,1.43766848811265,-64.28572160488,4.6766128042794,4.5452717119764,2022.87894755117,2023.01028864347,0.674604992765123
537,10,0.05627352435582,1.43766848811265,-64.28572160488,-0.281518607252403,-62.8761655179588,4.73288632863522,4.6766128042794,2023.01028864347,2023.06656216783,247.482287781581
537,11,0.05627352435582,1.43766848811265,-64.28572160488,1.43787635857356,-64.2807015689034,4.73288632863522,4.6766128042794,2023.01028864347,2023.06656216783,0.559152953325974
529,538,0.04817624735812,1.44058651993084,-64.2928460007282,1.4428306659871,-64.292881197709,4.21707487125512,4.168898623897,2022.50257446309,2022.55075071045,0.249857747845097
538,539,0.1260717758208,1.4428306659871,-64.292881197709,-7.05598843153368,-52.7380119860293,4.34314664707592,4.21707487125512,2022.55075071045,2022.67682248627,1594.60515773042
539,540,0.1281036069013,-7.05598843153368,-52.7380119860293,-7.05810450897671,-52.7390518711699,4.47125025397722,4.34314664707592,2022.67682248627,2022.80492609317,0.262092029810401
