Human_population,Urban_&_built-up_areas,Elevation,Herbaceous_vegetation,Cultivated_managed_vegetation,Regularly_flooded_vegetation,Culex_q_map,Culicoides_map,A_aegypti,Soil_moisture_AM,Deciduous_broadleaf_trees,Evergreen_broadleaf_trees,Mixed_trees,Grasslands,Shrublands,Savannas,Woody_savannas,Cropland_&_natural_vegetation,Croplands_2019,Banana_harvested_area,Cassava_harvested_area,Cocoa_harvested_area,Coffee_harvested_area,Maize_harvested_area,Soybean_harvested_area,Sugarcane_harvested_area,Cattle_production,Forest_loss_2020-2023,Waterbodies,Precipitation_mean_2023,Annual_mean_temperature_2020
1,0,86,0,0,0,0.0882483497262001,0.149000003933907,0.943112015724182,0.553363740444183,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53527212142944,0,0,7.77031469345093,27.0033340454102
100,0,139,0,0,0,0.266372084617615,0.18299999833107,0.733065962791443,0.347277849912643,0,100,0,0,0,0,0,0,0,0,9.39513969421387,2.48465752601624,88.8233489990234,93.655517578125,0,0,6782.453125,0.0917000025510788,0,3.55902290344238,27.25
1,0,87,0,0,0,0.0882483497262001,0.149000003933907,0.942076802253723,0.553363740444183,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69937086105347,0,0,7.77031469345093,27.0100002288818
100,0,139,0,0,0,0.266372084617615,0.18299999833107,0.733065962791443,0.347277849912643,0,100,0,0,0,0,0,0,0,0,9.39513969421387,2.48465752601624,88.8233489990234,93.655517578125,0,0,6782.453125,0.0917000025510788,0,3.55902290344238,27.1633338928223
100,0,122,0,0,0,0.266372084617615,0.18299999833107,0.733065962791443,0.347277849912643,0,100,0,0,0,0,0,0,0,0,9.39513969421387,2.48465752601624,88.8233489990234,93.655517578125,0,0,6782.453125,0.0467999987304211,29,3.54787516593933,26.9933338165283
1,0,115,0,0,0,0.0982072353363037,0.0640000030398369,0.881135940551758,0.481600075960159,0,100,0,0,0,0,0,0,0,0,0,0.00240293866954744,0.00163213803898543,0,0,0,44.6476364135742,0,0,5.53167772293091,26.9516658782959
1,0,115,0,0,0,0.0982072353363037,0.0640000030398369,0.881135940551758,0.481600075960159,0,100,0,0,0,0,0,0,0,0,0,0.00240293866954744,0.00163213803898543,0,0,0,44.6476364135742,0,0,5.53167772293091,26.9516658782959
1,0,125,0,0,0,0.0982072353363037,0.0640000030398369,0.881135940551758,0.481600075960159,0,100,0,0,0,0,0,0,0,0,0,0.00240293866954744,0.00163213803898543,0,0,0,44.6476364135742,0,0,5.53167772293091,27.0049991607666
100,0,143,0,0,0,0.266372084617615,0.18299999833107,0.733065962791443,0.347277849912643,0,100,0,0,0,0,0,0,0,0,9.39513969421387,2.48465752601624,88.8233489990234,93.655517578125,0,0,6782.453125,0.0917000025510788,0,3.55902290344238,27.6183338165283
100,0,143,0,0,0,0.266372084617615,0.18299999833107,0.733065962791443,0.347277849912643,0,100,0,0,0,0,0,0,0,0,9.39513969421387,2.48465752601624,88.8233489990234,93.655517578125,0,0,6782.453125,0.0917000025510788,0,3.55902290344238,27.6183338165283
1,0,118,0,0,0,0.0982072353363037,0.0640000030398369,0.881135940551758,0.481600075960159,0,100,0,0,0,0,0,0,0,0,0,0.00240293866954744,0.00163213803898543,0,0,0,44.6476364135742,0,0,5.53167772293091,26.8966674804688
100,0,143,0,0,0,0.266372084617615,0.18299999833107,0.733065962791443,0.347277849912643,0,100,0,0,0,0,0,0,0,0,9.39513969421387,2.48465752601624,88.8233489990234,93.655517578125,0,0,6782.453125,0.0917000025510788,0,3.55902290344238,27.6183338165283
1,0,264,0,0,0,0.117839008569717,0.0729999989271164,0.193229451775551,0.430209159851074,0,100,0,0,0,0,0,0,0,0,7.81665754318237,0,0,0,0,0,1176.43371582031,0.00529999984428287,0,5.53810405731201,26.2800006866455
1,0,87,0,0,0,0.0882483497262001,0.149000003933907,0.769029855728149,0.553363740444183,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69937086105347,0,0,7.77031469345093,27.0083332061768
1,0,260,0,0,0,0.117839008569717,0.0729999989271164,0.193229451775551,0.430209159851074,0,100,0,0,0,0,0,0,0,0,7.81665754318237,0,0,0,0,0,1176.43371582031,0.00529999984428287,0,5.53810405731201,26.2800006866455
100,0,115,0,0,0,0.266372084617615,0.18299999833107,0.733065962791443,0.347277849912643,0,100,0,0,0,0,0,0,0,0,9.39513969421387,2.48465752601624,88.8233489990234,93.655517578125,0,0,6782.453125,0.0467999987304211,29,3.54787516593933,26.9933338165283
