time,pop_2000_scaled_log
2018.0325,2
2018.0975,8.65
2018.1625,5.8
2018.2275,5.75
2018.2925,2
2018.3575,2
2018.4225,7.54166666666667
2018.4875,5
2018.5525,5
2018.6175,8.91666666666667
2018.6825,2
2018.7475,2
2018.8125,6.75
2018.8775,8
2018.9425,8
2019.0075,8
2019.0725,8.16666666666667
2019.1375,9.5
2019.2025,9.5
2019.2675,8.75
2019.3325,8
2019.3975,8
2019.4625,9.5
2019.5275,9.5
2019.5925,8
2019.6575,9.6
2019.7225,12
2019.7875,10.5
2019.8525,10.5
2019.9175,11.9
2019.9825,13.6666666666667
2020.0475,13.3333333333333
2020.1125,11.75
2020.1775,13.6666666666667
2020.2425,14.4583333333333
2020.3075,12
2020.3725,14.125
2020.4375,13.3333333333333
2020.5025,12
2020.5675,14.6666666666667
2020.6325,13
2020.6975,13.3333333333333
2020.7625,15.8333333333333
2020.8275,13.4285714285714
2020.8925,12
2020.9575,14.6666666666667
2021.0225,14.6666666666667
2021.0875,14.125
2021.1525,14.6666666666667
2021.2175,13
2021.2825,12.4545454545455
2021.3475,14.125
2021.4125,13
2021.4775,14.6666666666667
2021.5425,13.1285714285714
2021.6075,14.6666666666667
2021.6725,13.4375
2021.7375,14.3392857142857
2021.8025,12
2021.8675,12.9444444444444
2021.9325,14.25
2021.9975,12
2022.0625,12
2022.1275,11.6071428571429
2022.1925,12
2022.2575,12.6666666666667
2022.3225,11.75
2022.3875,13.5416666666667
2022.4525,13.85
2022.5175,12.0294117647059
2022.5825,12
2022.6475,11.6379310344828
2022.7125,12.7552083333333
2022.7775,15.1161616161616
2022.8425,11.0416666666667
2022.9075,9.61151761517615
2022.9725,13.7108487746563
2023.0375,15.7334900731452
2023.1025,16.9787383481113
2023.1675,27.5481213244067
2023.2325,23.5465697464856
2023.2975,18.7906664166041
2023.3625,19.1208659363589
2023.4275,17.2880952380952
2023.4925,46.8557142857143
2023.5575,82.6190476190476
2023.6225,85.75
2023.6875,81.8100686498856
2023.7525,71.0666666666667
2023.8175,57.2046279491833
2023.8825,81.2551698927726
2023.9475,97.9370364883451
2024.0125,70.4163216332198
2024.0775,44.1809102045579
2024.1425,63.3216736905479
2024.2075,98.9960184182015
2024.2725,111.741036198319
2024.3375,75.2222222222222
2024.4025,NA
2024.4675,NA
