time,sugarcane
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1.07288221716881
2018.9425,1
2019.0075,1
2019.0725,1.11465224027634
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1.11601389447848
2019.3975,1
2019.4625,1
2019.5275,1.16621228626796
2019.5925,1.22517302036285
2019.6575,1
2019.7225,1
2019.7875,1.50928622768039
2019.8525,2.02911178270976
2019.9175,2.07660520076752
2019.9825,1.67130954350744
2020.0475,1.87566222349803
2020.1125,1.6199024438858
2020.1775,1.79762966632843
2020.2425,1.95389398932457
2020.3075,1.89911569867815
2020.3725,2.25954863627752
2020.4375,1.81882669528325
2020.5025,2.12961606184642
2020.5675,2.01544805367788
2020.6325,2.42642094691594
2020.6975,2.31207324663798
2020.7625,2.24703984260559
2020.8275,1.85171090563138
2020.8925,1.77787090625082
2020.9575,1.9509953379631
2021.0225,2.19732005397479
2021.0875,2.38184443882533
2021.1525,2.07841986914476
2021.2175,2.40325305196974
2021.2825,2.31821218899318
2021.3475,2.10781402885914
2021.4125,1.81939028971123
2021.4775,2.11788392066956
2021.5425,2.12322588231828
2021.6075,2.13855866591136
2021.6725,2.22242926756541
2021.7375,2.3129981358846
2021.8025,2.25375226338704
2021.8675,2.56818020343781
2021.9325,2.44271632603237
2021.9975,2.25553468068441
2022.0625,2.19311556021372
2022.1275,1.86833103497823
2022.1925,1.74791804949443
2022.2575,1.71597792740379
2022.3225,1.66790877069746
2022.3875,2.22242926756541
2022.4525,2.22242926756541
2022.5175,2.56818020343781
2022.5825,2.54743413130442
2022.6475,2.2810915629069
2022.7125,2.5727122469825
2022.7775,2.39219493887446
2022.8425,2.20228815873464
2022.9075,3.1429627180345
2022.9725,4.35957501525179
2023.0375,7.37754614609587
2023.1025,6.16413328168099
2023.1675,6.80154552607257
2023.2325,3.47197757275894
2023.2975,7.22453642548846
2023.3625,7.96089156154369
2023.4275,2.25394761562347
2023.4925,2.67193015416463
2023.5575,3.0611208747415
2023.6225,5.89455365459874
2023.6875,6.80380189100901
2023.7525,7.02048281191375
2023.8175,6.83973676614276
2023.8825,4.26934013558285
2023.9475,10.2133163389578
2024.0125,16.4754536655175
2024.0775,38.5916267003894
2024.1425,70.1701032152423
2024.2075,104.383487735769
2024.2725,97.9471331024324
2024.3375,135.969832921823
2024.4025,NA
2024.4675,NA
