time,Nov_June_mean_Temp_Brazil
2018.0325,26.6027082602183
2018.0975,26.6339226844094
2018.1625,26.6369641848973
2018.2275,26.6207763931968
2018.2925,26.6359285825259
2018.3575,26.6306247711182
2018.4225,26.6569604913812
2018.4875,26.6506175248519
2018.5525,26.6556000010173
2018.6175,26.6610759553455
2018.6825,26.654450573764
2018.7475,26.6435715130397
2018.8125,26.6423214503697
2018.8775,26.6558578832477
2018.9425,26.650500064426
2019.0075,26.6488635801398
2019.0725,26.6656480489367
2019.1375,26.6547680037362
2019.2025,26.6475612509484
2019.2675,26.6615512896807
2019.3325,26.649161200313
2019.3975,26.6535001754761
2019.4625,26.6686955327573
2019.5275,26.6849999745687
2019.5925,26.6883824292351
2019.6575,26.7011028738583
2019.7225,26.681022904136
2019.7875,26.691523462534
2019.8525,26.6972483118375
2019.9175,26.7033967574437
2019.9825,26.7014582951864
2020.0475,26.7004093102046
2020.1125,26.6906725900215
2020.1775,26.6898387891674
2020.2425,26.6913782511002
2020.3075,26.6993181633227
2020.3725,26.7021672997048
2020.4375,26.6968792030235
2020.5025,26.6812589613445
2020.5675,26.7032242188087
2020.6325,26.7031547810593
2020.6975,26.7007108529409
2020.7625,26.6964579511944
2020.8275,26.6948696492792
2020.8925,26.6992175595744
2020.9575,26.7022183490427
2021.0225,26.6982292970022
2021.0875,26.7157765012799
2021.1525,26.7138571330479
2021.2175,26.71191339958
2021.2825,26.7109855850406
2021.3475,26.7140503025055
2021.4125,26.69514415203
2021.4775,26.6944362755978
2021.5425,26.7254208312793
2021.6075,26.7206088570149
2021.6725,26.7052073975661
2021.7375,26.6996745086379
2021.8025,26.693016903217
2021.8675,26.6823921113351
2021.9325,26.6734980921592
2021.9975,26.6719819743459
2022.0625,26.6671695007997
2022.1275,26.6566963649931
2022.1925,26.6518164334109
2022.2575,26.6648756813868
2022.3225,26.6570203646783
2022.3875,26.641218451723
2022.4525,26.65198402258
2022.5175,26.6553967247661
2022.5825,26.653497139239
2022.6475,26.657416693737
2022.7125,26.659972845863
2022.7775,26.6374811764069
2022.8425,26.721049813311
2022.9075,26.7644137336352
2022.9725,26.7287445983734
2023.0375,26.634505354315
2023.1025,26.6405828835566
2023.1675,26.4772511403752
2023.2325,26.5203646870017
2023.2975,26.6374213260718
2023.3625,26.5752232740156
2023.4275,26.6234022553084
2023.4925,26.6641363562838
2023.5575,26.8365531896776
2023.6225,26.7981655788815
2023.6875,26.7357381484769
2023.7525,26.6781072895363
2023.8175,26.6236778905696
2023.8825,26.7380168524136
2023.9475,26.9565617979689
2024.0125,26.6117881965903
2024.0775,25.7700772689548
2024.1425,24.4972023920702
2024.2075,23.8717740072375
2024.2725,23.8132153601574
2024.3375,24.4147958411384
2024.4025,NA
2024.4675,NA
