time,herbaceous_vegetation
2018.0325,1.35490631163708
2018.0975,1.40622456247456
2018.1625,1.45884917098152
2018.2275,1.51199122860433
2018.2925,1.51983541231157
2018.3575,1.62694365272057
2018.4225,1.64318353507116
2018.4875,1.70153650580882
2018.5525,1.63557095476127
2018.6175,1.65966885857703
2018.6825,1.73163915405379
2018.7475,1.73015099099432
2018.8125,1.72285029117675
2018.8775,1.62159667679532
2018.9425,1.5017505221637
2019.0075,1.42201336189383
2019.0725,1.36305934576121
2019.1375,1.57546989076702
2019.2025,1.72741870188296
2019.2675,1.86170957241329
2019.3325,1.84268299378268
2019.3975,1.58459640096983
2019.4625,1.38620304310854
2019.5275,1.37126253720705
2019.5925,1.59219825229373
2019.6575,1.807529231954
2019.7225,1.56706515020675
2019.7875,1.53106551683681
2019.8525,1.74471859950404
2019.9175,1.74049247236523
2019.9825,1.86659108861009
2020.0475,1.69058458473808
2020.1125,1.62173286017044
2020.1775,1.56156929325835
2020.2425,1.49842321748506
2020.3075,1.48019802097429
2020.3725,1.48389843659643
2020.4375,1.40535047973966
2020.5025,1.51191177391052
2020.5675,1.39849977824777
2020.6325,1.32901826699762
2020.6975,1.3610636466078
2020.7625,1.48835323695493
2020.8275,1.51494927430531
2020.8925,1.45782924626544
2020.9575,1.56451952976734
2021.0225,1.56857239628483
2021.0875,1.44579178120699
2021.1525,1.61026435834946
2021.2175,1.54909807434859
2021.2825,1.56229916777079
2021.3475,1.69581385324337
2021.4125,1.63140351886563
2021.4775,1.63132376385541
2021.5425,1.74077658789736
2021.6075,1.57635042798348
2021.6725,1.50987127215294
2021.7375,1.55243905972336
2021.8025,1.54186489974734
2021.8675,1.57565397472991
2021.9325,1.46998763029725
2021.9975,1.54305810515557
2022.0625,1.50281258230121
2022.1275,1.47029156111548
2022.1925,1.40593162442064
2022.2575,1.41297773177539
2022.3225,1.45025325030858
2022.3875,1.39836785377838
2022.4525,1.396457685322
2022.5175,1.38011575052301
2022.5825,1.3720136709075
2022.6475,1.42206765059491
2022.7125,1.40656398713289
2022.7775,1.3141578715626
2022.8425,1.27427748179694
2022.9075,1.21567026416852
2022.9725,1.17231590787979
2023.0375,1.32429397852732
2023.1025,1.32997783315584
2023.1675,1.58852002021408
2023.2325,1.42637748593423
2023.2975,1.58289585670731
2023.3625,1.21595910572722
2023.4275,1.9909155548814
2023.4925,2.08481744694481
2023.5575,2.33644554390666
2023.6225,2.34859969229173
2023.6875,2.42308146633129
2023.7525,1.98423120672
2023.8175,1.52067658872405
2023.8825,1.34418909367988
2023.9475,1.36693346627478
2024.0125,1.62975926099751
2024.0775,2.09499055848801
2024.1425,2.69589335882522
2024.2075,3.75914562986337
2024.2725,2.72539296370002
2024.3375,1.32687918974975
2024.4025,NA
2024.4675,NA
