time,orov_suitability_pre2024
2018.0325,1.29933333396912
2018.0975,1.31991666679581
2018.1625,1.31709999889135
2018.2275,1.28654999509454
2018.2925,1.30589999705553
2018.3575,1.30279999673367
2018.4225,1.31583333263795
2018.4875,1.32802857522454
2018.5525,1.30899999539057
2018.6175,1.30399999320507
2018.6825,1.31437499821186
2018.7475,1.32339999952487
2018.8125,1.32457143281187
2018.8775,1.32906666894754
2018.9425,1.33533332745234
2019.0075,1.32369999885559
2019.0725,1.33162500523031
2019.1375,1.32283333142598
2019.2025,1.3202499995629
2019.2675,1.30767499767244
2019.3325,1.31304167024791
2019.3975,1.31599999964237
2019.4625,1.31724999472499
2019.5275,1.32057143534933
2019.5925,1.33740000128746
2019.6575,1.31059999465942
2019.7225,1.32400000095367
2019.7875,1.32424999773502
2019.8525,1.33116666848461
2019.9175,1.32333333293597
2019.9825,1.32983332872391
2020.0475,1.32900000611941
2020.1125,1.32460000365973
2020.1775,1.30772222330173
2020.2425,1.32099999984105
2020.3075,1.31775000691414
2020.3725,1.33087500184774
2020.4375,1.32629999965429
2020.5025,1.32421428497349
2020.5675,1.32425000146031
2020.6325,1.31833333646258
2020.6975,1.31849999626478
2020.7625,1.31721249874681
2020.8275,1.31825000233948
2020.8925,1.31594444629219
2020.9575,1.3150666659077
2021.0225,1.32583333303531
2021.0875,1.32219999879599
2021.1525,1.30926666607459
2021.2175,1.30705000124872
2021.2825,1.30525000020862
2021.3475,1.3050416658322
2021.4125,1.3098484843292
2021.4775,1.30133333471086
2021.5425,1.30630000531673
2021.6075,1.31857500001788
2021.6725,1.31311666717132
2021.7375,1.32070833723992
2021.8025,1.32273333668709
2021.8675,1.32115555629134
2021.9325,1.33145714444774
2021.9975,1.32400000095367
2022.0625,1.32100000232458
2022.1275,1.32399999847015
2022.1925,1.32262499630451
2022.2575,1.31040476345354
2022.3225,1.32981250062585
2022.3875,1.32930833498637
2022.4525,1.31829121630805
2022.5175,1.32394444528553
2022.5825,1.32118016435927
2022.6475,1.31221198043378
2022.7125,1.30341498173683
2022.7775,1.30324197124713
2022.8425,1.32442142431225
2022.9075,1.33890931351001
2022.9725,1.3351500423878
2023.0375,1.31289693567562
2023.1025,1.31838167744351
2023.1675,1.29961670178928
2023.2325,1.30255580367725
2023.2975,1.29283606517161
2023.3625,1.30652974367885
2023.4275,1.37512244844847
2023.4925,1.49860237403995
2023.5575,1.64914165834586
2023.6225,1.60299998873167
2023.6875,1.57056699009016
2023.7525,1.51206360380623
2023.8175,1.49430768638085
2023.8825,1.58638358503386
2023.9475,1.62925178903536
2024.0125,1.51006406456227
2024.0775,1.36733735014622
2024.1425,1.36691941857848
2024.2075,1.42389979718274
2024.2725,1.42400293018694
2024.3375,1.34826000312513
2024.4025,NA
2024.4675,NA
