time,pop_2000_scaled_log
2018.0325,21.3205128205128
2018.0975,21.9074263038549
2018.1625,20.1087121212121
2018.2275,19.9221014492754
2018.2925,17.7973333333333
2018.3575,18.6474842767296
2018.4225,22.0540391156463
2018.4875,21.5525862068965
2018.5525,22.6169444444444
2018.6175,22.0770833333333
2018.6825,21.6368464052288
2018.7475,20.2337136243386
2018.8125,19.6597746169175
2018.8775,19.8904456654457
2018.9425,21.1194394213382
2019.0075,21.022619047619
2019.0725,21.8945011337869
2019.1375,21.2688492063492
2019.2025,21.0290476190476
2019.2675,21.7082364341085
2019.3325,20.3102272727273
2019.3975,21.3124398073836
2019.4625,22.9108058608059
2019.5275,22.9898090005233
2019.5925,22.7425170068027
2019.6575,23.276574500768
2019.7225,24.1207629288274
2019.7875,23.2792046605876
2019.8525,24.5993923611111
2019.9175,23.5008746355685
2019.9825,24.4561224489796
2020.0475,24.6639212827988
2020.1125,24.2981778425656
2020.1775,25.0490929705215
2020.2425,24.1216229348882
2020.3075,23.7289562289562
2020.3725,22.8655476190476
2020.4375,22.3308333333333
2020.5025,22.650380952381
2020.5675,22.0688055555556
2020.6325,22.6388015873016
2020.6975,23.3709047619048
2020.7625,22.0862658730159
2020.8275,20.1216507936508
2020.8925,19.8759365079365
2020.9575,20.1762608225108
2021.0225,22.0398928571429
2021.0875,21.5171071428571
2021.1525,20.7113571428571
2021.2175,19.8774682539683
2021.2825,19.4568369408369
2021.3475,19.0446255411255
2021.4125,18.3576590909091
2021.4775,18.4807619047619
2021.5425,18.1262038239538
2021.6075,18.9796064213564
2021.6725,17.388604978355
2021.7375,17.3579502164502
2021.8025,16.1627469197469
2021.8675,15.7815519480519
2021.9325,15.1299841269841
2021.9975,15.2232891275391
2022.0625,14.1509272149419
2022.1275,15.101442002442
2022.1925,14.9624167776668
2022.2575,14.211397558931
2022.3225,15.1715559510149
2022.3875,16.8485272003323
2022.4525,16.1343343289671
2022.5175,15.97325036751
2022.5825,15.6347987643689
2022.6475,15.9512153914034
2022.7125,17.2770175729018
2022.7775,17.2802276423433
2022.8425,13.0619605873362
2022.9075,12.0955402858985
2022.9725,13.9437739219681
2023.0375,15.6754841010831
2023.1025,17.0490855914102
2023.1675,27.6146972717989
2023.2325,23.7823751735503
2023.2975,18.1851685800761
2023.3625,19.9245818216168
2023.4275,51.562009368723
2023.4925,62.9599998746136
2023.5575,77.8239757275377
2023.6225,84.4441404388913
2023.6875,84.4833400803132
2023.7525,74.4438585296399
2023.8175,58.6161761067424
2023.8825,82.5360225236425
2023.9475,97.0377336264842
2024.0125,70.266909835729
2024.0775,44.2577082806393
2024.1425,64.3253269114499
2024.2075,99.9420743427237
2024.2725,110.410712037123
2024.3375,75.3049822335619
2024.4025,NA
2024.4675,NA
