time,sugarcane
2018.0325,5.01880194631397
2018.0975,4.70879614448466
2018.1625,4.91543684317307
2018.2275,4.26597900721042
2018.2925,4.30513529476098
2018.3575,4.43626036541695
2018.4225,5.61033205953078
2018.4875,5.84038342331253
2018.5525,5.61436333759265
2018.6175,5.15101127368842
2018.6825,5.7569513413836
2018.7475,5.99181728451364
2018.8125,5.51387950259709
2018.8775,5.5385410779307
2018.9425,6.85297700790283
2019.0075,8.45307358016328
2019.0725,7.28488939251534
2019.1375,5.90836364296423
2019.2025,5.4589455696914
2019.2675,6.41762748665918
2019.3325,7.23883265873248
2019.3975,6.78792658644669
2019.4625,6.16320862782089
2019.5275,5.91269382424074
2019.5925,5.78910777908687
2019.6575,5.80211153845979
2019.7225,6.30333635207634
2019.7875,6.49542760711009
2019.8525,7.09094778493431
2019.9175,7.31844266893208
2019.9825,7.13436870090893
2020.0475,7.40148751576973
2020.1125,8.06481547150501
2020.1775,8.01273410293926
2020.2425,8.49457870578453
2020.3075,8.8677547697123
2020.3725,7.87460674779472
2020.4375,7.26757193886098
2020.5025,7.49055357954379
2020.5675,7.34291859170558
2020.6325,7.46855121096259
2020.6975,8.08218635992966
2020.7625,8.68140331611747
2020.8275,7.95596595987536
2020.8925,7.16199017377798
2020.9575,6.87104214060401
2021.0225,6.86889521945185
2021.0875,8.08258819683204
2021.1525,7.1541965618229
2021.2175,7.5117050470724
2021.2825,7.76241587407863
2021.3475,5.93964172709424
2021.4125,5.4833444770006
2021.4775,5.04095467424171
2021.5425,5.28222036363703
2021.6075,5.55177748793269
2021.6725,5.42616802745744
2021.7375,5.89265869833651
2021.8025,6.07447508131924
2021.8675,5.61821543988488
2021.9325,6.18736934953331
2021.9975,6.03690325552025
2022.0625,5.6109664070652
2022.1275,5.54472801418162
2022.1925,5.03461884401766
2022.2575,4.74812082175692
2022.3225,4.79585389293904
2022.3875,5.45144769017404
2022.4525,6.26825359371416
2022.5175,6.45694578284948
2022.5825,5.27131502665073
2022.6475,4.43457521035845
2022.7125,4.13055108026506
2022.7775,3.78029195361534
2022.8425,3.57214399371046
2022.9075,4.53070782674909
2022.9725,5.08540281549637
2023.0375,7.31414791237324
2023.1025,6.21580607829833
2023.1675,6.77432418972851
2023.2325,3.70997115972235
2023.2975,6.44880950486413
2023.3625,6.9240944266385
2023.4275,6.70567609421462
2023.4925,6.68746863055015
2023.5575,8.25094520927178
2023.6225,10.2495943158684
2023.6875,9.0859114558601
2023.7525,7.99864190398393
2023.8175,7.04919038020027
2023.8825,4.26873166964664
2023.9475,10.1739695605173
2024.0125,17.0253445848729
2024.0775,37.193587528844
2024.1425,74.3564953326582
2024.2075,111.007475529514
2024.2725,100.828062650575
2024.3375,145.52697419043
2024.4025,NA
2024.4675,NA
