time,Brazil_savannas_crop_mask
2018.0325,2.33512818303883
2018.0975,2.2816269634262
2018.1625,2.08814392667828
2018.2275,2.10242752406908
2018.2925,2.01523332198461
2018.3575,1.90798741395369
2018.4225,2.33556545802525
2018.4875,2.38989940789239
2018.5525,2.35758331673013
2018.6175,2.360781233944
2018.6825,2.37742890616258
2018.7475,2.29255025006791
2018.8125,2.41627163146481
2018.8775,2.35252135309399
2018.9425,2.38118141914722
2019.0075,2.3742276275061
2019.0725,2.52195293067399
2019.1375,2.52882934527265
2019.2025,2.43074508087308
2019.2675,2.45089145667793
2019.3325,2.3903882426746
2019.3975,2.52749061584473
2019.4625,2.60606774113554
2019.5275,2.66582048998211
2019.5925,2.69081499650802
2019.6575,2.87263438729402
2019.7225,2.83413080367991
2019.7875,2.89927125530885
2019.8525,3.02677080316676
2019.9175,2.95960030985527
2019.9825,2.92936051731207
2020.0475,2.77790643702559
2020.1125,2.74376187750271
2020.1775,2.73819263720535
2020.2425,2.69492514709226
2020.3075,2.66725587244788
2020.3725,2.57238831506173
2020.4375,2.51663665026426
2020.5025,2.43998665072521
2020.5675,2.3780933163166
2020.6325,2.33077069633631
2020.6975,2.38880664769809
2020.7625,2.43400498286883
2020.8275,2.32796546039695
2020.8925,2.35473069707553
2020.9575,2.40488927183833
2021.0225,2.35483705045307
2021.0875,2.31093356009892
2021.1525,2.28953165302674
2021.2175,2.3044209380973
2021.2825,2.41887403484753
2021.3475,2.43790653628395
2021.4125,2.38087594389915
2021.4775,2.34695189335233
2021.5425,2.27857879970187
2021.6075,2.18263856197539
2021.6725,2.15738046898161
2021.7375,2.20536856425376
2021.8025,2.16521106318917
2021.8675,2.04213832573664
2021.9325,1.96974523101534
2021.9975,2.0410659435363
2022.0625,2.08377594090643
2022.1275,2.06291800506153
2022.1925,2.11629677242892
2022.2575,2.0592219332589
2022.3225,2.01782332030932
2022.3875,2.06463429060258
2022.4525,1.99867238158149
2022.5175,1.94608451825269
2022.5825,1.92491466517593
2022.6475,1.81455177271547
2022.7125,1.76306099957655
2022.7775,1.54642388593155
2022.8425,1.39456754674444
2022.9075,1.43554515551792
2022.9725,1.44169520103625
2023.0375,2.07186821808114
2023.1025,2.68780565563645
2023.1675,8.23224352047602
2023.2325,6.60310647855588
2023.2975,2.87673781527345
2023.3625,2.61091480763354
2023.4275,3.45710119645014
2023.4925,3.78079268184112
2023.5575,4.45295067075326
2023.6225,4.70714067735489
2023.6875,4.91203138314948
2023.7525,4.53747625513431
2023.8175,3.5991389704863
2023.8825,3.05168021675223
2023.9475,2.63335842185094
2024.0125,5.11637440427634
2024.0775,9.41685482429958
2024.1425,13.2293052343898
2024.2075,27.5131280643878
2024.2725,36.2310605352752
2024.3375,34.950556022409
2024.4025,NA
2024.4675,NA
