time,orov_suitability_pre2024
2018.0325,1.31955970761995
2018.0975,1.31665671724919
2018.1625,1.31103390111221
2018.2275,1.30129565108513
2018.2925,1.30409428429745
2018.3575,1.31392502173085
2018.4225,1.34239056041378
2018.4875,1.34862127105673
2018.5525,1.33679846270717
2018.6175,1.3351855767475
2018.6825,1.34117808650177
2018.7475,1.33785796078176
2018.8125,1.34227244983012
2018.8775,1.34135432098518
2018.9425,1.34054316987185
2019.0075,1.34209939058563
2019.0725,1.3474782123386
2019.1375,1.33633686187624
2019.2025,1.33748556182545
2019.2675,1.33524083619729
2019.3325,1.34079890854356
2019.3975,1.34566690703987
2019.4625,1.34376224515241
2019.5275,1.33660357990431
2019.5925,1.33842239226102
2019.6575,1.33902444929561
2019.7225,1.33429886092052
2019.7875,1.33929365083829
2019.8525,1.34489987589463
2019.9175,1.34497093080178
2019.9825,1.34359928337531
2020.0475,1.33960522382173
2020.1125,1.33903662137244
2020.1775,1.3337747647364
2020.2425,1.32973708226597
2020.3075,1.3269474021664
2020.3725,1.33132233319934
2020.4375,1.33233259922136
2020.5025,1.33181691221899
2020.5675,1.33134651360995
2020.6325,1.33295394230825
2020.6975,1.33057178494886
2020.7625,1.32731766247743
2020.8275,1.32784684849389
2020.8925,1.32308709709455
2020.9575,1.33049932308757
2021.0225,1.33190116012785
2021.0875,1.33205833327061
2021.1525,1.32677773100435
2021.2175,1.32449005619726
2021.2825,1.32331396809303
2021.3475,1.31807300049869
2021.4125,1.32385401536493
2021.4775,1.32216073319575
2021.5425,1.32570365952353
2021.6075,1.32668409565547
2021.6725,1.3239609688562
2021.7375,1.33073801222415
2021.8025,1.33280480563175
2021.8675,1.33238315043263
2021.9325,1.33939633095698
2021.9975,1.34061106790682
2022.0625,1.33186897813092
2022.1275,1.33665733041313
2022.1925,1.3290524200555
2022.2575,1.32293884761012
2022.3225,1.33598007149725
2022.3875,1.33295551882412
2022.4525,1.32141212094257
2022.5175,1.32147165220542
2022.5825,1.3151002323574
2022.6475,1.31045804108883
2022.7125,1.30979824684015
2022.7775,1.30590429422426
2022.8425,1.32156184249148
2022.9075,1.33619322516783
2022.9725,1.33544915294125
2023.0375,1.31346075646313
2023.1025,1.31847490607304
2023.1675,1.30078933184157
2023.2325,1.30469325040222
2023.2975,1.29439877791385
2023.3625,1.31223730740753
2023.4275,1.49934138624037
2023.4925,1.54303092087386
2023.5575,1.58984165324261
2023.6225,1.59038948651857
2023.6875,1.5799918209122
2023.7525,1.53464299733406
2023.8175,1.49671228708226
2023.8825,1.58963323429773
2023.9475,1.62610497319611
2024.0125,1.51441146067691
2024.0775,1.37053090262614
2024.1425,1.37130267177449
2024.2075,1.42444031499151
2024.2725,1.41409439387475
2024.3375,1.34779073177133
2024.4025,NA
2024.4675,NA
