time,cassava
2018.0325,12.8928444575332
2018.0975,12.2310248399876
2018.1625,11.7931605940967
2018.2275,11.9136113251465
2018.2925,12.5109171901714
2018.3575,13.0731246675014
2018.4225,17.0069743332206
2018.4875,18.2523646298051
2018.5525,16.6103811553452
2018.6175,16.7894765908906
2018.6825,16.6818921453103
2018.7475,15.9646372132526
2018.8125,16.340040970101
2018.8775,16.0899624039256
2018.9425,16.5314645161027
2019.0075,17.4984352904053
2019.0725,18.2456026253956
2019.1375,16.079010606694
2019.2025,14.6423880599233
2019.2675,15.547610738923
2019.3325,15.7585703319823
2019.3975,16.3702013294125
2019.4625,16.555434492129
2019.5275,15.9058859763294
2019.5925,16.3288702520196
2019.6575,16.5002493367675
2019.7225,16.1933544304208
2019.7875,17.2991866268708
2019.8525,20.181462248941
2019.9175,19.7360199750735
2019.9825,18.6298927549351
2020.0475,18.1392588234272
2020.1125,18.1685366533376
2020.1775,18.1385842634582
2020.2425,18.8061201769363
2020.3075,18.2564203242805
2020.3725,17.7146735209047
2020.4375,17.2312163331367
2020.5025,16.7040441281668
2020.5675,16.6756331037207
2020.6325,16.9708196200331
2020.6975,17.1918688341351
2020.7625,16.6726787802132
2020.8275,15.6231406258023
2020.8925,13.7653616851686
2020.9575,13.6977859706414
2021.0225,13.9751551329058
2021.0875,14.7816306931954
2021.1525,14.7127964060387
2021.2175,14.7398804905651
2021.2825,15.5840326326925
2021.3475,14.1234824165359
2021.4125,14.1418607740796
2021.4775,13.3151126353606
2021.5425,13.5354063687107
2021.6075,13.6379013313152
2021.6725,13.3369335128625
2021.7375,13.8691184010173
2021.8025,14.3458696990057
2021.8675,13.6080137621563
2021.9325,13.3092134689421
2021.9975,13.9545222186808
2022.0625,13.6068991310266
2022.1275,12.9563945496566
2022.1925,11.5738531541846
2022.2575,10.7886987319605
2022.3225,11.2850971775408
2022.3875,12.4657380459144
2022.4525,11.6133479334335
2022.5175,11.8426248266048
2022.5825,10.8585051801689
2022.6475,9.76083891144894
2022.7125,9.865724367714
2022.7775,8.57738073922588
2022.8425,6.33973815550272
2022.9075,6.50885205848236
2022.9725,6.10148075238572
2023.0375,13.4095648106935
2023.1025,13.2270526645239
2023.1675,25.8867952595432
2023.2325,20.2191428108051
2023.2975,19.9503671377153
2023.3625,15.1031291144396
2023.4275,12.9768970048879
2023.4925,16.6452794057216
2023.5575,22.0853191184237
2023.6225,27.3857038740449
2023.6875,30.846884089063
2023.7525,32.9548938932535
2023.8175,26.0828107302382
2023.8825,15.2633195480032
2023.9475,8.5655756208708
2024.0125,8.49674914453937
2024.0775,17.2714711878175
2024.1425,31.0068855176898
2024.2075,35.7253084888242
2024.2725,33.614930796231
2024.3375,22.3553861286798
2024.4025,NA
2024.4675,NA
