time,Nov_June_mean_Temp_Brazil
2018.0325,26.6162188702475
2018.0975,26.6088755788555
2018.1625,26.6210960234538
2018.2275,26.6277909964146
2018.2925,26.6332916692393
2018.3575,26.6370378233814
2018.4225,26.6477849690776
2018.4875,26.6541748918657
2018.5525,26.6603233532028
2018.6175,26.6591743425
2018.6825,26.6561397155484
2018.7475,26.6445858656671
2018.8125,26.6520540970923
2018.8775,26.6548651814555
2018.9425,26.6513828520262
2019.0075,26.6453469615671
2019.0725,26.6775767882499
2019.1375,26.6695895941666
2019.2025,26.6717816689076
2019.2675,26.670545726375
2019.3325,26.6717693911983
2019.3975,26.6857755606179
2019.4625,26.6800410433187
2019.5275,26.6879580867604
2019.5925,26.6882809040702
2019.6575,26.6915507105515
2019.7225,26.6868632879036
2019.7875,26.7003604508727
2019.8525,26.706284251531
2019.9175,26.7035746746984
2019.9825,26.7000806541478
2020.0475,26.7055601775089
2020.1125,26.7018046692783
2020.1775,26.7020751986024
2020.2425,26.695129213514
2020.3075,26.6907224737816
2020.3725,26.7040424204808
2020.4375,26.6897521792269
2020.5025,26.696768694364
2020.5675,26.6971522908473
2020.6325,26.6835456602063
2020.6975,26.678661238192
2020.7625,26.6800685464211
2020.8275,26.6836556128095
2020.8925,26.6902500087042
2020.9575,26.6952436086014
2021.0225,26.6796441585681
2021.0875,26.6919353229392
2021.1525,26.6940122121728
2021.2175,26.6955007698689
2021.2825,26.6962208171596
2021.3475,26.6955916009899
2021.4125,26.6903104863068
2021.4775,26.7011848996554
2021.5425,26.7109303534426
2021.6075,26.7060391669373
2021.6725,26.690248844462
2021.7375,26.6861644509967
2021.8025,26.6887501512602
2021.8675,26.6792445607856
2021.9325,26.670893413331
2021.9975,26.6585312179304
2022.0625,26.6502929078436
2022.1275,26.6475538375272
2022.1925,26.6420170669648
2022.2575,26.6408366612919
2022.3225,26.6279025766329
2022.3875,26.6209719660962
2022.4525,26.6188803605425
2022.5175,26.6178993708214
2022.5825,26.6330440106259
2022.6475,26.646814541829
2022.7125,26.6275425174016
2022.7775,26.6234320523909
2022.8425,26.6984113004932
2022.9075,26.7468155256616
2022.9725,26.7295106358844
2023.0375,26.6376522886747
2023.1025,26.6387283731712
2023.1675,26.483919926391
2023.2325,26.5223361230562
2023.2975,26.6407313795537
2023.3625,26.5767129309409
2023.4275,26.8835598431681
2023.4925,26.9334194739369
2023.5575,27.0014767698381
2023.6225,26.9695814124681
2023.6875,26.9039723879135
2023.7525,26.7496503497282
2023.8175,26.6368957075085
2023.8825,26.7525352172589
2023.9475,26.9433094086981
2024.0125,26.5621754073727
2024.0775,25.7975368477661
2024.1425,24.6622814452619
2024.2075,23.8564230875217
2024.2725,23.5418320274977
2024.3375,24.4452119236974
2024.4025,NA
2024.4675,NA
