node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startState,endState
490,849,6.420961764452,-69.60245912604,-8.950345328374,-69.6645557568194,-8.97853616098854,6.420961764452,0,2016.30044761461,2022.72140937907,NA,BR.AC,BR.AC
490,491,6.495467514103,-69.60245912604,-8.950345328374,-67.9724482123321,-4.18531367277693,6.495467514103,0,2016.30044761461,2022.79591512872,NA,BR.AC,BR.AM
849,339,0.1095363504055,-69.6645557568194,-8.97853616098854,-69.6563744013459,-8.96829930864887,6.5304981148575,6.420961764452,2022.72140937907,2022.83094572947,PP153977_SegS_LVM_ILMD_ZCD067_Brazil_Rondonia_2022-10-31,BR.AC,BR.AC
491,819,0.06859189897201,-67.9724482123321,-4.18531367277693,-67.9713850268178,-4.18809351351032,6.56405941307501,6.495467514103,2022.79591512872,2022.86450702769,NA,BR.AM,BR.AM
819,820,0.01944890808116,-67.9713850268178,-4.18809351351032,-67.9739664851627,-4.18591522039599,6.58350832115617,6.56405941307501,2022.86450702769,2022.88395593577,NA,BR.AM,BR.AM
491,492,0.1517260389006,-67.9724482123321,-4.18531367277693,-67.9761770426873,-4.18172854477687,6.6471935530036,6.495467514103,2022.79591512872,2022.94764116762,NA,BR.AM,BR.AM
820,823,0.07909032957113,-67.9739664851627,-4.18591522039599,-67.9550176018866,-4.24895094015983,6.6625986507273,6.58350832115617,2022.88395593577,2022.96304626534,NA,BR.AM,BR.AM
820,821,0.08111882185105,-67.9739664851627,-4.18591522039599,-64.1376189560608,-4.36231504966153,6.66462714300722,6.58350832115617,2022.88395593577,2022.96507475762,NA,BR.AM,BR.AM
492,495,0.02553203121248,-67.9761770426873,-4.18172854477687,-61.7892041132512,-2.66879411557962,6.67272558421608,6.6471935530036,2022.94764116762,2022.97317319883,NA,BR.AM,BR.AM
495,13,0.005717736120765,-61.7892041132512,-2.66879411557962,-61.7892831630592,-2.66818878926875,6.67844332033684,6.67272558421608,2022.97317319883,2022.97889093495,PP154128_SegS_LACENAM_ILMD_2068TNM_Brazil_Amazonas_2022-12-24,BR.AM,BR.AM
849,850,0.2720396586636,-69.6645557568194,-8.97853616098854,-69.6494836678068,-8.9708587873338,6.6930014231156,6.420961764452,2022.72140937907,2022.99344903773,NA,BR.AC,BR.AC
821,338,0.04395316363103,-64.1376189560608,-4.36231504966153,-64.1389177268054,-4.36002833638554,6.70858030663825,6.66462714300722,2022.96507475762,2023.00902792125,PP154149_SegS_LACENAM_ILMD_0002AFS_Brazil_Amazonas_2023-01-04,BR.AM,BR.AM
850,464,0.0292775136597,-69.6494836678068,-8.9708587873338,-69.6500901131672,-8.9723581843159,6.7222789367753,6.6930014231156,2022.99344903773,2023.02272655139,PP153951_SegS_LVM_ILMD_ZDC089_Brazil_Rondonia_2023-01-09,BR.AC,BR.AC
821,822,0.06485422392562,-64.1376189560608,-4.36231504966153,-64.1344403227613,-4.36512886514596,6.72948136693284,6.66462714300722,2022.96507475762,2023.02992898155,NA,BR.AM,BR.AM
