node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km
490,491,5.717668985162,-8.94616790403423,-69.5497152576848,-5.4265328258392,-57.6126902282331,5.717668985162,0,2017.00617268263,2022.7238416678,1375.18227862403
491,492,0.09987776856462,-5.4265328258392,-57.6126902282331,-32.3904564194435,-52.345590716535,5.81754675372662,5.717668985162,2022.7238416678,2022.82371943636,3051.28141337276
492,493,0.1379553121422,-32.3904564194435,-52.345590716535,-32.390891497226,-52.3458479930922,5.95550206586882,5.81754675372662,2022.82371943636,2022.9616747485,0.0541370051869949
493,13,0.01721618644664,-32.390891497226,-52.3458479930922,-32.3899463713605,-52.3450626126189,5.97271825231546,5.95550206586882,2022.9616747485,2022.97889093495,0.128533662952017
493,494,0.9019738127758,-32.390891497226,-52.3458479930922,-32.3889328235469,-52.3916268576878,6.85747587864462,5.95550206586882,2022.9616747485,2023.86364856128,4.30893309223579
494,495,0.0312981474247,-32.3889328235469,-52.3916268576878,-32.4153318673342,-52.3870974953832,6.88877402606932,6.85747587864462,2023.86364856128,2023.8949467087,2.96951881761181
495,496,0.01447470344709,-32.4153318673342,-52.3870974953832,-32.4155229797501,-52.3820675619982,6.90324872951641,6.88877402606932,2023.8949467087,2023.90942141215,0.473180568289065
496,497,0.00268201167882,-32.4155229797501,-52.3820675619982,-32.4174149266084,-52.3803704438953,6.90593074119523,6.90324872951641,2023.90942141215,2023.91210342383,0.264191644814776
497,195,0.001034086462527,-32.4174149266084,-52.3803704438953,-32.4181717868811,-52.3795882739687,6.90696482765776,6.90593074119523,2023.91210342383,2023.91313751029,0.111812890428796
497,498,0.01033416343477,-32.4174149266084,-52.3803704438953,-32.4163853087696,-52.3771918819305,6.91626490463,6.90593074119523,2023.91210342383,2023.92243758726,0.319945702719868
498,499,0.0009673909513605,-32.4163853087696,-52.3771918819305,-32.4168085303062,-52.3771994575055,6.91723229558136,6.91626490463,2023.92243758726,2023.92340497822,0.0471200870072315
499,500,0.01566748162872,-32.4168085303062,-52.3771994575055,-32.4177337963702,-52.3770395589605,6.93289977721008,6.91723229558136,2023.92340497822,2023.93907245984,0.104094531364555
500,160,0.00420203674906,-32.4177337963702,-52.3770395589605,-32.4185590629574,-52.3805309522465,6.93710181395914,6.93289977721008,2023.93907245984,2023.94327449659,0.340723292292813
500,501,0.004299357945432,-32.4177337963702,-52.3770395589605,-32.4186642753667,-52.378079945335,6.93719913515551,6.93289977721008,2023.93907245984,2023.94337181779,0.142438666109431
501,16,0.002642404830986,-32.4186642753667,-52.378079945335,-32.4214683977258,-52.379704258124,6.9398415399865,6.93719913515551,2023.94337181779,2023.94601422262,0.347486522572536
501,334,0.00538213085857,-32.4186642753667,-52.378079945335,-32.4189562675139,-52.378274993878,6.94258126601408,6.93719913515551,2023.94337181779,2023.94875394865,0.0373175111965818
