node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startState,endState
490,491,6.531026992326,-60.0073829656808,-3.10373720180608,-61.3627055263787,-5.89271370097848,6.531026992326,0,2016.10268307964,2022.63371007197,NA,BR.AM,BR.AM
490,544,6.224234726221,-60.0073829656808,-3.10373720180608,-60.030796291815,-3.11349107445847,6.224234726221,0,2016.10268307964,2022.32691780586,NA,BR.AM,BR.AM
491,525,0.1660022070453,-61.3627055263787,-5.89271370097848,-69.5388715793706,-8.95143904974861,6.6970291993713,6.531026992326,2022.63371007197,2022.79971227901,NA,BR.AM,BR.AC
525,339,0.03123345045667,-69.5388715793706,-8.95143904974861,-69.5393602476532,-8.95194177713809,6.72826264982797,6.6970291993713,2022.79971227901,2022.83094572947,PP153977_SegS_LVM_ILMD_ZCD067_Brazil_Rondonia_2022-10-31,BR.AC,BR.AC
544,13,0.6519731290868,-60.030796291815,-3.11349107445847,-60.0285551908087,-3.10683331403552,6.8762078553078,6.224234726221,2022.32691780586,2022.97889093495,PP154128_SegS_LACENAM_ILMD_2068TNM_Brazil_Amazonas_2022-12-24,BR.AM,BR.AM
491,492,0.3524386177747,-61.3627055263787,-5.89271370097848,-61.3026497768848,-5.8203277246376,6.8834656101007,6.531026992326,2022.63371007197,2022.98614868974,NA,BR.AM,BR.AM
492,493,0.01898565475622,-61.3026497768848,-5.8203277246376,-61.302505251686,-5.8180053564216,6.90245126485692,6.8834656101007,2022.98614868974,2023.0051343445,NA,BR.AM,BR.AM
525,526,0.2085744904151,-69.5388715793706,-8.95143904974861,-69.5398306046012,-8.94922698038291,6.9056036897864,6.6970291993713,2022.79971227901,2023.00828676943,NA,BR.AC,BR.AC
526,530,0.000205696308567,-69.5398306046012,-8.94922698038291,-69.5389620207978,-8.94842502754171,6.90580938609497,6.9056036897864,2023.00828676943,2023.00849246574,NA,BR.AC,BR.AC
493,338,0.003893576751998,-61.302505251686,-5.8180053564216,-61.3048239437158,-5.81365676216902,6.90634484160892,6.90245126485692,2023.0051343445,2023.00902792125,PP154149_SegS_LACENAM_ILMD_0002AFS_Brazil_Amazonas_2023-01-04,BR.AM,BR.AM
530,464,0.01423408565078,-69.5389620207978,-8.94842502754171,-69.5443683998083,-8.95182563317561,6.92004347174575,6.90580938609497,2023.00849246574,2023.02272655139,PP153951_SegS_LVM_ILMD_ZDC089_Brazil_Rondonia_2023-01-09,BR.AC,BR.AC
492,495,0.04900912660221,-61.3026497768848,-5.8203277246376,-64.7942819919999,-7.25448472693869,6.93247473670291,6.8834656101007,2022.98614868974,2023.03515781635,NA,BR.AM,BR.AM
495,518,0.000344443747144,-64.7942819919999,-7.25448472693869,-64.7955330833571,-7.25694326053438,6.93281918045005,6.93247473670291,2023.03515781635,2023.03550226009,NA,BR.AM,BR.AM
518,519,0.001745743663228,-64.7955330833571,-7.25694326053438,-64.7969537593596,-7.25610323605805,6.93456492411328,6.93281918045005,2023.03550226009,2023.03724800376,NA,BR.AM,BR.AM
519,6,0.007396355851741,-64.7969537593596,-7.25610323605805,-64.7954379057186,-7.25507119738482,6.94196127996502,6.93456492411328,2023.03724800376,2023.04464435961,PP154146_SegS_LACENAM_ILMD_0021CSO_Brazil_Amazonas_2023-01-17,BR.AM,BR.AM
526,527,0.04154877434874,-69.5398306046012,-8.94922698038291,-69.5383042095662,-8.95028006369703,6.94715246413514,6.9056036897864,2023.00828676943,2023.04983554378,NA,BR.AC,BR.AC
527,528,0.005254571144999,-69.5383042095662,-8.95028006369703,-69.5360432774894,-8.95060353594637,6.95240703528014,6.94715246413514,2023.04983554378,2023.05509011492,NA,BR.AC,BR.AC
528,529,0.0008779795989133,-69.5360432774894,-8.95060353594637,-69.5360865821046,-8.95012033055568,6.95328501487905,6.95240703528014,2023.05509011492,2023.05596809452,NA,BR.AC,BR.AC
527,462,0.016726624049,-69.5383042095662,-8.95028006369703,-69.5372387545342,-8.94911908166671,6.96387908818414,6.94715246413514,2023.04983554378,2023.06656216783,PP153975_SegS_LVM_ILMD_ZCD103_Brazil_Rondonia_2023-01-25,BR.AC,BR.AC
528,465,0.03065013509573,-69.5360432774894,-8.95060353594637,-69.5369886584405,-8.95182137185108,6.98305717037587,6.95240703528014,2023.05509011492,2023.08574025002,PP153972_SegS_LVM_ILMD_ZCD117_Brazil_Rondonia_2023-02-01,BR.AC,BR.AC
493,494,0.08818865407719,-61.302505251686,-5.8180053564216,-61.3034808186504,-5.81240790913807,6.99063991893411,6.90245126485692,2023.0051343445,2023.09332299858,NA,BR.AM,BR.AM
529,463,0.04347078563383,-69.5360865821046,-8.95012033055568,-69.5374375783461,-8.94971269816187,6.99675580051288,6.95328501487905,2023.05596809452,2023.09943888016,PP153969_SegS_LVM_ILMD_ZCD121_Brazil_Rondonia_2023-02-06,BR.AC,BR.AC
495,496,0.06638753195952,-64.7942819919999,-7.25448472693869,-64.7971155088787,-7.25665552972798,6.99886226866243,6.93247473670291,2023.03515781635,2023.1015453483,NA,BR.AM,BR.AM
544,545,0.7781261616762,-60.030796291815,-3.11349107445847,-60.0530172644758,-3.08840844021404,7.0023608878972,6.224234726221,2022.32691780586,2023.10504396754,NA,BR.AM,BR.AM
518,524,0.07221616897182,-64.7955330833571,-7.25694326053438,-64.7922014724715,-7.26103073662576,7.00503534942187,6.93281918045005,2023.03550226009,2023.10771842906,NA,BR.AM,BR.AM
