,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0.3,Inf,0.3,49
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,0.8,0.8,0.3,0.3
Herbaceous_vegetation,0.1,1.6,0.2,1.4
Cultivated_managed_vegetation,0.1,Inf,0.2,10.1
Regularly_flooded_vegetation,0.4,5.7,1.2,4.9
Culex_q_map,0.7,0.7,0.8,0.8
Culicoides_map,1,1,0.5,0.6
A_aegypti,1.6,1.6,1.8,1.8
Soil_moisture_AM,0.2,0.2,0.5,0.5
Deciduous_broadleaf_trees,0.4,0.8,0.7,0.6
Evergreen_broadleaf_trees,0,4.9,0.1,8.1
Mixed_trees,0.8,0,1.1,0
Grasslands,0.1,1.2,0.2,0.6
Shrublands,0.1,13.3,0.4,2.7
Savannas,0.4,0.3,0.6,0.2
Woody_savannas,1,0.8,2.3,0.4
Cropland_&_natural_vegetation,0.1,0.3,0.8,0.2
Croplands_2019,0.5,0.1,0.7,0.1
Banana_harvested_area,1,3.8,0.3,4
Cassava_harvested_area,1.1,0.6,0.8,0.6
Cocoa_harvested_area,0.2,11.5,0.3,11.5
Coffee_harvested_area,0.6,1.1,0.3,1.8
Maize_harvested_area,1.4,0.4,0.8,0.4
Soybean_harvested_area,0.8,0.1,1.7,0.1
Sugarcane_harvested_area,0.8,3.2,0.6,2.4
Cattle_production,2.8,2.8,1.2,1.2
Forest_loss_2020-2023,2.6,1.2,1.2,0.8
Waterbodies,0.4,11.5,0.5,10.1
Precipitation_mean_2023,0.8,0.8,1.6,1.6
Annual_mean_temperature_2020,3.5,3.5,5.2,5.2
