,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0.1,7.3,0.2,7.3
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,0.7,0.8,0.6,0.6
Herbaceous_vegetation,0.3,0.5,0.4,0.6
Cultivated_managed_vegetation,0.1,3.8,0.1,4
Regularly_flooded_vegetation,0.8,4.6,0.9,8.1
Culex_q_map,0.6,0.6,0.9,0.9
Culicoides_map,0.9,1,0.6,0.7
A_aegypti,0.1,0.1,0.2,0.2
Soil_moisture_AM,0.4,0.4,0.3,0.3
Deciduous_broadleaf_trees,0.3,0.7,0.4,0.9
Evergreen_broadleaf_trees,0,6.1,0,9
Mixed_trees,0.8,0,1.4,0.1
Grasslands,0.2,2.6,0.2,1.3
Shrublands,0.3,10.1,0.8,4.9
Savannas,0.4,0.3,0.4,0.3
Woody_savannas,0.5,0.7,1.1,0.4
Cropland_&_natural_vegetation,0.2,0.4,0.4,0.4
Croplands_2019,0.3,0.2,0.6,0.1
Banana_harvested_area,0.6,2.3,0.5,4
Cassava_harvested_area,1,0.5,0.9,0.5
Cocoa_harvested_area,0.7,11.5,0.4,32.3
Coffee_harvested_area,0.4,2.1,0.4,2.7
Maize_harvested_area,0.7,0.2,0.9,0.3
Soybean_harvested_area,0.5,0,0.6,0
Sugarcane_harvested_area,0.8,2.8,0.9,2.7
Cattle_production,0.7,0.7,1,1.1
Forest_loss_2020-2023,2.6,2.3,4,2.7
Waterbodies,0.4,49,0.6,24
Precipitation_mean_2023,6.1,6.1,3,3
Annual_mean_temperature_2020,1.8,1.8,1.8,1.8
