,lower_randomisations,higher_randomisations,lower_simulations,higher_simulations
Human_population,0,99,0,99
Urban_&_built-up_areas,0,Inf,0,Inf
Elevation,19,0.1,19,0.1
Herbaceous_vegetation,0.1,6.7,0.5,1.9
Cultivated_managed_vegetation,0.2,5.2,0.5,1.9
Regularly_flooded_vegetation,0.9,1.2,3,0.3
Culex_q_map,0,Inf,0,Inf
Culicoides_map,0,Inf,0,Inf
A_aegypti,0.3,3.8,0.1,15.7
Soil_moisture_AM,6.1,0.2,2,0.5
Deciduous_broadleaf_trees,0.1,8.1,0.7,1.4
Evergreen_broadleaf_trees,99,0,13.3,0.1
Mixed_trees,0.8,1.3,1,1
Grasslands,0.1,13.3,0.2,5.7
Shrublands,0.1,11.5,0.5,2.1
Savannas,0.4,2.7,0.8,1.3
Woody_savannas,0.6,1.7,2.3,0.4
Cropland_&_natural_vegetation,0.2,4.9,0.8,1.3
Croplands_2019,0.5,1.9,1.2,0.8
Banana_harvested_area,0,49,0,49
Cassava_harvested_area,0.3,3.8,0.3,3
Cocoa_harvested_area,0,49,0,99
Coffee_harvested_area,0.5,2,0.2,4.9
Maize_harvested_area,0.2,4.3,0.4,2.4
Soybean_harvested_area,0.5,2,1.3,0.8
Sugarcane_harvested_area,0.1,10.1,0.5,1.9
Cattle_production,0.8,1.3,0.7,1.5
Forest_loss_2020-2023,3,0.3,1.2,0.9
Waterbodies,0.1,19,0.1,15.7
Precipitation_mean_2023,1.6,0.6,1.2,0.9
Annual_mean_temperature_2020,0,Inf,0,Inf
