node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km
521,522,0.9053626601499,-7.18067677993387,-64.7501287807882,-7.29252395763709,-64.8186878994033,0.9053626601499,0,2019.79672088494,2020.70208354509,14.5726131411299
522,523,2.289872438695,-7.29252395763709,-64.8186878994033,-7.28673537984545,-64.8113939104624,3.1952350988449,0.9053626601499,2020.70208354509,2022.99195598379,1.03149458231151
523,508,0.1348801566436,-7.28673537984545,-64.8113939104624,-8.72530565647472,-62.0173793965184,3.3301152554885,3.1952350988449,2022.99195598379,2023.12683614043,347.146929653058
523,509,0.1348801566436,-7.28673537984545,-64.8113939104624,-7.28414092076809,-64.8086631312832,3.3301152554885,3.1952350988449,2022.99195598379,2023.12683614043,0.417552832417771
522,524,1.986935416539,-7.29252395763709,-64.8186878994033,-7.30377443964321,-64.8243472474418,2.8922980766889,0.9053626601499,2020.70208354509,2022.68901896163,1.39969446588199
524,525,0.07231009169811,-7.30377443964321,-64.8243472474418,-4.4311560519147,-67.4542014224038,2.96460816838701,2.8922980766889,2022.68901896163,2022.76132905333,432.508651609824
525,481,0.06961667614264,-4.4311560519147,-67.4542014224038,-4.43149669341514,-67.4479926492237,3.03422484452965,2.96460816838701,2022.76132905333,2022.83094572947,0.690161080462623
525,526,0.1687720826237,-4.4311560519147,-67.4542014224038,-4.42830979202005,-67.4493849861072,3.13338025101071,2.96460816838701,2022.76132905333,2022.93010113595,0.621431211250171
526,527,0.05028864933565,-4.42830979202005,-67.4493849861072,-4.431876020296,-67.444540225783,3.18366890034636,3.13338025101071,2022.93010113595,2022.98038978529,0.668403619983294
527,528,0.04403951710223,-4.431876020296,-67.444540225783,-4.43648147261088,-67.4502277266046,3.22770841744859,3.18366890034636,2022.98038978529,2023.02442930239,0.813232126866766
528,529,0.2983825144449,-4.43648147261088,-67.4502277266046,-4.43775151741636,-67.4494433510364,3.52609093189349,3.22770841744859,2023.02442930239,2023.32281181683,0.166039695116015
529,498,0.03142158386911,-4.43775151741636,-67.4494433510364,-4.43802883964173,-67.4470506235536,3.5575125157626,3.52609093189349,2023.32281181683,2023.3542334007,0.267357523040226
529,499,0.03142158386911,-4.43775151741636,-67.4494433510364,-4.39990710685689,-67.638602636982,3.5575125157626,3.52609093189349,2023.32281181683,2023.3542334007,21.4138720312558
528,530,0.09609396053573,-4.43648147261088,-67.4502277266046,-4.43604621716209,-67.44735106923,3.32380237798432,3.22770841744859,2023.02442930239,2023.12052326293,0.322936968721969
530,500,0.0446690418879,-4.43604621716209,-67.44735106923,-4.43342235652204,-67.4510172574178,3.36847141987222,3.32380237798432,2023.12052326293,2023.16519230481,0.500898274174134
530,501,0.0446690418879,-4.43604621716209,-67.44735106923,0.882290401942535,-67.3529699042477,3.36847141987222,3.32380237798432,2023.12052326293,2023.16519230481,592.150888177766
527,531,0.06484163285673,-4.431876020296,-67.444540225783,-4.42652759397652,-67.4498958624456,3.24851053320309,3.18366890034636,2022.98038978529,2023.04523141814,0.841342207782908
531,502,0.02133074968268,-4.42652759397652,-67.4498958624456,-4.42448976123975,-67.4496884877909,3.26984128288577,3.24851053320309,2023.04523141814,2023.06656216783,0.228024067004282
531,503,0.02133074968268,-4.42652759397652,-67.4498958624456,-19.3328318973942,-55.4223411826506,3.26984128288577,3.24851053320309,2023.04523141814,2023.06656216783,2111.69559206004
526,532,0.08646586207164,-4.42830979202005,-67.4493849861072,-4.42927855112982,-67.4489879057694,3.21984611308235,3.13338025101071,2022.93010113595,2023.01656699802,0.116503858875297
532,533,0.1577863838891,-4.42927855112982,-67.4489879057694,-4.43295226812215,-67.4481257686919,3.37763249697145,3.21984611308235,2023.01656699802,2023.17435338191,0.420017742068899
533,534,0.01322808195269,-4.43295226812215,-67.4481257686919,-4.43434267485104,-67.4494906637286,3.39086057892414,3.37763249697145,2023.17435338191,2023.18758146386,0.216582454991571
534,482,0.01048755327685,-4.43434267485104,-67.4494906637286,-4.43526913458994,-67.4478261323936,3.40134813220099,3.39086057892414,2023.18758146386,2023.19806901714,0.211586425140621
534,483,0.01048755327685,-4.43434267485104,-67.4494906637286,-4.46077915769112,-68.0130585555507,3.40134813220099,3.39086057892414,2023.18758146386,2023.19806901714,62.6188317320062
533,535,0.004993797048662,-4.43295226812215,-67.4481257686919,-4.43223390337494,-67.4437190017232,3.38262629402011,3.37763249697145,2023.17435338191,2023.17934717896,0.495605650983867
