time,banana
2018.0325,2.0814793586731
2018.0975,1.98830575942993
2018.1625,2.27307385206223
2018.2275,2.09949564933777
2018.2925,1.82386573155721
2018.3575,1.63066873550415
2018.4225,1.51099429726601
2018.4875,1.49892755846182
2018.5525,1.5237849354744
2018.6175,1.49616011977196
2018.6825,1.66304701566696
2018.7475,1.51329886615276
2018.8125,1.85938239097595
2018.8775,1.82225534319878
2018.9425,1.65379190444946
2019.0075,1.86337859630585
2019.0725,1.61379532217979
2019.1375,1.58748720288277
2019.2025,1.69491000175476
2019.2675,1.72247351209323
2019.3325,1.1734769821167
2019.3975,1.51329886615276
2019.4625,1.96758862336477
2019.5275,1.76046460866928
2019.5925,1.1734769821167
2019.6575,1.3321125626564
2019.7225,1.5935315767924
2019.7875,1.66304701566696
2019.8525,1.53043761253357
2019.9175,1.65379190444946
2019.9825,1.99744491577148
2020.0475,1.8421765913566
2020.1125,1.80029049515724
2020.1775,1.57960356771946
2020.2425,1.58748720288277
2020.3075,1.51329886615276
2020.3725,1
2020.4375,1.58748720288277
2020.5025,1.77086205482483
2020.5675,1.65379190444946
2020.6325,1.76121470332146
2020.6975,1.7912213007609
2020.7625,1.57034845650196
2020.8275,1.67024499177933
2020.8925,2.08421850204468
2020.9575,1.74499110380809
2021.0225,1.53002102673054
2021.0875,1.71489135622978
2021.1525,1.39047366877397
2021.2175,1.64328385754065
2021.2825,1.71649609804153
2021.3475,1.45583269000053
2021.4125,1.53539543151855
2021.4775,1.50683707892895
2021.5425,1.51024648492987
2021.6075,1.54946029186249
2021.6725,1.62765358553992
2021.7375,1.88519409298897
2021.8025,2.16415623823802
2021.8675,2.35875397920609
2021.9325,2.35464304685593
2021.9975,2.42200619162935
2022.0625,2.85597259302934
2022.1275,3.10938411951065
2022.1925,3.91167370336396
2022.2575,3.59910937292235
2022.3225,3.73886623978615
2022.3875,3.89841934641202
2022.4525,3.46549217104912
2022.5175,2.90761992014142
2022.5825,3.26986725467902
2022.6475,3.81386843948212
2022.7125,3.24360671443485
2022.7775,3.44755465916868
2022.8425,4.83301508112958
2022.9075,5.73871870752838
2022.9725,7.00774679473929
2023.0375,8.29499655581058
2023.1025,13.1307200807727
2023.1675,15.1479825877635
2023.2325,12.4528559417816
2023.2975,8.87298677063952
2023.3625,20.7871903010777
2023.4275,25.4822006225586
2023.4925,25.4822006225586
2023.5575,19.3616504669189
2023.6225,17.525485420227
2023.6875,12.5798045700247
2023.7525,10.1811723371347
2023.8175,9.31577817912687
2023.8825,11.1052896878089
2023.9475,7.99193268549469
2024.0125,7.7922347502196
2024.0775,10.055839239541
2024.1425,23.0441118654378
2024.2075,24.8093339787007
2024.2725,4.78651437041246
2024.3375,5.1107451523286
2024.4025,NA
2024.4675,NA
