time,sugarcane
2018.0325,1
2018.0975,1
2018.1625,1
2018.2275,1.21077632904053
2018.2925,1
2018.3575,1
2018.4225,1
2018.4875,1
2018.5525,1
2018.6175,1
2018.6825,1
2018.7475,1
2018.8125,1
2018.8775,1.26347041130066
2018.9425,1.10538816452026
2019.0075,1.35129388173421
2019.0725,1
2019.1375,1
2019.2025,1
2019.2675,1
2019.3325,1
2019.3975,1
2019.4625,1.28103510538737
2019.5275,1.28798092901707
2019.5925,1
2019.6575,1.261633887887
2019.7225,1.31249144673347
2019.7875,1.59675538539886
2019.8525,1.15624572336674
2019.9175,1.40806604325771
2019.9825,1.58405422767003
2020.0475,1.62569139003754
2020.1125,1.47358800470829
2020.1775,1
2020.2425,1
2020.3075,1
2020.3725,1
2020.4375,1
2020.5025,1.30863034725189
2020.5675,1.23152298373835
2020.6325,1.23152298373835
2020.6975,1.40806604325771
2020.7625,1.10538816452026
2020.8275,1.24151454369227
2020.8925,1.65555097659429
2020.9575,1.28043104410172
2021.0225,1
2021.0875,1.54273315270742
2021.1525,1.36151673893134
2021.2175,1.48465047776699
2021.2825,1.64979169368744
2021.3475,1.72207856178284
2021.4125,1.72207856178284
2021.4775,1.64979169368744
2021.5425,1.38332267602285
2021.6075,1.52335734764735
2021.6725,1.42587121327718
2021.7375,1.40986728171508
2021.8025,1.48628615140915
2021.8675,1.72286868095398
2021.9325,1.8375752667586
2021.9975,1.72286868095398
2022.0625,1.75035270131551
2022.1275,2.12070851524671
2022.1925,2.02929240617997
2022.2575,2.49321111043294
2022.3225,2.68454113105933
2022.3875,2.81684918006261
2022.4525,2.9663559794426
2022.5175,3.21167625983556
2022.5825,3.04076792040179
2022.6475,3.60462998197629
2022.7125,2.73211664228546
2022.7775,2.74554406404495
2022.8425,4.08545506684295
2022.9075,4.9341016072366
2022.9725,7.94695038612146
2023.0375,8.86447270454899
2023.1025,7.43995989260289
2023.1675,5.38014000583987
2023.2325,4.50107431993695
2023.2975,2.36255208303948
2023.3625,1.83596507708232
2023.4275,2.67193015416463
2023.4925,2.67193015416463
2023.5575,2.67193015416463
2023.6225,2.38766332467397
2023.6875,2.31094523451545
2023.7525,2.40981926272313
2023.8175,3.84809095887719
2023.8825,3.9090396703111
2023.9475,7.84543809195099
2024.0125,17.7939185242616
2024.0775,59.5552020209692
2024.1425,52.3965905232684
2024.2075,67.360630124696
2024.2725,161.472511911618
2024.3375,106.703357084758
2024.4025,NA
2024.4675,NA
