time,orov_suitability_cumulative
2018.0325,1.50325000286102
2018.0975,1.5185999982059
2018.1625,1.50175000354648
2018.2275,1.50533333420753
2018.2925,1.49625001102686
2018.3575,1.49999999254942
2018.4225,1.50790000458558
2018.4875,1.50529165938497
2018.5525,1.50219998955727
2018.6175,1.49299999326468
2018.6825,1.4937499910593
2018.7475,1.49854166557391
2018.8125,1.48749999701977
2018.8775,1.49526667197545
2018.9425,1.4904583307604
2019.0075,1.48958333084981
2019.0725,1.48483333115776
2019.1375,1.49782501086593
2019.2025,1.47777499705553
2019.2675,1.47610000173251
2019.3325,1.47933333367109
2019.3975,1.48352499827743
2019.4625,1.48819999396801
2019.5275,1.49333332975705
2019.5925,1.47270833700895
2019.6575,1.48237500339746
2019.7225,1.47187500074506
2019.7875,1.48283333480358
2019.8525,1.48447500318289
2019.9175,1.47850000113249
2019.9825,1.48049999400973
2020.0475,1.48662498965859
2020.1125,1.48690000623465
2020.1775,1.49274999648333
2020.2425,1.48437500372529
2020.3075,1.49587499722838
2020.3725,1.48637500032783
2020.4375,1.48024999722838
2020.5025,1.49574999511242
2020.5675,1.49649999663234
2020.6325,1.49762500450015
2020.6975,1.49337499961257
2020.7625,1.50139999911189
2020.8275,1.50652500167489
2020.8925,1.51475000505646
2020.9575,1.50885000725587
2021.0225,1.51737500354648
2021.0875,1.51374999880791
2021.1525,1.51325000077486
2021.2175,1.51610000431538
2021.2825,1.50235000029206
2021.3475,1.50860000550747
2021.4125,1.50762499496341
2021.4775,1.51387500514587
2021.5425,1.5253000035882
2021.6075,1.51600001255671
2021.6725,1.53057500869036
2021.7375,1.53480000495911
2021.8025,1.53030356924449
2021.8675,1.53712499514222
2021.9325,1.53516666094462
2021.9975,1.54865000545979
2022.0625,1.55696666340033
2022.1275,1.55946667194366
2022.1925,1.56704167028268
2022.2575,1.58416665842136
2022.3225,1.59687499826153
2022.3875,1.56491666783889
2022.4525,1.57583333179355
2022.5175,1.55916666785876
2022.5825,1.51600892575724
2022.6475,1.50308928576609
2022.7125,1.50075000127157
2022.7775,1.49216710783933
2022.8425,1.52708774468591
2022.9075,1.54686161737249
2022.9725,1.55979926452479
2023.0375,1.53132575998704
2023.1025,1.58958010440264
2023.1675,1.62595600872809
2023.2325,1.6288929772127
2023.2975,1.58463382918169
2023.3625,1.67528573104313
2023.4275,1.70200002193451
2023.4925,1.70200002193451
2023.5575,1.70200002193451
2023.6225,1.62458334614833
2023.6875,1.60498462411074
2023.7525,1.58551127558812
2023.8175,1.60306776268564
2023.8825,1.71351431398426
2023.9475,1.78676401321571
2024.0125,1.78503483863989
2024.0775,1.47502128740343
2024.1425,1.48314422192769
2024.2075,1.51818589906741
2024.2725,1.36655971202677
2024.3375,1.32379497084846
2024.4025,NA
2024.4675,NA
