time,deciduous_broadleaf
2018.0325,1.11478412891456
2018.0975,1.07240309271202
2018.1625,1.0393115942029
2018.2275,1.07120856982353
2018.2925,1.07184570159802
2018.3575,1.08176182339885
2018.4225,1.06223169191919
2018.4875,1.06032978713092
2018.5525,1.05652920962199
2018.6175,1.06291869603106
2018.6825,1.06030520353694
2018.7475,1.05725596458679
2018.8125,1.0551270278543
2018.8775,1.10090909090909
2018.9425,1.09798582995951
2019.0075,1.06074242424242
2019.0725,1.05777751196172
2019.1375,1.09624242424242
2019.2025,1.09661084529506
2019.2675,1.1640202020202
2019.3325,1.1528153907496
2019.3975,1.11074242424242
2019.4625,1.08994417862839
2019.5275,1.10957575757576
2019.5925,1.12770175438596
2019.6575,1.10177777777778
2019.7225,1.12220202020202
2019.7875,1.13913012477718
2019.8525,1.17859477124183
2019.9175,1.12186842105263
2019.9825,1.12033333333333
2020.0475,1.10025857256778
2020.1125,1.10204166666667
2020.1775,1.12770175438596
2020.2425,1.09483333333333
2020.3075,1.15449342105263
2020.3725,1.16524368686869
2020.4375,1.18759190590112
2020.5025,1.1625
2020.5675,1.11520175438596
2020.6325,1.09404166666667
2020.6975,1.115375
2020.7625,1.21622046715468
2020.8275,1.14241017316017
2020.8925,1.20321657509158
2020.9575,1.14132738095238
2021.0225,1.19179487179487
2021.0875,1.19228787878788
2021.1525,1.16570655478842
2021.2175,1.12386565273838
2021.2825,1.16139528711034
2021.3475,1.13398214285714
2021.4125,1.15630147717964
2021.4775,1.21319869019869
2021.5425,1.22781856460533
2021.6075,1.18197707690671
2021.6725,1.16783917559234
2021.7375,1.20541054559476
2021.8025,1.17635335189502
2021.8675,1.19345417634672
2021.9325,1.23525756715155
2021.9975,1.19356710717044
2022.0625,1.19400535603706
2022.1275,1.18608191624339
2022.1925,1.18974094398977
2022.2575,1.22064695351344
2022.3225,1.2347024037165
2022.3875,1.19136330161879
2022.4525,1.13397971159142
2022.5175,1.13514733613854
2022.5825,1.10728098326731
2022.6475,1.10619397933624
2022.7125,1.22274110133223
2022.7775,1.11424494930443
2022.8425,1.16787343791732
2022.9075,1.17864609853485
2022.9725,1.22323746238979
2023.0375,1.54522673674141
2023.1025,1.13676066579727
2023.1675,1.07185573198662
2023.2325,1.10466113375551
2023.2975,1.11425255749138
2023.3625,1
2023.4275,1.0030303030303
2023.4925,1.0030303030303
2023.5575,1
2023.6225,1.00310023310023
2023.6875,1.00112359550562
2023.7525,1.00381667227453
2023.8175,1.00318210333688
2023.8825,1.00386570767838
2023.9475,1.05474688855602
2024.0125,1.04805518368434
2024.0775,2.31319464956741
2024.1425,2.08491439182724
2024.2075,2.40839284340391
2024.2725,4.37410703003376
2024.3375,4.87178040831258
2024.4025,NA
2024.4675,NA
