time,cattle
2018.0325,535.775233800644
2018.0975,545.614147632537
2018.1625,530.384784518722
2018.2275,527.045006453865
2018.2925,527.791715705729
2018.3575,500.364661216903
2018.4225,509.42109689609
2018.4875,496.299874048939
2018.5525,478.28557521514
2018.6175,480.306431917334
2018.6825,479.592112813731
2018.7475,483.980072601383
2018.8125,447.298062616968
2018.8775,455.866368045211
2018.9425,457.001379636156
2019.0075,410.220147442301
2019.0725,364.019952398936
2019.1375,366.946959921699
2019.2025,350.980118234466
2019.2675,329.200154290756
2019.3325,325.468924527665
2019.3975,327.863940095584
2019.4625,340.656149932365
2019.5275,320.16352027986
2019.5925,295.121628648303
2019.6575,294.418152224277
2019.7225,291.127935699674
2019.7875,296.099440705776
2019.8525,313.454721978053
2019.9175,318.988897864821
2019.9825,341.343974146796
2020.0475,341.391723038305
2020.1125,305.755653885377
2020.1775,339.508078593027
2020.2425,313.327331655249
2020.3075,314.325890420613
2020.3725,350.984207751273
2020.4375,341.470657647699
2020.5025,326.306271028727
2020.5675,358.641238669461
2020.6325,352.567878083148
2020.6975,350.02015009072
2020.7625,341.317524876262
2020.8275,336.861420801791
2020.8925,370.658732179284
2020.9575,361.343493318518
2021.0225,390.271210533996
2021.0875,404.975591565591
2021.1525,390.667800475548
2021.2175,397.978362902323
2021.2825,399.991227353061
2021.3475,408.308472109385
2021.4125,403.572870393791
2021.4775,391.438773537954
2021.5425,397.144524484611
2021.6075,427.101857308836
2021.6725,425.35749158864
2021.7375,414.043955028034
2021.8025,445.994936521704
2021.8675,460.879736445314
2021.9325,514.639012606304
2021.9975,497.737193957906
2022.0625,513.195228018911
2022.1275,501.712697389306
2022.1925,495.472904446953
2022.2575,556.507413956435
2022.3225,597.951640994235
2022.3875,612.866233941461
2022.4525,544.186250392013
2022.5175,502.219122344336
2022.5825,471.325636129849
2022.6475,459.385844477955
2022.7125,457.167145692709
2022.7775,412.783640311916
2022.8425,402.222767531404
2022.9075,447.450302895766
2022.9725,613.195663847313
2023.0375,1476.12341524931
2023.1025,4553.25315074531
2023.1675,6891.69293060542
2023.2325,5438.46155707172
2023.2975,4397.55781781783
2023.3625,3740.02943593219
2023.4275,1427.77639935657
2023.4925,1425.9740570523
2023.5575,1423.22661367003
2023.6225,1487.48864066225
2023.6875,1465.66083022084
2023.7525,1390.86307234133
2023.8175,1568.1790885958
2023.8825,1496.29272294902
2023.9475,696.334289949085
2024.0125,188.957448577274
2024.0775,2208.07227639979
2024.1425,2030.91243053429
2024.2075,2584.55066196979
2024.2725,3336.51166095406
2024.3375,2225.29645049256
2024.4025,NA
2024.4675,NA
