time,cocoa
2018.0325,2.26166158061731
2018.0975,2.21620322333352
2018.1625,2.10345873398119
2018.2275,2.10957053651559
2018.2925,2.15131519942201
2018.3575,2.17019937480685
2018.4225,2.17444117771229
2018.4875,2.22304337295177
2018.5525,2.14530061760933
2018.6175,2.33286046186791
2018.6825,2.07795878079092
2018.7475,2.11635709033874
2018.8125,2.18394451223787
2018.8775,2.10460956663679
2018.9425,2.0331098080414
2019.0075,1.9366851084833
2019.0725,2.31861806236984
2019.1375,2.17670553307546
2019.2025,2.36262457128637
2019.2675,2.21254480197358
2019.3325,2.36426630310637
2019.3975,2.15871095381584
2019.4625,2.26701783379711
2019.5275,2.19959040103535
2019.5925,2.1147398213575
2019.6575,2.37336651039388
2019.7225,2.17128141678939
2019.7875,2.3362825677773
2019.8525,2.1623040388703
2019.9175,2.06676667956007
2019.9825,2.18836711782818
2020.0475,2.26378782725883
2020.1125,2.29889290178849
2020.1775,2.27582999931312
2020.2425,2.42914047161676
2020.3075,2.30821156470019
2020.3725,2.46944502407204
2020.4375,2.28448265568117
2020.5025,2.29750715139113
2020.5675,2.44547987690702
2020.6325,2.32934384800358
2020.6975,2.36618870600384
2020.7625,2.40406534000129
2020.8275,2.44047293382945
2020.8925,2.23280204551525
2020.9575,2.43737085031273
2021.0225,2.38055700178872
2021.0875,2.44882145420993
2021.1525,2.54497057403748
2021.2175,2.44061968729272
2021.2825,2.32717394293917
2021.3475,2.40378218966723
2021.4125,2.55430255584953
2021.4775,2.49476784622762
2021.5425,2.39064015440179
2021.6075,2.34328842599144
2021.6725,2.46954961221213
2021.7375,2.9347335964897
2021.8025,2.6282375002626
2021.8675,2.67933394189549
2021.9325,2.47630459875022
2021.9975,2.59394006057012
2022.0625,2.54206336766065
2022.1275,2.6384911421856
2022.1925,2.91932961376914
2022.2575,2.8520762203162
2022.3225,3.11697258014968
2022.3875,3.3272159107672
2022.4525,3.42156552879685
2022.5175,3.08983981168498
2022.5825,2.78976458058618
2022.6475,2.46645043332738
2022.7125,2.61851667344784
2022.7775,2.59130432640738
2022.8425,3.49699618655636
2022.9075,4.69241777876528
2022.9725,4.55027349542927
2023.0375,3.44679079182154
2023.1025,8.50047484252648
2023.1675,10.0522783759035
2023.2325,9.44648441661107
2023.2975,24.1515903522958
2023.3625,35.7619102914306
2023.4275,7.54525618641558
2023.4925,7.27138359529011
2023.5575,6.66647236629628
2023.6225,6.04195312946778
2023.6875,5.08670891249949
2023.7525,4.25079871914044
2023.8175,3.50716440390481
2023.8825,10.9528103346657
2023.9475,15.6932961424558
2024.0125,13.296768368295
2024.0775,38.2961789290808
2024.1425,269.807603877259
2024.2075,220.331527594951
2024.2725,9.69806488344126
2024.3375,1
2024.4025,NA
2024.4675,NA
