time,pop_2020_raw
2018.0325,391.330295975636
2018.0975,385.33148640474
2018.1625,404.513735739504
2018.2275,391.998424274516
2018.2925,394.969112603045
2018.3575,424.027441328128
2018.4225,419.35718155212
2018.4875,383.100433138994
2018.5525,336.13797346937
2018.6175,246.763640994689
2018.6825,253.789433586861
2018.7475,257.520384420215
2018.8125,277.207289272434
2018.8775,276.369054357406
2018.9425,267.06222392268
2019.0075,278.306479867578
2019.0725,300.18379496997
2019.1375,315.572010674023
2019.2025,284.964687821852
2019.2675,312.379838569826
2019.3325,304.180015774865
2019.3975,327.64076124912
2019.4625,301.578276795234
2019.5275,351.928542053139
2019.5925,323.915905695888
2019.6575,317.079943680664
2019.7225,326.608877708461
2019.7875,339.322799307206
2019.8525,305.530970899942
2019.9175,315.650026842552
2019.9825,323.572102575862
2020.0475,306.521223351004
2020.1125,296.361313883599
2020.1775,279.768733359157
2020.2425,273.797886830901
2020.3075,276.592649967115
2020.3725,292.084394281018
2020.4375,281.849271915863
2020.5025,295.017923313856
2020.5675,287.972538542238
2020.6325,298.750797973788
2020.6975,335.240480210379
2020.7625,388.273276306493
2020.8275,403.88346072899
2020.8925,409.968637687286
2020.9575,416.50554463148
2021.0225,411.832822629232
2021.0875,430.460680242035
2021.1525,412.05016802924
2021.2175,380.672128551741
2021.2825,392.553668399107
2021.3475,387.787347486365
2021.4125,396.29136962218
2021.4775,408.154582954113
2021.5425,443.3416215738
2021.6075,469.139102961467
2021.6725,435.883567740089
2021.7375,461.270761558313
2021.8025,486.465094984281
2021.8675,532.537216057033
2021.9325,596.125425355314
2021.9975,504.328486543063
2022.0625,540.299696364121
2022.1275,515.68489315328
2022.1925,572.611581254058
2022.2575,542.081910771909
2022.3225,534.533570242451
2022.3875,525.083371684173
2022.4525,535.705598312446
2022.5175,446.999274711761
2022.5825,409.437337299007
2022.6475,299.284008973847
2022.7125,426.092390077097
2022.7775,299.668494433371
2022.8425,332.304806673585
2022.9075,792.975391204695
2022.9725,539.549000751994
2023.0375,481.818799196357
2023.1025,125.768192696595
2023.1675,119.653246663169
2023.2325,111.338383673631
2023.2975,203.702754563701
2023.3625,1357.15913996386
2023.4275,3573.0663053187
2023.4925,3220.80144890236
2023.5575,2656.76433997533
2023.6225,2199.17923304399
2023.6875,1615.15718039136
2023.7525,968.53286924022
2023.8175,389.8810682719
2023.8825,1335.18045039096
2023.9475,2350.89915685643
2024.0125,1922.60508816079
2024.0775,272.656443506972
2024.1425,161.453789166723
2024.2075,272.831887712416
2024.2725,273.396126060083
2024.3375,232.80050688348
2024.4025,NA
2024.4675,NA
