time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,1,11.3846153846154
2018.0975,1,10.4
2018.1625,1,10.3333333333333
2018.2275,1,9.4375
2018.2925,1,10.5
2018.3575,1,9.32258064516129
2018.4225,1,8
2018.4875,1,6.3030303030303
2018.5525,1,6.73333333333333
2018.6175,1,5.2
2018.6825,1,4.14285714285714
2018.7475,1,3.86363636363636
2018.8125,1,5.375
2018.8775,1,7.04
2018.9425,1,8
2019.0075,1,8.14285714285714
2019.0725,1,8.44444444444444
2019.1375,1,10.8125
2019.2025,1,8.24
2019.2675,1,11.1428571428571
2019.3325,1,7.33333333333333
2019.3975,1,8.77777777777778
2019.4625,1,9.08333333333333
2019.5275,1,10.75
2019.5925,1,10.3636363636364
2019.6575,1,11.8181818181818
2019.7225,1,12.2413793103448
2019.7875,1,11.6923076923077
2019.8525,1,11.2
2019.9175,1,8.44827586206896
2019.9825,1,10.1304347826087
2020.0475,1,9.55555555555556
2020.1125,1,8.33333333333333
2020.1775,1,8.07142857142857
2020.2425,1,10.5454545454545
2020.3075,1,7.25
2020.3725,1,9.8
2020.4375,1,8.4375
2020.5025,1,10
2020.5675,1,10.8235294117647
2020.6325,1,8.41666666666667
2020.6975,1,9.54166666666666
2020.7625,1,10.7142857142857
2020.8275,1,8.96
2020.8925,1,7.81818181818182
2020.9575,1,4.875
2021.0225,1,7.6
2021.0875,1,9.2
2021.1525,1,9.66666666666667
2021.2175,1,8.85714285714286
2021.2825,1,8.92307692307692
2021.3475,1,15.0909090909091
2021.4125,1,9.83333333333333
2021.4775,1,10
2021.5425,1,8.20588235294118
2021.6075,1,9.46666666666667
2021.6725,1,9.72222222222222
2021.7375,1,7.88
2021.8025,1,10.8181818181818
2021.8675,1,19.36
2021.9325,1,13.6363636363636
2021.9975,1,13.0909090909091
2022.0625,1,16
2022.1275,1,13.7777777777778
2022.1925,1,11.72
2022.2575,1,12.5666666666667
2022.3225,1,12.7299270072993
2022.3875,1,13.44
2022.4525,1,16.7692307692308
2022.5175,1,14.3846153846154
2022.5825,1,12.5454545454545
2022.6475,1,13.3448275862069
2022.7125,1,11.6896551724138
2022.7775,1,7.32
2022.8425,1,6.3921568627451
2022.9075,1,6.86473429951691
2022.9725,1.19469026548672,6.5
2023.0375,1.11405295315682,5.07407407407407
2023.1025,1.07580477673936,1.74821722435545
2023.1675,1.03357958361316,1.34446397188049
2023.2325,1,2.15698393077874
2023.2975,1.00621118012422,1.5511811023622
2023.3625,1,1
2023.4275,1,1.42105263157895
2023.4925,1,1.57142857142857
2023.5575,1,1.73913043478261
2023.6225,1,1.41772151898734
2023.6875,1,1.55813953488372
2023.7525,1,1.75609756097561
2023.8175,1,1.41818181818182
2023.8825,1,2.33001493280238
2023.9475,2.54177005789908,3.86338028169014
2024.0125,2.75660211267606,5.59595029912569
2024.0775,1.65337164103432,2.71401892430281
2024.1425,1.12221063607925,2.74161735700196
2024.2075,1.07090719499479,1.83695857764327
2024.2725,1,1.46764796074825
2024.3375,1,1
2024.4025,NA,NA
2024.4675,NA,NA
