time,elevation
2018.0325,104.054431367438
2018.0975,102.42139166707
2018.1625,103.144630473302
2018.2275,105.857018130466
2018.2925,104.164143786164
2018.3575,104.427397457879
2018.4225,104.119544481139
2018.4875,104.147811142515
2018.5525,104.229524328257
2018.6175,104.728227684625
2018.6825,103.651237733798
2018.7475,104.406704399338
2018.8125,105.549770861459
2018.8775,103.195729236246
2018.9425,101.81377225241
2019.0075,101.385596054409
2019.0725,100.070122870498
2019.1375,99.3419832403373
2019.2025,97.7403115501214
2019.2675,96.1775118040888
2019.3325,96.6394992961398
2019.3975,97.2327648713551
2019.4625,96.4660573064893
2019.5275,95.9002361374006
2019.5925,96.6230363344417
2019.6575,95.3188061617828
2019.7225,93.7898181489992
2019.7875,93.4571680494414
2019.8525,94.4371225776007
2019.9175,93.8306456112756
2019.9825,91.8954170975111
2020.0475,91.2676981335187
2020.1125,91.9435082976627
2020.1775,92.2152863807898
2020.2425,93.135332246336
2020.3075,93.9164933157704
2020.3725,93.4548919504711
2020.4375,93.4683155542732
2020.5025,94.0872273443555
2020.5675,94.6732524199888
2020.6325,94.097344547505
2020.6975,93.5211248834551
2020.7625,93.4142772070676
2020.8275,93.794161054785
2020.8925,94.5887087955414
2020.9575,96.9402449893134
2021.0225,95.9219069337598
2021.0875,95.093384886248
2021.1525,94.0789467295004
2021.2175,94.044491234278
2021.2825,94.6674320869491
2021.3475,95.4186905089973
2021.4125,94.9072684228918
2021.4775,95.6656359728934
2021.5425,96.7667897538214
2021.6075,96.4159984062942
2021.6725,95.9711739464088
2021.7375,95.617304014456
2021.8025,94.2056696546803
2021.8675,93.6663152954638
2021.9325,93.8341459160288
2021.9975,93.3399304970127
2022.0625,92.9085764148963
2022.1275,92.6849856027286
2022.1925,92.9932674592457
2022.2575,92.612224222535
2022.3225,90.2161297395206
2022.3875,88.881328912078
2022.4525,90.521672249938
2022.5175,93.5681725079426
2022.5825,95.9864951935271
2022.6475,105.254885433899
2022.7125,111.790527199938
2022.7775,114.08176526706
2022.8425,89.6169982899894
2022.9075,69.8070882999009
2022.9725,81.4461193679463
2023.0375,136.488454721919
2023.1025,180.399721183017
2023.1675,222.879710995479
2023.2325,219.87982164354
2023.2975,193.841739238441
2023.3625,170.602320583435
2023.4275,154.307119323557
2023.4925,156.718259760709
2023.5575,165.156818709679
2023.6225,170.744346780473
2023.6875,179.745568138663
2023.7525,189.081213615399
2023.8175,199.129458640154
2023.8825,178.94594153099
2023.9475,100.476382661713
2024.0125,57.4439029153744
2024.0775,345.030427795181
2024.1425,315.561887535944
2024.2075,335.585995725529
2024.2725,462.318182727049
2024.3375,462.850680318905
2024.4025,NA
2024.4675,NA
