time,evergreen_broadleaf
2018.0325,96.3214285714286
2018.0975,96.7651821862348
2018.1625,96.8759259259259
2018.2275,96.8387096774194
2018.2925,97.6896551724138
2018.3575,97.1176470588235
2018.4225,97.7083333333333
2018.4875,97.2333333333333
2018.5525,98.1379310344828
2018.6175,97.5666666666667
2018.6825,97.7647058823529
2018.7475,98.3989583333333
2018.8125,98.0333333333333
2018.8775,97.6461538461539
2018.9425,96.7171052631579
2019.0075,98.2233333333333
2019.0725,97.7517647058824
2019.1375,97.4571428571429
2019.2025,95.9239766081871
2019.2675,97.0686813186813
2019.3325,96.775
2019.3975,97.5934065934066
2019.4625,96.6754385964912
2019.5275,97.2020202020202
2019.5925,97.6
2019.6575,97.8117647058824
2019.7225,97.1242424242424
2019.7875,96.4596273291925
2019.8525,96.8666666666667
2019.9175,96.8117647058824
2019.9825,96.74375
2020.0475,96.1184210526316
2020.1125,97.2035087719298
2020.1775,98.12
2020.2425,97.4508620689655
2020.3075,97.0691699604743
2020.3725,96.554347826087
2020.4375,97.2222222222222
2020.5025,97.451048951049
2020.5675,97.3981481481482
2020.6325,96.3215488215488
2020.6975,96.2255244755245
2020.7625,96.5470085470085
2020.8275,96.2861990950226
2020.8925,97.2062937062937
2020.9575,97.6773504273504
2021.0225,97.1922043010753
2021.0875,96.7833333333333
2021.1525,95.82995951417
2021.2175,95.4786324786325
2021.2825,94.8202380952381
2021.3475,94.7370689655172
2021.4125,94.7001278772379
2021.4775,95.0588235294118
2021.5425,96.8973684210526
2021.6075,97.3551724137931
2021.6725,96.0112781954887
2021.7375,94.9166666666667
2021.8025,94.7657894736842
2021.8675,93.025641025641
2021.9325,92.5333333333333
2021.9975,92.5379464285714
2022.0625,90.4107142857143
2022.1275,92.2716346153846
2022.1925,89.8989898989899
2022.2575,87.7115384615385
2022.3225,87.2375
2022.3875,82.8533705452984
2022.4525,87.1418803418803
2022.5175,90.7103196347032
2022.5825,89.7302564102564
2022.6475,91.66875
2022.7125,93.3331603067714
2022.7775,93.8126177024482
2022.8425,89.3064242967644
2022.9075,87.5789576802508
2022.9725,88.1815481602716
2023.0375,88.7017604361678
2023.1025,71.8533024286847
2023.1675,60.1123870556858
2023.2325,73.1041670216089
2023.2975,76.7735042735043
2023.3625,35.843137254902
2023.4275,41
2023.4925,41
2023.5575,51
2023.6225,61.1025641025641
2023.6875,87.3811310640579
2023.7525,89.8201139351446
2023.8175,89.292168003565
2023.8825,74.5832876712328
2023.9475,58.208406819518
2024.0125,63.7286089770234
2024.0775,46.1074147697756
2024.1425,48.1448062335954
2024.2075,46.4793008340676
2024.2725,14.7962083063336
2024.3375,5.28768924543097
2024.4025,NA
2024.4675,NA
