time,shrublands
2018.0325,1.95824934727109
2018.0975,1.78242010379449
2018.1625,1.66233310771354
2018.2275,1.76684373944
2018.2925,1.67024865132258
2018.3575,1.81829181879151
2018.4225,1.68926270038219
2018.4875,1.6830578919943
2018.5525,1.5530047351921
2018.6175,1.59071264505532
2018.6825,1.56784303300386
2018.7475,1.56083891826723
2018.8125,1.54895771709895
2018.8775,1.62749983711358
2018.9425,1.6046112321297
2019.0075,1.54458580501619
2019.0725,1.77694331599498
2019.1375,1.6786455115665
2019.2025,1.62389815006308
2019.2675,1.81053605790169
2019.3325,1.60826792311931
2019.3975,1.56390876621211
2019.4625,1.53612653769045
2019.5275,1.58157480252995
2019.5925,1.38015909265995
2019.6575,1.43460022021401
2019.7225,1.45088611898288
2019.7875,1.46320487575879
2019.8525,1.60066429902638
2019.9175,1.8646748220061
2019.9825,1.78886706916363
2020.0475,1.54900009042237
2020.1125,1.80770023708947
2020.1775,1.70630452227165
2020.2425,1.70652502998969
2020.3075,1.54267851157986
2020.3725,1.54148738321927
2020.4375,1.4693208089752
2020.5025,1.27632494655882
2020.5675,1.22550293422598
2020.6325,1.25396983526577
2020.6975,1.43213103206069
2020.7625,1.51423422742695
2020.8275,1.44811846748882
2020.8925,1.45289341887659
2020.9575,1.43764886396296
2021.0225,1.53070321790384
2021.0875,1.60838955897231
2021.1525,1.6082273347687
2021.2175,1.54329974963761
2021.2825,1.64769482995237
2021.3475,1.63218868288675
2021.4125,1.53214686673238
2021.4775,1.52451212781767
2021.5425,1.41412925391602
2021.6075,1.35755662854086
2021.6725,1.44109162328899
2021.7375,1.54869086243209
2021.8025,1.76228084790242
2021.8675,1.89365949043678
2021.9325,2.15249185287616
2021.9975,2.35730439713426
2022.0625,2.28067336218411
2022.1275,2.1786602691671
2022.1925,2.17319279739304
2022.2575,2.13447995593495
2022.3225,2.25062532198431
2022.3875,2.36361351557486
2022.4525,2.26177145427408
2022.5175,2.09244557507541
2022.5825,1.81778921852022
2022.6475,1.86695588787434
2022.7125,1.54304886359817
2022.7775,1.51442655609688
2022.8425,1.54619292230696
2022.9075,1.59438814562524
2022.9725,1.71246783264078
2023.0375,1.84325289330304
2023.1025,1.9276665959951
2023.1675,2.11467469056613
2023.2325,2.02591374607027
2023.2975,1.56484856317483
2023.3625,3.22775322994367
2023.4275,6.47474221999602
2023.4925,6.08174356237806
2023.5575,5.5866236318307
2023.6225,4.90949261205315
2023.6875,3.84711950226378
2023.7525,2.89804312318344
2023.8175,1.7228123417997
2023.8825,2.03282915086389
2023.9475,2.25234372898621
2024.0125,1.79856824549446
2024.0775,4.94174648066533
2024.1425,4.09729131094352
2024.2075,6.02938130084961
2024.2725,9.47397544192914
2024.3375,8.79149488573037
2024.4025,NA
2024.4675,NA
