time,herbaceous_vegetation
2018.0325,1.52390427016783
2018.0975,1.57054413972564
2018.1625,1.4700200831953
2018.2275,1.39435658894096
2018.2925,1.46529033695724
2018.3575,1.38937281569564
2018.4225,1.34247324941417
2018.4875,1.24518355288508
2018.5525,1.28820344011954
2018.6175,1.32783465216408
2018.6825,1.2748162944217
2018.7475,1.26707142046337
2018.8125,1.18402786359056
2018.8775,1.36956679514928
2018.9425,1.32723738585698
2019.0075,1.23955446949096
2019.0725,1.23791898455702
2019.1375,1.40974719496115
2019.2025,1.59944450507116
2019.2675,1.68423297514042
2019.3325,1.42667447294322
2019.3975,1.46777125748378
2019.4625,1.49345456084552
2019.5275,1.65561299005303
2019.5925,1.62149126395828
2019.6575,1.42537927303116
2019.7225,1.45446854393923
2019.7875,1.45550550483058
2019.8525,1.59090818662201
2019.9175,1.46011190234549
2019.9825,1.36257111646045
2020.0475,1.29532200089686
2020.1125,1.22261682340014
2020.1775,1.29720112503783
2020.2425,1.40322832118862
2020.3075,1.28260779154929
2020.3725,1.24218839225403
2020.4375,1.29686568237982
2020.5025,1.34118068192262
2020.5675,1.41616014851192
2020.6325,1.38934877865125
2020.6975,1.59827418329282
2020.7625,1.5222637606126
2020.8275,1.43076889396007
2020.8925,1.49051402758065
2020.9575,1.35708403409434
2021.0225,1.43186142601648
2021.0875,1.60849098862683
2021.1525,1.51020233594837
2021.2175,1.33597605825819
2021.2825,1.52922131378892
2021.3475,1.46741773734668
2021.4125,1.53429793504185
2021.4775,1.53925045874044
2021.5425,1.57332610058787
2021.6075,1.35176823317891
2021.6725,1.32322245130323
2021.7375,1.48923640623989
2021.8025,1.67848005995457
2021.8675,1.44999579445545
2021.9325,1.59561759665684
2021.9975,1.50442328611769
2022.0625,1.53927437076746
2022.1275,1.46445803536247
2022.1925,1.55476543424903
2022.2575,1.6659066291176
2022.3225,1.68710639020419
2022.3875,1.6783552038069
2022.4525,1.60957744461754
2022.5175,1.62059127505768
2022.5825,1.49187377972024
2022.6475,1.63562416495928
2022.7125,1.47615751514815
2022.7775,1.35366559846423
2022.8425,1.3492896799148
2022.9075,1.40508134263323
2022.9725,1.41424998589304
2023.0375,1.55436396292099
2023.1025,1.79061538953886
2023.1675,1.94754768024559
2023.2325,1.80566477289292
2023.2975,2.36154738670948
2023.3625,2.17391891001223
2023.4275,3.63144783643206
2023.4925,3.51868489222571
2023.5575,3.38859153377249
2023.6225,3.07322610554123
2023.6875,2.50491522567473
2023.7525,1.95379398988499
2023.8175,1.35200027859261
2023.8825,1.40431191472292
2023.9475,1.54953971960931
2024.0125,1.43060012537422
2024.0775,2.20772770077094
2024.1425,1.88930318471955
2024.2075,3.38418120584616
2024.2725,6.20538697005412
2024.3375,3.24147418806957
2024.4025,NA
2024.4675,NA
