time,orov_suitability_pre2024
2018.0325,1.45944764393287
2018.0975,1.45645597773348
2018.1625,1.45322101374791
2018.2275,1.43833298206068
2018.2925,1.43382245629242
2018.3575,1.43751140319203
2018.4225,1.43431128443529
2018.4875,1.42791822888992
2018.5525,1.42422886546637
2018.6175,1.41796408833302
2018.6825,1.41127920902216
2018.7475,1.41598209404722
2018.8125,1.42038131303558
2018.8775,1.42226283300171
2018.9425,1.42723549979677
2019.0075,1.41438899920881
2019.0725,1.4136688325728
2019.1375,1.4126641427204
2019.2025,1.4018178328524
2019.2675,1.3990449995026
2019.3325,1.4097953320543
2019.3975,1.40140366581082
2019.4625,1.4103286663716
2019.5275,1.40228316616267
2019.5925,1.39417692849146
2019.6575,1.3951214996477
2019.7225,1.39690716608117
2019.7875,1.40015099888543
2019.8525,1.39947649866094
2019.9175,1.39932235621732
2019.9825,1.40176699880262
2020.0475,1.40618964182621
2020.1125,1.39973868954359
2020.1775,1.40139842740659
2020.2425,1.4018059988444
2020.3075,1.39995521324979
2020.3725,1.40507216510922
2020.4375,1.41012233159939
2020.5025,1.39934549834083
2020.5675,1.40069937947002
2020.6325,1.4024301422916
2020.6975,1.40369228521841
2020.7625,1.40694383345544
2020.8275,1.41070341652508
2020.8925,1.41587933327151
2020.9575,1.41551883308341
2021.0225,1.41221999946361
2021.0875,1.41261602276812
2021.1525,1.41743247522094
2021.2175,1.41634085540722
2021.2825,1.41875414137933
2021.3475,1.42096795311773
2021.4125,1.42634366458814
2021.4775,1.4338031644399
2021.5425,1.43320159376116
2021.6075,1.43479387755534
2021.6725,1.43781130827821
2021.7375,1.44565734736775
2021.8025,1.450062188459
2021.8675,1.45012476026373
2021.9325,1.45454061395707
2021.9975,1.46356227335598
2022.0625,1.46939130565964
2022.1275,1.4777122163182
2022.1925,1.48831184391506
2022.2575,1.48977860525614
2022.3225,1.49995362229833
2022.3875,1.49692920811579
2022.4525,1.48723616324725
2022.5175,1.47718106361455
2022.5825,1.47437766952062
2022.6475,1.45699984926852
2022.7125,1.4411829942976
2022.7775,1.42974577261588
2022.8425,1.44047414457623
2022.9075,1.47106859796025
2022.9725,1.4717474788807
2023.0375,1.43346424814163
2023.1025,1.39634856105648
2023.1675,1.39503525684915
2023.2325,1.40188397536461
2023.2975,1.38606967696461
2023.3625,1.52601034777082
2023.4275,1.56605174498254
2023.4925,1.56293712201296
2023.5575,1.55639241993029
2023.6225,1.54543223480614
2023.6875,1.53155409923766
2023.7525,1.52587887498567
2023.8175,1.53203607237171
2023.8825,1.5943950528012
2023.9475,1.64797504602336
2024.0125,1.64885249187644
2024.0775,1.42156019998847
2024.1425,1.42720292386989
2024.2075,1.41664489272116
2024.2725,1.33987445099575
2024.3375,1.34085250358572
2024.4025,NA
2024.4675,NA
