time,urban
2018.0325,3.4149154589372
2018.0975,3.39848960318898
2018.1625,3.40741696251441
2018.2275,3.35242244306916
2018.2925,3.53657682530748
2018.3575,3.6903060697382
2018.4225,3.70352959952457
2018.4875,3.56635548183856
2018.5525,3.5064085399137
2018.6175,3.56313073531942
2018.6825,3.66024978102831
2018.7475,3.6801141516588
2018.8125,3.70979718357169
2018.8775,3.70386406077583
2018.9425,3.72923262372332
2019.0075,3.61689123376623
2019.0725,3.58288050262708
2019.1375,3.68071932521501
2019.2025,3.56412473423283
2019.2675,3.73611264286616
2019.3325,3.79591083137136
2019.3975,3.8915760540545
2019.4625,3.63988565673944
2019.5275,3.86088798347622
2019.5925,3.7411925774031
2019.6575,3.67649936972351
2019.7225,3.731212000962
2019.7875,3.79118488085788
2019.8525,3.77275740790649
2019.9175,3.81260257856564
2019.9825,3.8695386687912
2020.0475,3.78986596149028
2020.1125,3.8310965999456
2020.1775,3.79860776117883
2020.2425,3.75437486599834
2020.3075,3.82190445811498
2020.3725,3.92364494126321
2020.4375,3.87745586150462
2020.5025,4.02002083222981
2020.5675,3.93992874888319
2020.6325,4.03458775969699
2020.6975,4.18743061800356
2020.7625,4.40947168215351
2020.8275,4.36947928986722
2020.8925,4.34368505419312
2020.9575,4.29253419856006
2021.0225,4.35258635395009
2021.0875,4.42047538669907
2021.1525,4.47994218138123
2021.2175,4.47227146619439
2021.2825,4.53500840948706
2021.3475,4.57724597931812
2021.4125,4.68008272637816
2021.4775,4.74828803886122
2021.5425,4.72117354436079
2021.6075,4.94773072036184
2021.6725,4.74530356304647
2021.7375,4.96381464109193
2021.8025,4.91156551401459
2021.8675,5.0406895953782
2021.9325,5.30895374420262
2021.9975,4.88481835866306
2022.0625,5.08192439047463
2022.1275,4.73925642888296
2022.1925,4.97034831980498
2022.2575,4.77139136243467
2022.3225,4.72894454803044
2022.3875,4.73025882931561
2022.4525,5.12994679682913
2022.5175,3.61135633524662
2022.5825,3.53353767846371
2022.6475,3.06877947675307
2022.7125,4.61618717183646
2022.7775,3.61725292792516
2022.8425,3.47057540095104
2022.9075,6.51772891826242
2022.9725,4.52727649466509
2023.0375,3.6268486592977
2023.1025,1.8237420990792
2023.1675,2.11831787338221
2023.2325,2.16136857562639
2023.2975,3.35356592028993
2023.3625,16.2624587748395
2023.4275,33.3394786189083
2023.4925,31.4519998750147
2023.5575,26.5025431639963
2023.6225,22.4631523689673
2023.6875,17.2061206417948
2023.7525,10.4711455189419
2023.8175,4.78694803681175
2023.8825,16.1539308733785
2023.9475,24.8015790510939
2024.0125,18.9911708131925
2024.0775,2.82448387443205
2024.1425,2.07338060455118
2024.2075,3.76710165522127
2024.2725,4.3556134659718
2024.3375,3.96849195948742
2024.4025,NA
2024.4675,NA
