time,Brazil_precipitation_mean_2023_crop_mask
2018.0325,6.38288672765096
2018.0975,6.4161464770635
2018.1625,6.45661092372168
2018.2275,6.46099778584072
2018.2925,6.49901541074117
2018.3575,6.49763906002045
2018.4225,6.43385094404221
2018.4875,6.49470430612564
2018.5525,6.5548001130422
2018.6175,6.5727128982544
2018.6825,6.58130729198456
2018.7475,6.594944190979
2018.8125,6.5727128982544
2018.8775,6.53163418769836
2018.9425,6.57772211233775
2019.0075,6.54291503770011
2019.0725,6.58644533157349
2019.1375,6.59256064891815
2019.2025,6.60389472189404
2019.2675,6.71759691238403
2019.3325,6.82967101534208
2019.3975,6.87770149367196
2019.4625,6.8375376701355
2019.5275,6.82705184221268
2019.5925,6.8177708864212
2019.6575,6.87319991588592
2019.7225,6.83645239671071
2019.7875,6.885444800059
2019.8525,6.85917455809457
2019.9175,6.86226266906375
2019.9825,6.83214606557574
2020.0475,6.87256186008453
2020.1125,6.89285651842753
2020.1775,6.92094856500626
2020.2425,6.86382545176007
2020.3075,6.86838646729787
2020.3725,6.93546994527181
2020.4375,6.93756404519081
2020.5025,6.92705392837524
2020.5675,6.90956343923296
2020.6325,6.89047495524089
2020.6975,6.95708186285836
2020.7625,6.9447062764849
2020.8275,6.87197563761756
2020.8925,6.88541548252106
2020.9575,6.87676282723745
2021.0225,6.86491913795471
2021.0875,6.82852743353163
2021.1525,6.83064258098602
2021.2175,6.81297651926676
2021.2825,6.81007286906242
2021.3475,6.934481549263
2021.4125,6.88830488920212
2021.4775,6.79323417875502
2021.5425,6.88156080245972
2021.6075,6.91530165672302
2021.6725,6.92866002718608
2021.7375,6.94426727294922
2021.8025,6.87879385948181
2021.8675,6.77131004333496
2021.9325,6.81782001798803
2021.9975,6.77497831980387
2022.0625,6.8038138349851
2022.1275,6.76571133898364
2022.1925,6.64650115966797
2022.2575,6.54888401031494
2022.3225,6.57065073649088
2022.3875,6.49310131072998
2022.4525,6.45402782303946
2022.5175,6.37414805662064
2022.5825,6.3847523814156
2022.6475,6.40934269244854
2022.7125,6.39953801016439
2022.7775,6.40486113082531
2022.8425,6.82204614411916
2022.9075,7.0194438763436
2022.9725,6.99517412084488
2023.0375,6.17209570983644
2023.1025,5.366448879088
2023.1675,5.25840171717443
2023.2325,5.27581887777759
2023.2975,5.27519945863521
2023.3625,5.9427844456264
2023.4275,6.00652233759562
2023.4925,6.00652233759562
2023.5575,6.0549916393227
2023.6225,6.09586754110124
2023.6875,6.11861751874288
2023.7525,6.21844170490901
2023.8175,6.22353295179514
2023.8825,6.13965853588368
2023.9475,6.26725291573427
2024.0125,6.57252626337875
2024.0775,5.35957384069531
2024.1425,4.83970769915275
2024.2075,4.91809440428525
2024.2725,4.76015967228243
2024.3375,4.14659054095929
2024.4025,NA
2024.4675,NA
