time,cultivated_managed_vegetation
2018.0325,3.34369632577448
2018.0975,3.0476884984469
2018.1625,2.97640379342414
2018.2275,3.32807376118203
2018.2925,2.98964254450696
2018.3575,3.42468593992774
2018.4225,3.43881112437254
2018.4875,3.07215015548216
2018.5525,2.64893417787283
2018.6175,2.82614340527678
2018.6825,2.97259931323842
2018.7475,2.53339033877991
2018.8125,2.41167116252007
2018.8775,2.58152348306271
2018.9425,2.85282514078771
2019.0075,2.43247306784426
2019.0725,2.512511808029
2019.1375,2.26888651713058
2019.2025,2.3965931630418
2019.2675,2.30253710262998
2019.3325,2.26383542999092
2019.3975,2.2976564525502
2019.4625,2.34994860699906
2019.5275,2.30105281181791
2019.5925,2.69930962213889
2019.6575,2.44743365338627
2019.7225,2.13124705517312
2019.7875,2.39476709921496
2019.8525,2.87317857982567
2019.9175,2.78985007030935
2019.9825,2.6095351884903
2020.0475,2.53392775967542
2020.1125,2.15392092274584
2020.1775,2.40501837369319
2020.2425,2.65241584869043
2020.3075,2.99327920462444
2020.3725,3.0538622814838
2020.4375,2.75595387802464
2020.5025,2.31025989466469
2020.5675,2.61076502776015
2020.6325,2.62748203677078
2020.6975,2.6852676988852
2020.7625,2.42899745561822
2020.8275,2.58265171495547
2020.8925,2.58892843735561
2020.9575,2.51504307280257
2021.0225,2.43091391708866
2021.0875,2.26774605814734
2021.1525,2.47983352501185
2021.2175,2.83449533696048
2021.2825,3.1071149349766
2021.3475,2.9033747202177
2021.4125,2.99398534471547
2021.4775,3.02974497858781
2021.5425,3.06179163270653
2021.6075,2.99395691258346
2021.6725,2.61856268970681
2021.7375,2.88556837173332
2021.8025,2.96935883100377
2021.8675,3.17368400398799
2021.9325,3.25346550111419
2021.9975,3.25583396772108
2022.0625,3.09982370531549
2022.1275,3.45844953207611
2022.1925,4.52404876554794
2022.2575,3.94316014176994
2022.3225,4.10027470926837
2022.3875,5.31825974870873
2022.4525,4.54404365157559
2022.5175,4.17185814910936
2022.5825,4.24691644531945
2022.6475,3.61333000731161
2022.7125,3.43387272783823
2022.7775,3.40761359192282
2022.8425,3.95026880371221
2022.9075,3.89674595598056
2022.9725,4.34764955886415
2023.0375,7.11149067099756
2023.1025,16.5763608205851
2023.1675,23.1339614321523
2023.2325,16.8737108462866
2023.2975,13.3039988745716
2023.3625,25.2696148239279
2023.4275,9.25163944580183
2023.4925,8.75002814431716
2023.5575,8.19421069294389
2023.6225,8.00472641433793
2023.6875,6.86179145125834
2023.7525,7.14990254827595
2023.8175,7.53900441167861
2023.8825,8.77763037782723
2023.9475,7.21593924300728
2024.0125,5.53021600223373
2024.0775,26.4148753397691
2024.1425,30.472801291505
2024.2075,33.9848169770975
2024.2725,42.401527764802
2024.3375,45.1777129604058
2024.4025,NA
2024.4675,NA
