time,95%HPD_lower_value,95%HPD_higher_value
2018.0325,1,7.4047846570611
2018.0975,1,7.5286256019026
2018.1625,1,7.07928981631994
2018.2275,1,7.38627052307129
2018.2925,1,7.50757471378893
2018.3575,1,7.22794886430105
2018.4225,1,9.0334886132429
2018.4875,1,7.38627052307129
2018.5525,1,8.98945045471191
2018.6175,1,8.21262741088867
2018.6825,1,9.2628281613191
2018.7475,1,7.49733638763428
2018.8125,1,9.45216274261475
2018.8775,1,9.45216274261475
2018.9425,1,8.98945045471191
2019.0075,1,6.99208784103394
2019.0725,1,9.55039648214976
2019.1375,1,8.98945045471191
2019.2025,1,12.9841756820679
2019.2675,1,12.9841756820679
2019.3325,1,9.45216274261475
2019.3975,1,9.36558349927266
2019.4625,1,12.9841756820679
2019.5275,1,9.55039648214976
2019.5925,1,7.69489714503288
2019.6575,1,12.9841756820679
2019.7225,1,9.33094314734141
2019.7875,1,12.9841756820679
2019.8525,1,9.45216274261475
2019.9175,1,9.49480671683947
2019.9825,1,9.49480671683947
2020.0475,1,9.42871815959612
2020.1125,1,12.9841756820679
2020.1775,1,12.9841756820679
2020.2425,1,12.9841756820679
2020.3075,1,9.79950658480326
2020.3725,1,12.9841756820679
2020.4375,1,9.79950658480326
2020.5025,1,12.9841756820679
2020.5675,1,12.9841756820679
2020.6325,1,12.9841756820679
2020.6975,1,12.9841756820679
2020.7625,1,12.9841756820679
2020.8275,1,12.9841756820679
2020.8925,1,8.98945045471191
2020.9575,1,12.9841756820679
2021.0225,1,12.9841756820679
2021.0875,1,12.9841756820679
2021.1525,1,12.9841756820679
2021.2175,1,12.9841756820679
2021.2825,1,8.98945045471191
2021.3475,1,8.98945045471191
2021.4125,1,12.9841756820679
2021.4775,1,9.02289190888405
2021.5425,1,12.9841756820679
2021.6075,1,8.98945045471191
2021.6725,1,12.9841756820679
2021.7375,1,13.0415863059461
2021.8025,1,10.5873405456543
2021.8675,1,12.9841756820679
2021.9325,1,12.9841756820679
2021.9975,1,12.9841756820679
2022.0625,1,9.02289190888405
2022.1275,1,12.9841756820679
2022.1925,1,12.9841756820679
2022.2575,1,12.9841756820679
2022.3225,1,12.9841756820679
2022.3875,1,12.9841756820679
2022.4525,1,20.8048090260476
2022.5175,1,13.1911921650171
2022.5825,1,14.9134115278721
2022.6475,1,10.537855675542
2022.7125,1,11.8503104835749
2022.7775,1,9.09119651998792
2022.8425,1,11.3060263311934
2022.9075,1.00730588443337,14.997354083591
2022.9725,1.23490590885054,14.4561362823495
2023.0375,1.1774013082515,18.2793687766188
2023.1025,1.15247215414602,23.4121212281147
2023.1675,2.0634902805843,22.2855717752237
2023.2325,2.63162823563272,24.1277539189696
2023.2975,4.09502735263423,46.7540180683136
2023.3625,10.5990802447001,62.114601952689
2023.4275,3.66315015157064,8.98945045471191
2023.4925,2.26149217705978,8.98945045471191
2023.5575,2.04210223322329,8.98945045471191
2023.6225,1.85601254871913,8.98945045471191
2023.6875,1.3994725227356,8.98945045471191
2023.7525,1.53263003031413,8.98945045471191
2023.8175,1.40624324345993,8.49010980129242
2023.8825,6.99208784103394,14.8612152467291
2023.9475,12.2714697465253,17.8385218189796
2024.0125,10.8203257670098,15.1002346410002
2024.0775,2.85480406526001,56.8019680649065
2024.1425,102.900561677616,455.104298904379
2024.2075,138.750930723176,320.561256142991
2024.2725,5.22842780483493,14.2944887210162
2024.3375,1,1
2024.4025,NA,NA
2024.4675,NA,NA
