time,Soil_Moisture_Americas_AM
2018.0325,1.5436664223671
2018.0975,1.550695759058
2018.1625,1.54824570044875
2018.2275,1.54464538097382
2018.2925,1.54377281665802
2018.3575,1.54377281665802
2018.4225,1.54377281665802
2018.4875,1.54285492002964
2018.5525,1.54377281665802
2018.6175,1.54329464435577
2018.6825,1.54308112859726
2018.7475,1.5414223074913
2018.8125,1.53960927799344
2018.8775,1.53435786565145
2018.9425,1.53576829433441
2019.0075,1.53930721680323
2019.0725,1.53981496890386
2019.1375,1.5355906942061
2019.2025,1.53003950715065
2019.2675,1.53052631020546
2019.3325,1.53459859490395
2019.3975,1.53351292610168
2019.4625,1.53790974475089
2019.5275,1.53510936668941
2019.5925,1.52934386730194
2019.6575,1.52605299055576
2019.7225,1.52853356301785
2019.7875,1.52982051173846
2019.8525,1.53175136446953
2019.9175,1.53233248988787
2019.9825,1.52824479341507
2020.0475,1.52846935143073
2020.1125,1.53093833476305
2020.1775,1.52916541099548
2020.2425,1.52390065292517
2020.3075,1.52261117696762
2020.3725,1.51901614240238
2020.4375,1.51486497478826
2020.5025,1.51510488561222
2020.5675,1.51558889746666
2020.6325,1.51590881745021
2020.6975,1.51443638191337
2020.7625,1.51575670497758
2020.8275,1.51176774625977
2020.8925,1.50811762515551
2020.9575,1.50059978229304
2021.0225,1.49778600633144
2021.0875,1.49798884242773
2021.1525,1.49138374129931
2021.2175,1.49212533767734
2021.2825,1.48238350152969
2021.3475,1.48068322688341
2021.4125,1.47943853934606
2021.4775,1.47225749144952
2021.5425,1.47327554907118
2021.6075,1.46908118724823
2021.6725,1.46616833806038
2021.7375,1.4608961224556
2021.8025,1.46033436570849
2021.8675,1.457634058098
2021.9325,1.45903735756874
2021.9975,1.45435767124097
2022.0625,1.45430106731753
2022.1275,1.45353507002195
2022.1925,1.45042158663273
2022.2575,1.45078907410304
2022.3225,1.45428494463364
2022.3875,1.45722590386868
2022.4525,1.45614590779656
2022.5175,1.46051576733589
2022.5825,1.45645125283972
2022.6475,1.44955322394282
2022.7125,1.41512194636507
2022.7775,1.36414405517605
2022.8425,1.40380858383473
2022.9075,1.44500062581605
2022.9725,1.4430895431699
2023.0375,1.3880977808722
2023.1025,1.38408486261153
2023.1675,1.32981686034854
2023.2325,1.30688666647282
2023.2975,1.35273941287897
2023.3625,1.36128896672089
2023.4275,1.47444335089198
2023.4925,1.45595929920673
2023.5575,1.42914878251107
2023.6225,1.39903939606415
2023.6875,1.38464549294376
2023.7525,1.37684487214531
2023.8175,1.35492234261431
2023.8825,1.32043549252456
2023.9475,1.35268593114745
2024.0125,1.36096165238356
2024.0775,1.33774287680098
2024.1425,1.26186955090217
2024.2075,1.22995866618287
2024.2725,1.25988486036166
2024.3375,1.21766015171613
2024.4025,NA
2024.4675,NA
