time,maize
2018.0325,8.50231781905158
2018.0975,1.98649945950163
2018.1625,1.92008484128194
2018.2275,1.68459782306059
2018.2925,3.28315124415388
2018.3575,3.1624254308365
2018.4225,2.08474881936003
2018.4875,2.21918714255095
2018.5525,2.40461825956174
2018.6175,4.49153021003889
2018.6825,3.98611446748786
2018.7475,1.78081773759434
2018.8125,4.69934211218798
2018.8775,6.78551203698823
2018.9425,3.36980851059071
2019.0075,4.15969924001746
2019.0725,7.22209039505442
2019.1375,6.42271944775301
2019.2025,2.28430643865356
2019.2675,2.41536250942283
2019.3325,4.04112109918247
2019.3975,6.31361894896405
2019.4625,7.41253304131216
2019.5275,7.47017319886958
2019.5925,4.99693556578354
2019.6575,7.41305601353999
2019.7225,9.60685496189579
2019.7875,8.11458879780819
2019.8525,4.01243687728034
2019.9175,3.89699608203209
2019.9825,4.62259413927239
2020.0475,4.71764998670387
2020.1125,2.13684612217585
2020.1775,3.12098928105861
2020.2425,2.86813024400423
2020.3075,3.87995793985045
2020.3725,3.15476600584822
2020.4375,3.96042832615961
2020.5025,3.07483209384165
2020.5675,3.99663431221531
2020.6325,4.42580044776245
2020.6975,3.46097963149651
2020.7625,3.02314715364805
2020.8275,5.41264179708844
2020.8925,2.80945380074637
2020.9575,3.46515427456016
2021.0225,2.73273098379847
2021.0875,2.58385919025966
2021.1525,2.77579609559642
2021.2175,2.41236708433296
2021.2825,1.20913421122233
2021.3475,1.19506775961225
2021.4125,1.13535943300435
2021.4775,1.62239326685514
2021.5425,1.18697376881912
2021.6075,1.78434099352147
2021.6725,1.97053967721789
2021.7375,1.45709601131852
2021.8025,1.18897253968005
2021.8675,1.45423678468579
2021.9325,1.90198942921712
2021.9975,1.79477374963628
2022.0625,1.71928165518653
2022.1275,2.60406892958471
2022.1925,2.37620508843692
2022.2575,3.54753252897161
2022.3225,3.54473614093596
2022.3875,4.5174616420605
2022.4525,9.05165204007614
2022.5175,12.1932854204654
2022.5825,17.3858561710868
2022.6475,24.8773096909611
2022.7125,54.0592370066202
2022.7775,77.695942299148
2022.8425,35.2918537289295
2022.9075,23.8480803771351
2022.9725,30.1461089663886
2023.0375,89.2100916927023
2023.1025,87.4227179284257
2023.1675,135.653809952813
2023.2325,159.89420927254
2023.2975,98.5524083986176
2023.3625,89.1200787805488
2023.4275,9.9062707262231
2023.4925,13.1051714616477
2023.5575,17.9048178119526
2023.6225,23.8138517294518
2023.6875,41.1325164266188
2023.7525,56.2719648992245
2023.8175,76.4896179192627
2023.8825,73.9349465231218
2023.9475,38.1519559366845
2024.0125,62.3583483252103
2024.0775,84.3923186608503
2024.1425,123.184412098178
2024.2075,159.136152271577
2024.2725,190.444939941497
2024.3375,145.542656183706
2024.4025,NA
2024.4675,NA
