time,Brazil_annual_mean_temp_2020_crop_mask
2018.0325,28.0057426651188
2018.0975,28.0160009774325
2018.1625,28.0070968123104
2018.2275,28.0039830900371
2018.2925,28.010372997726
2018.3575,28.0132816264671
2018.4225,28.0075791810748
2018.4875,28.0131771037656
2018.5525,28.0136908137501
2018.6175,28.0161442121476
2018.6825,28.0128899523074
2018.7475,28.0197169436386
2018.8125,28.0153975313771
2018.8775,28.0170641686381
2018.9425,28.0132334225293
2019.0075,28.0150421750526
2019.0725,28.012783866782
2019.1375,28.0104389545612
2019.2025,28.0086246753106
2019.2675,28.0055440264205
2019.3325,28.0007983257455
2019.3975,28.0063538545215
2019.4625,28.0109140670881
2019.5275,28.0110668074404
2019.5925,27.9972729743511
2019.6575,28.0056665657398
2019.7225,28.0142497461447
2019.7875,28.0099807645507
2019.8525,28.0096665099345
2019.9175,27.9999507435322
2019.9825,28.0002826536813
2020.0475,27.9977352722043
2020.1125,27.9955041653608
2020.1775,27.9933923085832
2020.2425,28.0028298298496
2020.3075,28.0077628569078
2020.3725,28.002490404574
2020.4375,28.0171070787763
2020.5025,28.017893177056
2020.5675,28.0159027741548
2020.6325,28.0115118606171
2020.6975,28.0042423320667
2020.7625,28.0025422067842
2020.8275,27.9979562801035
2020.8925,27.9906970692246
2020.9575,27.9962247476216
2021.0225,27.9903282000675
2021.0875,27.988361852911
2021.1525,27.9854039044354
2021.2175,27.9771438970183
2021.2825,27.9720674944442
2021.3475,27.9597974775891
2021.4125,27.9572692465054
2021.4775,27.9451486428434
2021.5425,27.9326550029602
2021.6075,27.9251759102213
2021.6725,27.905660335543
2021.7375,27.8850165616176
2021.8025,27.8638669088493
2021.8675,27.8506557402523
2021.9325,27.8297762091955
2021.9975,27.8177162522478
2022.0625,27.8022077804853
2022.1275,27.7827711956867
2022.1925,27.7754188817035
2022.2575,27.7532209110874
2022.3225,27.7422366298449
2022.3875,27.7410632341795
2022.4525,27.7428358277547
2022.5175,27.7428835640956
2022.5825,27.7524727802881
2022.6475,27.7718747093366
2022.7125,27.7987163352008
2022.7775,27.8177626524675
2022.8425,27.8533468311972
2022.9075,27.911307650277
2022.9725,27.9237059144569
2023.0375,27.8337805120237
2023.1025,27.8344317891655
2023.1675,27.7313159245255
2023.2325,27.6569010132508
2023.2975,27.8779885623444
2023.3625,27.7974547176001
2023.4275,27.8888747390664
2023.4925,27.9526929684883
2023.5575,27.9842526317899
2023.6225,27.9959691504418
2023.6875,27.9728437986791
2023.7525,27.8904273899316
2023.8175,27.954890063269
2023.8825,28.2557159718182
2023.9475,28.2581043825428
2024.0125,27.8003107437455
2024.0775,27.1369666622671
2024.1425,26.9622591214668
2024.2075,24.15233983249
2024.2725,23.6150949661722
2024.3375,25.0993972311325
2024.4025,NA
2024.4675,NA
