time,cultivated_managed_vegetation
2018.0325,1.31894220353938
2018.0975,1.61758484111981
2018.1625,2.0969648167924
2018.2275,1.83380933108128
2018.2925,1.80969326238101
2018.3575,1.80865670339433
2018.4225,1.52349904593158
2018.4875,1.51996694147505
2018.5525,1.54809391337566
2018.6175,2.32568498766514
2018.6825,2.00900728621669
2018.7475,1.64526589899026
2018.8125,1.67023543954703
2018.8775,1.67080609742052
2018.9425,1.60180455996245
2019.0075,1.9014470240794
2019.0725,2.27865352039265
2019.1375,1.91067195468543
2019.2025,1.48845193839114
2019.2675,1.49971982795024
2019.3325,1.51812535850271
2019.3975,1.73882699417751
2019.4625,1.52443666315618
2019.5275,1.62695597352062
2019.5925,1.95652427418555
2019.6575,1.75155995581227
2019.7225,1.76638965589656
2019.7875,1.54757202402121
2019.8525,1.53454432678795
2019.9175,1.62989854768674
2019.9825,2.02044167281157
2020.0475,1.74504435970016
2020.1125,1.70712845057498
2020.1775,1.63596149205311
2020.2425,1.4906134340955
2020.3075,1.55829342392984
2020.3725,1.37996421846382
2020.4375,1.59043892469485
2020.5025,1.43106390687192
2020.5675,1.39154010937865
2020.6325,1.53928601883683
2020.6975,1.47692102582384
2020.7625,1.47316337241931
2020.8275,1.64818570957909
2020.8925,1.34824585219496
2020.9575,1.35189692342592
2021.0225,1.29240625607223
2021.0875,1.2649865022795
2021.1525,1.40890119350579
2021.2175,1.34902473346329
2021.2825,1.32755230912761
2021.3475,1.31014436200594
2021.4125,1.2954935574496
2021.4775,1.41985263985365
2021.5425,1.47932521433369
2021.6075,1.4818345854889
2021.6725,1.36677100996413
2021.7375,1.24043579062457
2021.8025,1.24601695727989
2021.8675,1.22312022596293
2021.9325,1.257198078858
2021.9975,1.25434126528177
2022.0625,1.25826060975581
2022.1275,1.26680700962738
2022.1925,1.16924534110796
2022.2575,1.30420088298861
2022.3225,1.30494651353546
2022.3875,1.30111436182716
2022.4525,1.57430928331246
2022.5175,1.87583922741829
2022.5825,2.20462469854737
2022.6475,3.20231138146858
2022.7125,5.79539927332003
2022.7775,11.451733790131
2022.8425,9.55031924312886
2022.9075,3.78549382220185
2022.9725,3.38953311496817
2023.0375,7.58668793895235
2023.1025,8.33718252753445
2023.1675,12.8895048169603
2023.2325,12.8061723994849
2023.2975,9.85763359973339
2023.3625,12.5406398051942
2023.4275,2.38285388476427
2023.4925,2.6652490215018
2023.5575,2.74055573766817
2023.6225,2.77714244097798
2023.6875,3.52163365439955
2023.7525,3.82619914481405
2023.8175,4.88689281034134
2023.8825,6.48684111862386
2023.9475,4.73127154165112
2024.0125,10.6920634223913
2024.0775,17.7483352865193
2024.1425,30.7610596076929
2024.2075,47.8312707190456
2024.2725,38.0067647590097
2024.3375,37.8320231449585
2024.4025,NA
2024.4675,NA
