time,evergreen_broadleaf
2018.0325,100.217391304348
2018.0975,101
2018.1625,101
2018.2275,100.478260869565
2018.2925,100.85
2018.3575,101
2018.4225,101
2018.4875,101
2018.5525,101
2018.6175,100.76
2018.6825,101
2018.7475,100.769230769231
2018.8125,100.061188811189
2018.8775,100.6
2018.9425,99.1904761904762
2019.0075,99.6
2019.0725,100.666666666667
2019.1375,100.570881226054
2019.2025,100.896551724138
2019.2675,101
2019.3325,101
2019.3975,101
2019.4625,101
2019.5275,100.423076923077
2019.5925,101
2019.6575,101
2019.7225,101
2019.7875,101
2019.8525,101
2019.9175,101
2019.9825,101
2020.0475,101
2020.1125,101
2020.1775,101
2020.2425,101
2020.3075,101
2020.3725,101
2020.4375,101
2020.5025,101
2020.5675,101
2020.6325,100.876551724138
2020.6975,101
2020.7625,100.98
2020.8275,101
2020.8925,101
2020.9575,100.745384615385
2021.0225,100.880952380952
2021.0875,100.86625
2021.1525,100.764615384615
2021.2175,100.674561403509
2021.2825,100.811764705882
2021.3475,100.826050420168
2021.4125,100.638172043011
2021.4775,100.480952380952
2021.5425,100.728091236495
2021.6075,100.821428571429
2021.6725,100.834622823985
2021.7375,101
2021.8025,101
2021.8675,101
2021.9325,101
2021.9975,101
2022.0625,101
2022.1275,101
2022.1925,101
2022.2575,101
2022.3225,101
2022.3875,101
2022.4525,101
2022.5175,100.894338118022
2022.5825,101
2022.6475,100.789090909091
2022.7125,92.6998071711486
2022.7775,85.4582604374941
2022.8425,88.4874208304012
2022.9075,93.6263631228312
2022.9725,91.948613318642
2023.0375,90.1453380944114
2023.1025,89.5738544386533
2023.1675,81.3049663981071
2023.2325,79.2942770236252
2023.2975,85.5505805329036
2023.3625,84.7831922072961
2023.4275,98.0343024270997
2023.4925,94.7312753036437
2023.5575,92.9886727407043
2023.6225,91.8447851081303
2023.6875,86.7860875706215
2023.7525,88.9870204356446
2023.8175,83.9616330114135
2023.8825,55.7469698664877
2023.9475,57.9226966345055
2024.0125,62.9677340425735
2024.0775,51.0522080118536
2024.1425,45.0497555847171
2024.2075,13.7395961854054
2024.2725,16.5865545693828
2024.3375,3.53814338235294
2024.4025,NA
2024.4675,NA
