time,pop_2020_raw
2018.0325,1.0925695680614
2018.0975,1.04410637941744
2018.1625,1
2018.2275,1
2018.2925,1
2018.3575,1
2018.4225,1.03192437646992
2018.4875,1.01823677190639
2018.5525,1.06279653958652
2018.6175,1.08036053588703
2018.6825,1.07824532582384
2018.7475,1.07533401465043
2018.8125,1.04152370949459
2018.8775,1.11164360937591
2018.9425,1.10576609628541
2019.0075,1.079270593822
2019.0725,1.079270593822
2019.1375,1.07844675189252
2019.2025,1.02990927860284
2019.2675,1.0751524435292
2019.3325,1.08819120466709
2019.3975,1.08931166334794
2019.4625,1.09206392971912
2019.5275,1.08891314497062
2019.5925,1.08211052838875
2019.6575,1.08465200930368
2019.7225,1.08304426109996
2019.7875,1.11259212821175
2019.8525,1.08725792976717
2019.9175,1.08350696680801
2019.9825,1.08326905662263
2020.0475,1.08301284350455
2020.1125,1.11063642860455
2020.1775,1.12535471647978
2020.2425,1.11279783748392
2020.3075,1.1079524977076
2020.3725,1.08554372445839
2020.4375,1.07120968668411
2020.5025,1.07042716242946
2020.5675,1.07188569824825
2020.6325,1.07006524533654
2020.6975,1.07042716300258
2020.7625,1.07064453153699
2020.8275,1.07041008584201
2020.8925,1.07094033309281
2020.9575,1.07034921545822
2021.0225,1.05283099628608
2021.0875,1.04618996383028
2021.1525,1.0379460505502
2021.2175,1.01433761287971
2021.2825,1.04959675645127
2021.3475,1.04245123511144
2021.4125,1.04402353065764
2021.4775,1.02330017129246
2021.5425,1.01227929316099
2021.6075,1.01214809051285
2021.6725,1.0120442425217
2021.7375,1.01209721760764
2021.8025,1.01201802498916
2021.8675,1.01207271324471
2021.9325,1.01183373144886
2021.9975,1.012099660803
2022.0625,1.0121488121062
2022.1275,1.01236965682751
2022.1925,1.04889269189238
2022.2575,1.05427590131106
2022.3225,1.14470043450854
2022.3875,1.21455901210294
2022.4525,1.33276237547398
2022.5175,1.32300420880156
2022.5825,1.3842881260691
2022.6475,1.38164515309289
2022.7125,2.64467474977934
2022.7775,3.86556204395888
2022.8425,3.88239648364872
2022.9075,21.5962950712325
2022.9725,99.4106639853911
2023.0375,29.6796639573577
2023.1025,14.6614994519529
2023.1675,31.3869848841356
2023.2325,23.3791596997452
2023.2975,11.4356668358438
2023.3625,4.95226040886309
2023.4275,1.6206280902755
2023.4925,2.3922799593329
2023.5575,74.9303974310144
2023.6225,303.40358520557
2023.6875,424.604938216396
2023.7525,530.015858419994
2023.8175,985.665495155163
2023.8825,2774.82810136229
2023.9475,1646.80591557584
2024.0125,530.69201298703
2024.0775,211.869780997141
2024.1425,125.236852950761
2024.2075,299.858175924283
2024.2725,896.600693757073
2024.3375,953.998397208226
2024.4025,NA
2024.4675,NA
