time,Brazil_precipitation_mean_2023_crop_mask
2018.0325,8.56715639892377
2018.0975,8.57280877757023
2018.1625,8.58097239885575
2018.2275,8.57640319248987
2018.2925,8.58579806662225
2018.3575,8.58886980516885
2018.4225,8.57807767684498
2018.4875,8.57972762150424
2018.5525,8.55874476949236
2018.6175,8.56006068171017
2018.6825,8.5536643544717
2018.7475,8.54685253865635
2018.8125,8.53015168743369
2018.8775,8.5002636528944
2018.9425,8.48175362944105
2019.0075,8.4883349404309
2019.0725,8.48682101349841
2019.1375,8.48946659912248
2019.2025,8.49916530868048
2019.2675,8.48226965177784
2019.3325,8.47866982798851
2019.3975,8.46937571097407
2019.4625,8.46488543166654
2019.5275,8.45433935464066
2019.5925,8.4423162701533
2019.6575,8.42710096372547
2019.7225,8.41872438914129
2019.7875,8.41746885119831
2019.8525,8.41785112696622
2019.9175,8.41111442755122
2019.9825,8.41423020575301
2020.0475,8.40955498528761
2020.1125,8.39515134467837
2020.1775,8.37552366301468
2020.2425,8.35855267759661
2020.3075,8.34556390322626
2020.3725,8.32246897796503
2020.4375,8.30404491170058
2020.5025,8.28179255140017
2020.5675,8.24866212586197
2020.6325,8.21645974245178
2020.6975,8.19834292535384
2020.7625,8.16721727920248
2020.8275,8.11706165793242
2020.8925,8.04608684911428
2020.9575,7.99468847640148
2021.0225,7.946537555933
2021.0875,7.90368765074817
2021.1525,7.85235649182274
2021.2175,7.80355114276934
2021.2825,7.75906456306879
2021.3475,7.73246266900633
2021.4125,7.67061550675819
2021.4775,7.61077264859645
2021.5425,7.57778890158149
2021.6075,7.53415837232759
2021.6725,7.48026645626809
2021.7375,7.4089629956943
2021.8025,7.37205568747531
2021.8675,7.3454745748134
2021.9325,7.31117054356722
2021.9975,7.28088318370554
2022.0625,7.2353352264203
2022.1275,7.21369028215789
2022.1925,7.16286855956228
2022.2575,7.10890554632478
2022.3225,7.11657941220746
2022.3875,7.09601100862582
2022.4525,7.08175601307525
2022.5175,7.07496670694906
2022.5825,6.98370666174656
2022.6475,6.85390911820639
2022.7125,6.35411599053966
2022.7775,5.68945083510688
2022.8425,6.19999719561061
2022.9075,6.9614286861859
2022.9725,7.25772819884084
2023.0375,6.27591763920231
2023.1025,6.40708900628297
2023.1675,5.49705221406076
2023.2325,5.50861252892304
2023.2975,5.56541731964545
2023.3625,5.67943342098838
2023.4275,7.28739917505149
2023.4925,7.28454734724775
2023.5575,7.05281819607305
2023.6225,6.68514612397287
2023.6875,6.42604407118116
2023.7525,6.30816834346717
2023.8175,6.28335220014015
2023.8825,6.29831473566132
2023.9475,6.35534149543363
2024.0125,5.99619796917138
2024.0775,5.53382714285888
2024.1425,4.99306439322537
2024.2075,4.72778434645464
2024.2725,4.36265765027723
2024.3375,4.1495594362189
2024.4025,NA
2024.4675,NA
