time,regularly_flooded_vegetation
2018.0325,2.30660027129292
2018.0975,2.45045908722657
2018.1625,1.75275767336112
2018.2275,1.85660280800946
2018.2925,1.39862258953168
2018.3575,1.51035852474196
2018.4225,1.77515395440808
2018.4875,2.32867214774473
2018.5525,2.16011288464099
2018.6175,1.95230114403555
2018.6825,2.38338370821068
2018.7475,2.20559735512566
2018.8125,2.28572386304482
2018.8775,1.983529141624
2018.9425,1.95597242630805
2019.0075,2.30374190706497
2019.0725,2.14118766000571
2019.1375,2.26203265993815
2019.2025,2.14686553849918
2019.2675,2.41892920366427
2019.3325,2.6577007485626
2019.3975,2.96268654778946
2019.4625,3.25110272834362
2019.5275,3.16809419678724
2019.5925,2.87685229498576
2019.6575,2.74711525648002
2019.7225,2.33429867388553
2019.7875,2.48214872105508
2019.8525,2.37613296108638
2019.9175,2.1455753549288
2019.9825,1.86968262858222
2020.0475,1.69846470863756
2020.1125,1.87896896925564
2020.1775,1.95327430664365
2020.2425,1.70519077355659
2020.3075,1.97518975005277
2020.3725,1.83453055772003
2020.4375,1.84790327582501
2020.5025,1.94754315653066
2020.5675,1.87494429979566
2020.6325,1.84829132657937
2020.6975,1.80554025680046
2020.7625,1.84552283775973
2020.8275,1.8560907995408
2020.8925,1.73869766423959
2020.9575,1.64694470761564
2021.0225,1.75445720626401
2021.0875,1.79803555899424
2021.1525,1.57667016668391
2021.2175,1.35664751641557
2021.2825,1.32080609990018
2021.3475,1.28894823618414
2021.4125,1.28068384991519
2021.4775,1.30442041691991
2021.5425,1.35928257186943
2021.6075,1.32119786651187
2021.6725,1.31543076014694
2021.7375,1.19638112661175
2021.8025,1.16306275994258
2021.8675,1.22305495718285
2021.9325,1.20709277495232
2021.9975,1.1133398876424
2022.0625,1.126172770462
2022.1275,1.15547384371283
2022.1925,1.11489107013846
2022.2575,1.16424942096696
2022.3225,1.08518075798725
2022.3875,1.1452370922217
2022.4525,1.33022811400022
2022.5175,1.25645414164208
2022.5825,1.20501494338738
2022.6475,1.2262034437554
2022.7125,1.3710362341601
2022.7775,1.44282788287744
2022.8425,1.80625954540371
2022.9075,2.32787311001422
2022.9725,2.4228989146947
2023.0375,1.36877023122819
2023.1025,1.3452558617642
2023.1675,1.13587293622517
2023.2325,1.19993787899406
2023.2975,1.28685847089578
2023.3625,1.22699775599518
2023.4275,1.85215702958581
2023.4925,2.33770065075697
2023.5575,2.16149698078396
2023.6225,2.05478675584915
2023.6875,2.09933660389563
2023.7525,1.73275717291742
2023.8175,1.40394968359044
2023.8825,1.75006026265
2023.9475,5.79045470086493
2024.0125,4.53928314833643
2024.0775,4.18590699646212
2024.1425,1.52519296594122
2024.2075,1.25516852210599
2024.2725,1.09011378516955
2024.3375,1
2024.4025,NA
2024.4675,NA
