time,shrublands
2018.0325,1.31483882119091
2018.0975,1.14965343415249
2018.1625,1.8642317931111
2018.2275,1.59434047370961
2018.2925,1.16584022038567
2018.3575,1.06149083196497
2018.4225,1.15288964464377
2018.4875,1.21914415645131
2018.5525,1.32168737060041
2018.6175,1.1992958207514
2018.6825,1.38537585898278
2018.7475,1.62860696317628
2018.8125,1.47543563105539
2018.8775,1.37723098427174
2018.9425,1.52226721282785
2019.0075,1.76696256015572
2019.0725,1.73364974847778
2019.1375,1.58780846178544
2019.2025,1.73231868201363
2019.2675,1.65417790708922
2019.3325,1.45310232336474
2019.3975,1.56588677601978
2019.4625,1.70738262640702
2019.5275,1.73257472274906
2019.5925,1.80621335636961
2019.6575,1.75705707786884
2019.7225,1.40677999974513
2019.7875,1.38684479026566
2019.8525,1.54104054653118
2019.9175,1.37764113606338
2019.9825,1.48722392089487
2020.0475,1.4690973259513
2020.1125,1.38443679605569
2020.1775,1.52582019029322
2020.2425,1.28041581093052
2020.3075,1.4000602337488
2020.3725,1.24836469833702
2020.4375,1.36056722025617
2020.5025,1.46068681949499
2020.5675,1.35397694665399
2020.6325,1.36938171457087
2020.6975,1.29672209574088
2020.7625,1.27028187400314
2020.8275,1.38040074946922
2020.8925,1.30827501266845
2020.9575,1.2871238288353
2021.0225,1.21870634405778
2021.0875,1.29849067896786
2021.1525,1.26512832966018
2021.2175,1.1326629070961
2021.2825,1.15355417463679
2021.3475,1.10092084192904
2021.4125,1.14189013718761
2021.4775,1.12821838536523
2021.5425,1.16449374073508
2021.6075,1.14210401565554
2021.6725,1.10832761211458
2021.7375,1.08361182653057
2021.8025,1.08823495330047
2021.8675,1.08889327154604
2021.9325,1.07452682657243
2021.9975,1.05776471265858
2022.0625,1.0719539252871
2022.1275,1.06489517058212
2022.1925,1.0585092251665
2022.2575,1.04958990403705
2022.3225,1.01691310542236
2022.3875,1.06500269787645
2022.4525,1.06828385750818
2022.5175,1.06502196309671
2022.5825,1.09222743939491
2022.6475,1.14779161030037
2022.7125,1.26692891023938
2022.7775,1.32840086201494
2022.8425,1.26013216142103
2022.9075,1.35895264146083
2022.9725,1.32545976698245
2023.0375,1.445215767387
2023.1025,1.39973386666723
2023.1675,1.44070903603948
2023.2325,1.26104176251485
2023.2975,1.4567279655434
2023.3625,1.2505636320181
2023.4275,1.21911646715725
2023.4925,1.22731413220655
2023.5575,1.1923556426241
2023.6225,1.27381404339331
2023.6875,1.29945796137493
2023.7525,1.44169237281501
2023.8175,1.93868287681133
2023.8825,2.30431467217362
2023.9475,1.8937097967445
2024.0125,2.91118589075568
2024.0775,5.57849804285736
2024.1425,6.04321300224548
2024.2075,8.46443289517606
2024.2725,12.1396217598765
2024.3375,12.1883134448757
2024.4025,NA
2024.4675,NA
